division,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
"Ahalanui, Laepaoʻo",227.93214416503906,85.21027374267578,281.1039733886719,178.36505126953125,333.22589111328125,129.92507934570312,339.6470947265625,152.56524658203125,119.59965515136719,83.31487274169922,198.79110717773438,181.01390075683594,164.14004516601562,132.7874298095703,85.50191497802734,427.2255554199219,42.30312728881836,86.54999542236328,127.21883392333984,181.75369262695312,186.29100036621094,152.00650024414062,106.29960632324219,73.15072631835938,115.34066009521484,142.42330932617188,211.89971923828125,66.1790542602539,63.706851959228516,470.7702331542969,180.93309020996094,224.73899841308594,166.306884765625,105.97039794921875,145.85411071777344,101.82746124267578,78.93683624267578,55.31940460205078,284.57586669921875,142.01499938964844,92.40697479248047,112.19154357910156,70.50777435302734,140.75038146972656,233.03443908691406,99.55329132080078,120.72492218017578,394.44732666015625,148.87588500976562,167.86170959472656,296.4977722167969,67.32118225097656,133.9864044189453,37.85483169555664,153.45654296875,73.36260986328125,101.60921478271484,126.0984115600586,104.83696746826172,80.23798370361328
Aki,27.420808792114258,49.12582778930664,33.02845764160156,29.10067367553711,114.71813201904297,71.46265411376953,244.44239807128906,9.50786304473877,16.76386070251465,3.260279655456543,11.86905288696289,19.607749938964844,12.588611602783203,47.13308334350586,18.803871154785156,292.941650390625,15.547436714172363,19.740291595458984,72.31391143798828,29.867753982543945,22.124032974243164,15.132241249084473,6.475183963775635,7.788156986236572,27.063386917114258,25.19222640991211,54.05796432495117,156.4466094970703,168.5594482421875,142.38125610351562,110.67699432373047,176.35614013671875,45.341941833496094,11.910176277160645,17.537616729736328,14.991232872009277,13.271724700927734,6.567122459411621,72.37603759765625,50.459259033203125,268.075927734375,35.564212799072266,2.1647233963012695,78.74541473388672,40.53987503051758,11.591148376464844,23.466318130493164,34.060089111328125,8.91812801361084,38.5155029296875,69.97447967529297,17.01819610595703,176.3683624267578,22.185794830322266,41.051979064941406,44.068511962890625,10.085079193115234,17.286970138549805,33.23298263549805,8.769251823425293
"Alaeakila, Kaapahu",73.23401641845703,52.741111755371094,234.3712615966797,122.04503631591797,247.76670837402344,126.56907653808594,371.36138916015625,211.6722869873047,104.9537124633789,47.28752136230469,143.1825408935547,175.98623657226562,117.38812255859375,254.33824157714844,58.57035827636719,324.29888916015625,50.156864166259766,71.53724670410156,171.6548614501953,228.0147705078125,212.02294921875,104.96676635742188,96.63724517822266,47.78730773925781,53.610958099365234,134.45191955566406,179.35313415527344,216.45176696777344,56.28481674194336,417.5924987792969,324.6867370605469,195.6409454345703,150.8756866455078,33.512939453125,147.48362731933594,86.25000762939453,40.29119110107422,33.65216827392578,302.965576171875,136.8671875,46.9421272277832,145.2954559326172,90.31898498535156,159.54672241210938,114.64242553710938,62.795936584472656,90.70037841796875,421.5466003417969,109.6146240234375,109.492431640625,219.18678283691406,30.346817016601562,129.76104736328125,23.1496639251709,202.4370880126953,49.723175048828125,70.49654388427734,57.57065200805664,75.51054382324219,62.22504425048828
Alakahi,468.04541015625,118.72998046875,840.9193725585938,332.05572509765625,739.2850341796875,388.4503173828125,879.2266845703125,410.1131896972656,304.1202392578125,155.3505401611328,505.52960205078125,418.6778869628906,434.77618408203125,620.6419067382812,178.5650177001953,670.1373291015625,81.5279769897461,204.3574981689453,310.3455505371094,644.3303833007812,588.7462768554688,314.8422546386719,345.96844482421875,180.04254150390625,266.14129638671875,316.0339050292969,413.81341552734375,244.6699676513672,71.97870635986328,1280.7884521484375,514.9403686523438,357.8760681152344,407.3880615234375,227.521728515625,335.9131164550781,260.911376953125,199.03663635253906,117.18567657470703,419.143310546875,324.4884948730469,85.21366882324219,267.25799560546875,196.9383544921875,454.11138916015625,538.933349609375,254.94491577148438,315.9838562011719,693.1286010742188,401.1214599609375,377.81658935546875,631.7637329101562,131.4393768310547,180.04139709472656,67.34364318847656,379.7313232421875,45.187835693359375,210.37106323242188,333.69317626953125,266.6024169921875,142.41461181640625
Aleamai,384.82586669921875,98.37260437011719,674.4227294921875,285.86944580078125,614.1065063476562,336.69598388671875,705.2716674804688,328.46075439453125,241.19432067871094,119.36538696289062,399.9039001464844,334.1195983886719,351.6558532714844,518.1349487304688,145.0029296875,578.5486450195312,67.6526107788086,175.06021118164062,243.48013305664062,517.4239501953125,468.27471923828125,251.48883056640625,263.330078125,151.70318603515625,214.69415283203125,252.63775634765625,347.6185607910156,200.1798095703125,60.47682189941406,1081.06591796875,399.833251953125,286.8334655761719,306.03778076171875,179.26132202148438,232.61651611328125,210.7362518310547,162.2119903564453,91.157958984375,327.1268005371094,278.62640380859375,72.81681823730469,219.14004516601562,151.52114868164062,362.5416259765625,429.7565612792969,205.74505615234375,249.2148895263672,551.499755859375,311.0815124511719,313.2823791503906,505.8818054199219,114.59569549560547,161.2946319580078,55.7048225402832,302.9844970703125,46.87910079956055,174.46951293945312,295.1146240234375,210.8983154296875,122.30790710449219
Anahola,94.59493255615234,23.42092514038086,191.8484649658203,70.31694030761719,125.12821960449219,255.86489868164062,551.458740234375,52.93623733520508,53.910072326660156,58.76552963256836,135.3112030029297,56.10878372192383,76.69429779052734,95.49178314208984,51.06047821044922,311.86669921875,80.7045669555664,23.432445526123047,134.227294921875,106.34197235107422,176.06338500976562,35.45487976074219,77.46482849121094,58.33562088012695,64.50501251220703,144.1526641845703,59.03119659423828,240.8975067138672,209.73484802246094,405.5030822753906,245.75001525878906,318.1509704589844,298.92572021484375,156.410888671875,119.19157409667969,54.30021667480469,64.44261932373047,120.16747283935547,293.3096008300781,205.02481079101562,120.59429168701172,80.72930908203125,50.92537307739258,481.5132751464844,206.93470764160156,77.39340209960938,64.72267150878906,54.98323440551758,68.34294891357422,92.73690032958984,129.50245666503906,60.75798034667969,171.60108947753906,47.803157806396484,118.8092269897461,283.3830871582031,159.1151123046875,103.73728942871094,82.32221221923828,59.81405258178711
"Anapuka, Hoʻopūloa",92.7070083618164,30.843996047973633,79.12239074707031,37.4075813293457,109.7675552368164,29.175182342529297,132.69017028808594,59.29660415649414,65.49693298339844,73.14916229248047,90.63937377929688,116.50548553466797,143.81234741210938,14.850393295288086,21.648441314697266,178.71983337402344,15.225153923034668,28.81607437133789,46.981964111328125,73.39720916748047,49.09988021850586,83.75398254394531,26.317834854125977,35.23705291748047,70.75350952148438,57.668052673339844,51.00772476196289,141.9384765625,30.06258201599121,155.9678497314453,73.60308074951172,170.04017639160156,106.63487243652344,74.91754150390625,56.5082893371582,55.748573303222656,47.30877685546875,20.14766502380371,72.17123413085938,34.92890930175781,87.16801452636719,52.10892868041992,36.25423049926758,38.79448699951172,82.11845397949219,44.42995071411133,53.21940994262695,241.9203643798828,101.70176696777344,55.70673751831055,86.61241912841797,3.8703339099884033,132.8281707763672,8.340174674987793,56.05155944824219,52.404624938964844,51.28496170043945,76.30087280273438,47.80070877075195,38.651065826416016
"Apuakohau, Kukuiwaluhia",81.58251953125,12.526182174682617,172.52072143554688,118.45759582519531,139.2094268798828,64.80355072021484,204.86923217773438,142.011962890625,79.11897277832031,46.73453140258789,163.0027313232422,128.0254364013672,59.04600143432617,128.7128143310547,41.610755920410156,221.7693634033203,42.59618377685547,38.98831558227539,121.27376556396484,162.24789428710938,157.52490234375,121.48558044433594,92.97623443603516,65.962646484375,52.248313903808594,53.1293830871582,106.23694610595703,366.4818115234375,78.53317260742188,243.74700927734375,256.82464599609375,154.0033721923828,128.49267578125,71.70130157470703,26.650394439697266,72.95841979980469,43.2972412109375,28.921676635742188,173.39968872070312,121.44817352294922,113.13504028320312,88.74958038330078,22.59454345703125,144.20803833007812,211.4784698486328,90.37007141113281,72.99567413330078,256.65130615234375,60.79719924926758,101.92694091796875,139.41883850097656,35.75731658935547,159.74993896484375,13.443089485168457,146.5699462890625,224.22096252441406,63.686859130859375,82.83354949951172,85.9631576538086,61.65195083618164
"Au 1-2, Āhualoa",76.13909912109375,16.244524002075195,173.66171264648438,135.44410705566406,158.7114715576172,84.213623046875,277.7191162109375,190.685302734375,58.79705810546875,52.40872573852539,159.4711151123047,238.26040649414062,117.10262298583984,212.53883361816406,51.97647476196289,261.7793884277344,44.867610931396484,69.80632019042969,143.8436279296875,228.1051483154297,187.4627685546875,130.64512634277344,138.6846466064453,25.03438949584961,40.55262756347656,114.49303436279297,166.79733276367188,236.960693359375,57.490779876708984,347.99896240234375,279.6477355957031,111.62239074707031,88.82991790771484,25.485376358032227,199.32701110839844,95.25631713867188,41.62739944458008,24.65707015991211,174.79872131347656,167.27708435058594,40.06855773925781,133.64382934570312,56.639869689941406,165.12399291992188,66.3172378540039,67.61321258544922,100.1497573852539,387.9414367675781,116.50389862060547,101.83719635009766,157.7124786376953,32.874298095703125,119.5028076171875,18.108306884765625,172.8218231201172,37.30133819580078,79.67964935302734,44.9129638671875,84.10069274902344,41.707454681396484
Aukuʻu,5.737890243530273,138.85324096679688,37.353187561035156,49.60228729248047,154.31500244140625,108.81761932373047,295.94354248046875,22.61517333984375,17.136661529541016,16.130104064941406,23.469528198242188,32.13063430786133,36.034393310546875,23.00234603881836,31.139997482299805,373.1513671875,156.7596435546875,15.273299217224121,33.31534194946289,17.48203468322754,23.898761749267578,6.832540988922119,19.48967170715332,31.495830535888672,55.86585235595703,96.73375701904297,25.39406394958496,138.58438110351562,145.8900909423828,212.0657958984375,84.8904037475586,97.12358093261719,65.8031997680664,21.894926071166992,17.896753311157227,5.037710189819336,18.20185089111328,14.004130363464355,59.79818344116211,66.31581115722656,364.72979736328125,62.79589080810547,7.761809825897217,93.06625366210938,198.46890258789062,7.839283466339111,15.207989692687988,18.28175926208496,8.877124786376953,26.28401756286621,41.915096282958984,33.95457458496094,247.83343505859375,40.93141555786133,53.64799499511719,79.46695709228516,60.742889404296875,9.92941951751709,20.86996078491211,9.673654556274414
