division,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
Hawaiʻi::Hawaiʻi Mauka,0.8367627,0.8084723,0.9065537,0.94869703,0.71098036,0.6533586,0.56774676,0.5447714,0.50427324,0.5183279,0.4259069,0.5933193,0.6085956,0.50711817,0.32937443,0.7702093,0.38336205,0.3502245,-0.024761045,0.007997403,0.11274977,0.20594862,0.02416998,-0.1282621,-0.22293231,-0.1170184,-0.07262696,-0.20340128,-0.15604791,0.51879394,0.75981575,0.9431425,0.9163635,0.82977575,0.88269347,0.8910051,0.83183825,0.67896557,0.8073597,0.5456862,0.6564571,0.013494043,-0.36948675,-0.76258355,-0.67250913,-0.6637669,-0.63684237,0.07540928,0.15342438,0.2779991,0.33423787,0.2595486,0.4777687,0.42295673,0.56074643,0.74454045,0.5860445,0.59000325,0.5579931,-0.051025324
Hawaiʻi::Hilo,0.43640587,0.18548538,0.5889624,0.5362166,-0.17852513,-0.05831479,0.08597865,0.19833249,0.22098313,0.20666252,0.3292134,0.48663148,0.45215073,0.77943003,0.19013065,0.5116394,-0.10413389,-0.30981955,-0.85741746,-0.7390714,-0.51444036,-0.4134708,-0.5830458,-0.71547955,-0.89222234,-1.2077334,-0.986396,-1.5650182,-1.6364328,-0.4297193,-0.18526281,-0.23920824,-0.29679927,-0.3603197,-0.2715197,-0.15674038,-0.19235578,-0.34276032,-0.23036657,-0.28615558,-0.30928642,-1.3122388,-1.6670763,-1.6345685,-1.3984005,-1.4408128,-1.5986745,-0.7763363,-0.62117344,-0.3546098,-0.24188755,-0.42015493,-0.38470078,-0.5419072,-0.3425577,-0.62228304,-0.8857221,-0.842154,-0.8772321,-1.6386851
Hawaiʻi::Kaʻu,0.9639528,0.7685792,0.87620974,0.9009464,0.8701916,0.88816375,0.94160736,0.8559749,0.7361305,0.74648404,0.7790653,0.8688885,0.8629673,0.7806035,0.7135003,1.1730639,0.6355846,0.63322586,0.13018666,0.17471349,0.16074787,0.19993573,0.076077566,-0.040876392,-0.13559312,-0.058913402,-0.13474561,-0.6125811,-0.51368976,0.41258493,0.60304826,0.78501743,0.8304338,0.7744973,0.8600956,0.88273174,0.80828506,0.7335064,0.9494277,0.84625626,1.1271533,0.31088164,-0.006502936,-0.30510873,-0.13082772,-0.15656868,-0.23089626,0.4167741,0.549355,0.6614433,0.71332943,0.6734518,0.64110345,0.58518374,0.70591134,0.69927996,0.42611265,0.4448919,0.4152911,-0.23062369
Hawaiʻi::Kona,1.3623863,1.1715174,1.3542342,1.3698211,1.441387,1.4228876,1.2590599,1.3812577,1.1950285,1.1419451,0.96497416,1.1184341,1.1104596,1.0094026,0.7053129,1.0162843,0.82676476,0.72835326,0.42995298,0.48628855,0.43100846,0.53045964,0.27146786,-0.0021841347,-0.0720797,0.19184606,0.29301012,0.38155714,0.4990928,0.92566645,0.96139926,1.2495304,1.3245397,1.1914302,1.3342332,1.3471493,1.1950337,1.0067275,1.0514612,0.7082669,0.92556304,0.6263319,0.44158238,-0.015654482,-0.08247492,-0.20883015,-0.29633102,0.24955314,0.41791955,0.52787894,0.54767007,0.4753789,0.7783281,0.6595597,0.73109907,0.92681915,0.68687624,0.8249758,0.7845545,0.26642817
Hawaiʻi::Leeward Kohala,0.6323854,0.63329506,0.5832041,0.5545411,0.5737216,0.27501473,0.1389525,0.22652113,0.17723641,0.15984589,0.060016043,0.24332163,0.24842896,0.11560271,0.028360834,0.4041296,0.18356706,0.051918484,-0.18748122,-0.1651095,-0.023294305,0.17320763,0.04154269,-0.10507718,-0.06087876,0.12088893,0.14988655,0.41854966,0.55190796,0.9360002,1.082161,1.3375953,1.3045359,1.1640753,1.2281444,1.2194967,1.1295518,0.9914176,1.1428697,0.5874846,0.73286414,0.37670606,0.11739667,-0.36710128,-0.28670743,-0.3225547,-0.3153286,0.102161825,0.12897995,0.23339146,0.16885802,-0.0014780968,0.26779726,0.15910542,0.25875553,0.41323513,0.18418539,0.27008638,0.21772118,-0.18065375
Hawaiʻi::Windward Kohala,-0.08306287,-0.10069625,0.08285675,-0.13057941,-0.67323256,-0.87566954,-0.8172835,-0.77064407,-0.8600913,-0.87411356,-0.9457975,-0.70204157,-0.63448316,-0.34112504,-0.6800889,-0.40171278,-0.7290741,-0.7840536,-0.98831177,-0.8807805,-0.6912387,-0.5287887,-0.6232095,-0.8013615,-0.89774525,-1.0674592,-0.9490851,-1.0089126,-0.99778867,-0.4359591,-0.13696036,-0.19253476,-0.30079246,-0.4499397,-0.39129752,-0.30778232,-0.30966595,-0.42475483,-0.3441047,-0.7060753,-0.66339934,-1.0945244,-1.5485914,-1.602406,-1.5130062,-1.4466784,-1.5927582,-0.8631193,-0.73670125,-0.58699125,-0.69447815,-0.96078455,-0.8388469,-1.0917503,-0.79066086,-0.8342962,-1.041168,-1.0301508,-1.0805033,-1.7977489
Kauaʻi::Leeward Kauaʻi,1.5243986,1.6248486,1.5822102,1.1340162,0.92121667,1.0757145,0.86277527,0.80401933,0.7516415,0.82692105,0.6125073,0.7221079,0.756666,0.3217726,0.20692809,0.7043103,0.7465584,0.2667422,-1.0866526,-1.1177689,-0.93061495,-1.0532748,-1.1291777,-1.0231681,-1.0355388,-0.8484142,-0.8248221,-1.0625609,-0.73474306,0.46952987,1.0346172,1.3773673,1.4069655,1.5305151,1.5237832,1.3178775,1.2873466,1.3824319,1.8001087,1.7531421,1.8714783,1.1440532,0.3082212,0.86918557,0.8567687,0.8172933,0.760782,0.701565,0.71559304,0.48313734,0.033670753,-0.18037571,-0.6037607,-0.4448995,-0.35839492,-1.3646071,-1.4657747,-1.4563361,-1.3972434,-1.3186885
Kauaʻi::Windward Kauaʻi,1.4748526,1.2723981,1.2243955,0.6934703,0.53960216,0.6118758,0.67922235,0.7255241,0.71316606,0.7784532,0.35700887,0.42195383,0.45027423,0.56952256,0.16191587,0.73475134,0.5917644,0.06303197,-1.3176337,-1.2627493,-1.0629255,-1.2197152,-1.4301491,-1.3322508,-1.4552734,-1.3787855,-1.2859368,-1.7435323,-1.3291423,-0.19266884,0.105991036,0.4090727,0.5708232,0.840399,0.8961227,0.7367088,0.76981336,0.7318182,1.1732047,1.3028798,1.1669927,0.40790936,-0.0940543,0.4265158,0.34590763,0.15452415,0.0017374636,0.002180622,0.013318256,0.06425836,-0.3788588,-0.8815295,-0.87955207,-1.138366,-0.829567,-1.4662638,-1.6205899,-1.4830973,-1.3207988,-1.2253003
Maui::Leeward Maui Nui,-0.21478072,-0.07187034,-0.12836269,-0.39387378,-0.21962115,-0.36535093,0.069403276,-0.15641102,-0.24158515,-0.26311365,-0.37751982,-0.29407376,-0.27245677,-0.4498611,-0.494226,0.30112195,-0.15804365,-0.2965748,-1.0061095,-1.0769337,-0.9713582,-0.9073252,-0.9013542,-0.90079767,-0.8204502,-0.61396694,-0.5467968,-1.1616715,-0.39227414,-0.08781466,0.12252198,0.42792955,0.4287979,0.43068868,0.45434093,0.4327466,0.3827833,0.26195052,0.37269863,0.06499031,0.49124813,0.29513836,0.008156744,-0.2539138,-0.22239144,-0.24259998,-0.25358066,-0.07531799,-0.050077345,0.018685056,-0.15802321,-0.29523125,-0.8139782,-0.900489,-0.7625437,-0.6639965,-0.7829598,-0.7730387,-0.7734786,-0.9358672
Maui::Windward Maui Nui,0.14136514,0.13048427,0.21140571,-0.06122189,-0.29423296,-0.4466719,0.28502396,0.14236185,-0.0385413,-0.09454302,-0.4527995,-0.2660247,-0.27481964,-0.29121026,-0.6199466,0.047165383,-0.5088911,-0.74147075,-1.9200442,-2.113704,-1.8587275,-1.7351711,-1.5424603,-1.6326075,-1.4737202,-1.2900385,-1.0540626,-1.6453799,-0.8759062,-0.444181,-0.20118675,0.22641256,0.14912823,0.15307762,0.14013578,0.12173944,-0.0039453427,-0.22455949,-0.25437617,-0.43915018,-0.65869087,-0.8837243,-1.352582,-1.6586337,-1.489908,-1.4929634,-1.5944885,-1.0087625,-0.91082823,-0.6009827,-0.7337163,-1.062121,-0.95564425,-1.156392,-0.9693467,-1.0376351,-1.1821815,-1.2148602,-1.1680137,-1.6803294
Oʻahu::Koʻolau,0.0826241,-0.17179225,0.1289796,-0.1980156,-0.36917597,-0.45472103,0.25323805,0.23006658,0.25696856,0.23932569,0.07320651,0.2802272,0.52330387,0.49496934,0.082669705,1.2493603,1.0453091,0.796049,-0.75476086,-0.75693184,-0.6565254,-0.6819849,-0.61269784,-0.6974688,-0.7144704,-0.47448242,-0.41915116,-1.8880863,-2.002758,-1.2294308,-0.8414609,-0.2142104,-0.118408725,0.010061849,0.013552493,-0.05272966,-0.111717366,-0.43699554,0.11349318,0.1917738,0.17192578,-0.4542335,-0.74532115,-0.9578259,-0.014388167,-0.051637955,-0.04719025,0.11509968,0.07693847,0.43581483,0.004691069,-0.46648985,-0.23573011,-0.41419902,-0.05683523,-0.08900845,-0.9731629,-0.983107,-0.88991416,-1.1132996
Oʻahu::Waianae,0.094801225,0.23651087,0.25100368,-0.16239299,0.04677107,-0.047234003,0.43617028,0.38405645,0.36659348,0.4046417,0.2988297,0.42603695,0.5288905,0.19852167,0.12086593,1.3873167,1.229174,0.9591756,-0.12839457,-0.17331992,-0.0271789,-0.062854186,-0.038438216,-0.08853153,-0.015726304,0.15498713,0.15516719,-1.1222534,-1.4476271,-0.43313682,-0.1339906,0.34367487,0.405865,0.48304933,0.4822244,0.42041692,0.33809406,0.14620647,0.43356022,0.25646535,0.66174614,-0.031148149,-0.33926472,-0.46234035,0.33166584,0.28988144,0.27626777,0.42041844,0.3758235,0.4873071,0.3151852,0.039024357,-0.059024032,-0.14262818,0.06475619,-0.05327596,-0.9377388,-0.8845522,-0.8499302,-1.0688471
