division,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
Hawaiʻi Mauka,0.8368357600186317,0.8085302908345047,0.9066156882293335,0.9487653425620239,0.7110644821732096,0.6534424745856895,0.5678216319909783,0.544844306704148,0.5043277363285719,0.5183745247585232,0.4259621788481025,0.5933636268917726,0.6086468794944923,0.5071709176220868,0.3294272535792502,0.7702525393880953,0.3834139575433923,0.35028131435295656,-0.02471106448217321,0.008047108183704197,0.1127890903352074,0.20597258640661262,0.024192605813370297,-0.12824525958756905,-0.22292291894796196,-0.11700645942801458,-0.07261661355845292,-0.20339813297261627,-0.15603963988902692,0.5187940319783121,0.759815230404014,0.9431484403090576,0.9163809301760206,0.8298013689814664,0.8827206948893538,0.8910333348314974,0.8318664093910372,0.6789985147746217,0.8073919202309352,0.5457276914857974,0.6565104762527375,0.013564620072402183,-0.36940588941914815,-0.7625033070269343,-0.6724486861782107,-0.6637097717410846,-0.6367885295451574,0.0754677591687641,0.15348137045749843,0.27805115370550454,0.3342954142900337,0.25961166948934394,0.47782044707939725,0.4230082632260648,0.5607911991713791,0.7445776249877423,0.5860834433121956,0.5900440868826202,0.5580350029009904,-0.050994036115287814
Hilo,0.43645468664629583,0.1855472899950928,0.5890520579329988,0.5363287889921484,-0.1784126153133031,-0.05820442531795738,0.08609166079613291,0.1984362668717243,0.22108328026665924,0.2067630841233786,0.3292969263803448,0.48670545434769413,0.4522232749483983,0.7795011711556752,0.19018620395056357,0.5116878427464233,-0.104080067730361,-0.30977245463352693,-0.8573949596039825,-0.7390555122731044,-0.5144219094643544,-0.4134549076608252,-0.5830090970086205,-0.7154396829532347,-0.8921792159074813,-1.207699905902827,-0.9863799401015845,-1.564980643047939,-1.6363756083432828,-0.42964710714430254,-0.18519270633081733,-0.23914436074630188,-0.29672032540041887,-0.3602305617879475,-0.27142186883435865,-0.15664740720551631,-0.19226173274126312,-0.34265793053250904,-0.2302541777753607,-0.286036158166724,-0.3091657318078799,-1.312105240858409,-1.6669451744844892,-1.6344348541493818,-1.398257905933181,-1.4406724596292775,-1.598557777434891,-0.7762040549051946,-0.6210387730310419,-0.35447631887811887,-0.24175260490443573,-0.42000870778274685,-0.3845375357923387,-0.5417496525107757,-0.34240154261185424,-0.6221313958253233,-0.8855802406054597,-0.8420391926108424,-0.8771090445848595,-1.6386056734018657
Kaʻu,0.963944742884184,0.7685783484646663,0.8761917020120583,0.9009281999263881,0.8702078878645542,0.8881814029199383,0.9416220467610769,0.8559839236890073,0.7361359892035895,0.7464923715297251,0.7790665092190129,0.8688811211791924,0.8629558021943354,0.7805797155426248,0.7135055909983175,1.1730777657038698,0.6355899248107123,0.6332404786525518,0.13020259153287997,0.1747271731938797,0.16076034400413627,0.19994429814568143,0.07609434700119182,-0.0408462464508553,-0.13555637772539259,-0.05886158582138601,-0.1347060481150098,-0.612514842873668,-0.5136092172602356,0.41263777582550476,0.603093890213124,0.7850705885445878,0.8304788278182837,0.7745425546831184,0.8601354918851655,0.8827680261497476,0.8083200057837914,0.7335437990745933,0.949472229038138,0.8462917462668256,1.1271913777692093,0.31093185861259115,-0.006448612437780426,-0.3050658837370303,-0.13078492785596607,-0.15652594873895823,-0.2308539526955973,0.4167984633517947,0.5493751752664049,0.6614560147048514,0.7133436886567582,0.6734668023520751,0.6411231947560292,0.585209268087493,0.7059316723920359,0.699308519261778,0.42614076521312394,0.44492031403358107,0.41531872195737524,-0.2305773330149327
Kona,1.3624519027307556,1.1715935335274859,1.3543447982559693,1.3699377798133463,1.441522577874421,1.4230085224741624,1.2591533592914737,1.3813640134978618,1.1951397918244386,1.142060783533054,0.9650512608305862,1.1185003431541785,1.1105033020759087,1.0094271691798824,0.7052604909123307,1.016203768153065,0.826703311542231,0.7282698747522051,0.4298837869743407,0.486226327234052,0.43093952551452247,0.5303979439983517,0.2714023277407787,-0.002257332832407119,-0.07210776776988763,0.19185094092458124,0.29301120923913043,0.3816228582446098,0.49916151703381145,0.9256985066876782,0.9614102940685139,1.2495285980376871,1.324542588705007,1.1914123404646293,1.3342138985098895,1.3471151557209997,1.1949857030693158,1.006663751364264,1.0514036084784837,0.7081583339829829,0.9254613265936832,0.6262704274183669,0.44152153379477016,-0.015693512289165514,-0.08253850957281829,-0.20889671581265593,-0.2963941143141928,0.24944180891671863,0.4178298003998129,0.5277983161779446,0.5475940228528154,0.4752932471712402,0.7782799414201711,0.6594980447868407,0.7310370773565574,0.9267962694338026,0.6868548022791563,0.8249642228706343,0.784544506331299,0.2664829071980243
Koʻolau,0.08257435742447108,-0.17185267362649534,0.12886624858080417,-0.19811835400974745,-0.3692982509276695,-0.4549026725880594,0.25307143401085513,0.22984110198825874,0.25678948912411387,0.23914107498892334,0.07302656600472142,0.28003381839831637,0.523081402996234,0.49475520602569784,0.08245782002866084,1.2490625519217988,1.045108187721533,0.7958614864864865,-0.7549982519661055,-0.7571089596256092,-0.6567535549124944,-0.6822017265728844,-0.6129439313801507,-0.6976250536525255,-0.7145940926838724,-0.47458787072164377,-0.4192892078810368,-1.8880804857111209,-2.002778508529021,-1.2295372729286664,-0.8415488618741692,-0.21430216236984936,-0.11850090517002658,0.009956921673370348,0.013437009988023371,-0.052909886905668474,-0.1119166153217767,-0.4371780848471422,0.11327766955928777,0.1914772530599247,0.17172242563067677,-0.45443126592268496,-0.7455037452924236,-0.9581126079973417,-0.014516475003115308,-0.051754870264731946,-0.047284554822496674,0.11495196368243243,0.07682608966548515,0.43568156879984493,0.004579408009283617,-0.4665234634608994,-0.23592289699407398,-0.4144060492357111,-0.056968846488009525,-0.08903315336660944,-0.9732845037660611,-0.9832614504873726,-0.8900798211120957,-1.113398679801728
Leeward Kauaʻi,1.5243116722888557,1.6247491488630685,1.5821167541229386,1.1339140000312344,0.9211687125187407,1.0756731009495253,0.8627748625687156,0.8040633003810594,0.7517311656671665,0.8270106157858571,0.6126450934688905,0.7222336585613444,0.7567983586331835,0.32197387634307845,0.20712024358914294,0.7044411388055972,0.7466803707521239,0.2668939944090455,-1.0866022067091454,-1.1177005247376313,-0.9305573775612194,-1.053226511744128,-1.1291352370689656,-1.0231602948525738,-1.0355419946276863,-0.8484441373063468,-0.8248350434157921,-1.0625718390804597,-0.7347185294071714,0.4695855685438531,1.0346533764367816,1.3773943106571713,1.4069724903173413,1.5305207747688656,1.523788691591704,1.3178982774237882,1.287361787856072,1.3824303668478262,1.800116738505747,1.7531921539230384,1.8714051177536233,1.1439510713393304,0.30811503427973513,0.8692706381184407,0.8568602417541229,0.8173989177286357,0.7608759585051225,0.7016587897457521,0.7156777080209895,0.4832504646114443,0.03380312407272926,-0.1802892011025737,-0.6036093281484258,-0.44480957763305845,-0.3583017085207396,-1.3647046593890555,-1.4658768272113942,-1.456434380466017,-1.3973372688655672,-1.318770107133933
Leeward Kohala,0.6322865691984222,0.6332045980326486,0.5830838868834971,0.5544133414892826,0.5735678536983974,0.274908909405391,0.13885037118484544,0.2264176437137169,0.17719462240358613,0.1598155990862546,0.059956050811098296,0.24330790123083507,0.24844483609023021,0.11562431678419917,0.028413485449150913,0.4041999649573286,0.18364894026930137,0.052002776860362705,-0.18734512563805572,-0.16496677972192245,-0.02318942846139414,0.17333232110793764,0.041681124433657714,-0.10496384867768185,-0.06078150632706287,0.12100012278502406,0.14999404487787785,0.41855631558871687,0.5518962969509775,0.9359734730078396,1.0821080996638384,1.3375435901371937,1.304506665860375,1.1640219916021632,1.2281051140592438,1.219469072516622,1.1295198843901955,0.9913786887838643,1.142853543341272,0.5875524089510767,0.7329094778797013,0.3767741806062072,0.11748793324603676,-0.36703220165661904,-0.2866727710302545,-0.32252597382963677,-0.3152991496725216,0.10220354781851618,0.12903226939673887,0.23342743783026942,0.1688924722992334,-0.0014249410399300388,0.26785162936792944,0.15915811290175028,0.2587868820240399,0.413275590453508,0.1842426596457279,0.27018350304220007,0.21779352210634365,-0.1805934393064032
Leeward Maui Nui,-0.21485090334927343,-0.07193405133266607,-0.128430798441207,-0.39396318139271946,-0.21966163209890271,-0.36536791384008005,0.06932275303742215,-0.1564645570368105,-0.24163162394350535,-0.2631619309756821,-0.37756049358689203,-0.29412518882525207,-0.272506522001038,-0.4498939450808126,-0.49427604630041516,0.30108377585631674,-0.15807824547746144,-0.2966177690354389,-1.0060286226645907,-1.076850603314057,-0.9712844287514828,-0.9072449816503558,-0.9012953643979834,-0.9007164354426157,-0.820363934608541,-0.6138796986209965,-0.5467655856131376,-1.161651097271649,-0.39224463991140274,-0.08771995824992586,0.12263090918779657,0.4280418531750445,0.4289055549377224,0.43083626417927046,0.45449514151467973,0.4328976161680753,0.38293425174228946,0.2620965163478648,0.37288776366029064,0.06516107489064353,0.4914758141496145,0.295300915628707,0.008312785554752372,-0.25377824269721233,-0.2222669716831628,-0.24251971080775503,-0.2535026215432236,-0.07524670366714857,-0.050001104135388864,0.01877854823500519,-0.157926099240992,-0.295084056198102,-0.8138429761639976,-0.9003279535513049,-0.7623861256301898,-0.6638039368327402,-0.7827453106465005,-0.7728318690688019,-0.7732838912366548,-0.9356590117141163
Waianae,0.09489129893182628,0.23661507401741777,0.25115451452121373,-0.16218593373134388,0.046933774594907406,-0.04694286426464161,0.43652941296984266,0.3843997618411681,0.3669365302666084,0.40498614070391414,0.2991508636039886,0.4263847408378658,0.5292900458916084,0.19885282360868298,0.12114895195949883,1.3877863672785549,1.2295754014504015,0.9594899187184344,-0.12818047543999692,-0.17305898085927382,-0.02692893304160394,-0.06260756636122847,-0.03819792618315568,-0.0883587113750688,-0.01558604088511315,0.15503173132567663,0.15525075284596768,-1.1223823015815204,-1.4477393627784252,-0.4330023997992748,-0.13386029389447357,0.34367020060379433,0.40585191989000585,0.4830469281152875,0.4822308496624903,0.42046036284317534,0.33813327966159995,0.14629036192756895,0.4336698819120694,0.25657903972112955,0.6620945153659997,-0.03089535665524435,-0.3389811008219211,-0.4618109935492748,0.33200997226876133,0.29020523747086246,0.2765920422170422,0.42076640807109555,0.3761574074074074,0.4876735858181171,0.3155663961328024,0.03939572729245581,-0.059019118879348374,-0.1426867267931721,0.06473513397951874,-0.05336087851041464,-0.9377485036664724,-0.8845300207604895,-0.8499038486831456,-1.068880031282375
Windward Kauaʻi,1.4748831333310892,1.2724126813484584,1.2243989939578566,0.6934936244025178,0.539658305685758,0.6119721539652618,0.6792049384845833,0.7254675981637942,0.7131137603928235,0.7784076206324896,0.3569074933519591,0.421861062255958,0.4501657276659486,0.5694237058410192,0.1618034020718325,0.7346516510704187,0.5917007571613707,0.06295337114581931,-1.3176206745657735,-1.2627404129359094,-1.0629329904823617,-1.2197433929833714,-1.4301679577049953,-1.3322822608809075,-1.4552766721085229,-1.3787647687491584,-1.2859938295240338,-1.7435223677124008,-1.3291633619311296,-0.19276363505831762,0.10591314707949037,0.40900441379426417,0.5707769161505318,0.8403430762547125,0.8960683464891611,0.7366626308570082,0.76975747536438,0.7317500362907298,1.1731827811532247,1.3027888110946546,1.166923287708698,0.4078925499865356,-0.09407055989495675,0.4265168933347078,0.3458996340421772,0.15453015141649556,0.0017434507066699206,0.0021799174070326176,0.013322765740183621,0.06422647229912819,-0.3789241981326579,-0.8815382483253669,-0.879517998624108,-1.138310019607513,-0.8295191031245792,-1.4662906456173421,-1.6206240743234146,-1.483139142865558,-1.3208510754678875,-1.225343604837081
