division,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
Halele'a,23.162471771240234,22.844173431396484,21.8858699798584,21.10239601135254,20.468795776367188,19.52910614013672,19.67860221862793,19.927148818969727,21.43942642211914,22.020750045776367,22.87458610534668,22.860885620117188,22.66707992553711,22.14008903503418,21.471651077270508,20.240888595581055,19.84445571899414,19.640005111694336,20.262739181518555,21.007854461669922,21.375104904174805,22.007526397705078,23.10863494873047,22.861848831176758,23.165231704711914,22.47150230407715,21.598114013671875,20.210681915283203,19.24896812438965,20.03794288635254,20.10936737060547,20.201404571533203,20.774639129638672,21.787227630615234,22.98500633239746,23.3509521484375,23.228458404541016,22.131946563720703,21.51642417907715,19.782917022705078,19.19635772705078,18.838029861450195,19.384855270385742,20.16325569152832,20.82012176513672,22.247018814086914,22.7227783203125,23.32640266418457,23.063745498657227,22.777145385742188,21.547386169433594,21.03629493713379,19.810577392578125,19.818740844726562,20.65161895751953,20.973438262939453,21.594581604003906,22.3922061920166,22.949705123901367,23.376413345336914
Hilo,18.540451049804688,18.418180465698242,17.817981719970703,16.834217071533203,15.778807640075684,15.001056671142578,15.20230770111084,15.282877922058105,16.98729133605957,17.642942428588867,18.743783950805664,18.25946617126465,18.003244400024414,17.707500457763672,17.397502899169922,15.967663764953613,15.711674690246582,15.607019424438477,16.421998977661133,16.733182907104492,17.15813446044922,17.24520492553711,18.30583381652832,18.328208923339844,18.370290756225586,18.479434967041016,17.098756790161133,16.457826614379883,16.154081344604492,15.49532413482666,16.434925079345703,16.219877243041992,16.55953025817871,17.185321807861328,18.968429565429688,18.515548706054688,18.580184936523438,18.214550018310547,17.41836929321289,16.287010192871094,16.406248092651367,14.544478416442871,15.547523498535156,16.584299087524414,17.146867752075195,17.954059600830078,18.37269401550293,18.896381378173828,18.445098876953125,18.042757034301758,17.076814651489258,16.89312171936035,16.020734786987305,15.899124145507812,15.921592712402344,16.511049270629883,16.737367630004883,17.806447982788086,18.480642318725586,18.8012752532959
Honuaʻula,23.701086044311523,23.49613380432129,22.705148696899414,21.681907653808594,20.877981185913086,19.95948028564453,19.957292556762695,20.122814178466797,21.770893096923828,22.511096954345703,23.370201110839844,23.136669158935547,22.98508644104004,22.590478897094727,21.992338180541992,20.581012725830078,20.211353302001953,20.361217498779297,21.24691390991211,21.613388061523438,22.06916046142578,22.59001922607422,23.299570083618164,23.639623641967773,23.62721061706543,23.35833740234375,22.175209045410156,21.076444625854492,20.14821434020996,20.286216735839844,20.73433494567871,20.995014190673828,21.36473274230957,22.42086410522461,23.360761642456055,23.698875427246094,23.598596572875977,22.880624771118164,22.195228576660156,20.734657287597656,20.48691177368164,19.150672912597656,20.04949188232422,20.84105682373047,21.70926284790039,22.67734718322754,23.23185157775879,23.695615768432617,23.508956909179688,23.171133041381836,21.89306640625,21.566675186157227,20.588699340820312,20.45191764831543,20.979969024658203,21.54725456237793,22.006877899169922,22.933794021606445,23.426197052001953,23.81314468383789
Hāmākua,15.993480682373047,15.729867935180664,15.016690254211426,14.204858779907227,13.0281400680542,12.1080904006958,12.167046546936035,12.570818901062012,14.36971664428711,15.298609733581543,16.396011352539062,15.774173736572266,15.474177360534668,15.126119613647461,14.842199325561523,13.07631778717041,13.029887199401855,12.980877876281738,13.77731990814209,14.092972755432129,14.639293670654297,14.646635055541992,15.667941093444824,15.625861167907715,15.649825096130371,15.688570976257324,14.230493545532227,13.81218433380127,13.683874130249023,12.603433609008789,13.739677429199219,13.414190292358398,13.808263778686523,14.623907089233398,16.607824325561523,15.914135932922363,16.073162078857422,15.96692943572998,14.990233421325684,14.005175590515137,14.14387321472168,12.302969932556152,12.991868019104004,14.129700660705566,14.762937545776367,15.746155738830566,16.18377685546875,16.627113342285156,16.064830780029297,15.462462425231934,14.594600677490234,14.541404724121094,13.373167037963867,13.59627628326416,13.33924674987793,13.794877052307129,14.198615074157715,15.642354965209961,16.168228149414062,16.50238609313965
Hāmākualoa,23.021696090698242,22.91790008544922,22.10716438293457,21.109025955200195,20.302743911743164,19.349735260009766,19.359331130981445,19.462326049804688,21.148048400878906,21.886180877685547,22.783233642578125,22.51216697692871,22.28953742980957,22.026887893676758,21.431520462036133,20.03297233581543,19.62085723876953,19.80259895324707,20.644512176513672,20.979557037353516,21.48413848876953,21.973962783813477,22.781606674194336,23.037216186523438,23.0000057220459,22.79994010925293,21.55859375,20.5485897064209,19.69753646850586,19.712188720703125,20.201263427734375,20.42131996154785,20.709054946899414,21.755857467651367,22.83699607849121,23.073392868041992,22.952089309692383,22.34261703491211,21.620309829711914,20.234113693237305,20.011510848999023,18.504173278808594,19.492679595947266,20.261497497558594,21.139368057250977,22.16290283203125,22.70835304260254,23.20258331298828,22.894317626953125,22.5585880279541,21.355941772460938,21.078401565551758,20.028783798217773,19.926916122436523,20.34235382080078,20.906553268432617,21.326927185058594,22.294925689697266,22.836681365966797,23.23623275756836
Hāmākuapoko,23.675148010253906,23.515066146850586,22.72195816040039,21.694759368896484,20.900514602661133,19.975990295410156,19.9862060546875,20.105121612548828,21.765512466430664,22.48617935180664,23.362043380737305,23.125131607055664,22.952556610107422,22.604379653930664,22.006263732910156,20.620746612548828,20.21925163269043,20.37211036682129,21.247844696044922,21.608295440673828,22.072649002075195,22.591493606567383,23.33340072631836,23.653703689575195,23.632701873779297,23.38700294494629,22.189687728881836,21.101871490478516,20.182546615600586,20.31431007385254,20.75673484802246,21.017765045166016,21.353395462036133,22.39971160888672,23.370094299316406,23.696685791015625,23.579044342041016,22.877782821655273,22.192203521728516,20.744243621826172,20.50057029724121,19.099573135375977,20.05610466003418,20.831899642944336,21.703697204589844,22.6825008392334,23.232437133789062,23.713760375976562,23.492511749267578,23.169357299804688,21.908321380615234,21.58810043334961,20.600086212158203,20.451736450195312,20.96497344970703,21.539947509765625,21.97730827331543,22.894145965576172,23.4138126373291,23.807106018066406
Hāna,23.159107208251953,23.044050216674805,22.236797332763672,21.23306655883789,20.429227828979492,19.481979370117188,19.491680145263672,19.59745216369629,21.27813148498535,22.012184143066406,22.90516471862793,22.641075134277344,22.428871154785156,22.148405075073242,21.55314826965332,20.157604217529297,19.747161865234375,19.923812866210938,20.771852493286133,21.112077713012695,21.608142852783203,22.10470199584961,22.89889907836914,23.16741371154785,23.13322639465332,22.92451286315918,21.691987991333008,20.66512680053711,19.799917221069336,19.839136123657227,20.319358825683594,20.547243118286133,20.844499588012695,21.891321182250977,22.949684143066406,23.20456886291504,23.083833694458008,22.455759048461914,21.74030303955078,20.341981887817383,20.11481475830078,18.628250122070312,19.611202239990234,20.38182830810547,21.258411407470703,22.27279281616211,22.81846809387207,23.310266494750977,23.020803451538086,22.687244415283203,21.472278594970703,21.186466217041016,20.14959716796875,20.037492752075195,20.473365783691406,21.039648056030273,21.46356964111328,22.420026779174805,22.957923889160156,23.356586456298828
Kahikinui,19.286409378051758,19.398025512695312,18.490724563598633,17.67217445373535,16.774450302124023,15.665945053100586,15.643919944763184,15.766820907592773,17.5675048828125,18.454885482788086,19.438806533813477,18.97595977783203,18.513059616088867,18.631732940673828,18.05580711364746,16.519437789916992,16.11995506286621,16.462360382080078,17.13362693786621,17.334415435791016,18.05259895324707,18.380712509155273,19.489749908447266,19.417308807373047,19.306604385375977,19.31589126586914,17.85386848449707,17.2702693939209,16.793283462524414,16.13634490966797,16.91663360595703,16.895627975463867,16.986202239990234,18.060998916625977,19.712135314941406,19.454204559326172,19.354393005371094,19.238191604614258,18.300201416015625,17.24254035949707,17.132925033569336,15.16437816619873,16.19713020324707,16.96686363220215,17.866676330566406,19.129566192626953,19.6573543548584,20.187177658081055,19.455074310302734,19.00762176513672,18.103281021118164,18.060237884521484,16.67870330810547,16.8739013671875,16.757966995239258,17.237564086914062,17.61536407470703,18.904882431030273,19.512104034423828,19.934215545654297
Kaupō,19.57851791381836,19.74192237854004,18.839370727539062,17.998804092407227,17.123985290527344,16.020238876342773,16.020278930664062,16.0679988861084,17.878055572509766,18.72183609008789,19.723901748657227,19.271770477294922,18.79832649230957,18.956472396850586,18.37864875793457,16.894309997558594,16.444528579711914,16.778398513793945,17.448169708251953,17.651630401611328,18.36438751220703,18.703659057617188,19.836164474487305,19.762357711791992,19.644142150878906,19.67122459411621,18.206809997558594,17.601354598999023,17.105073928833008,16.49908447265625,17.24551773071289,17.24566078186035,17.300342559814453,18.35764503479004,20.00553321838379,19.772741317749023,19.643779754638672,19.51093292236328,18.590787887573242,17.524524688720703,17.411447525024414,15.382295608520508,16.501358032226562,17.246273040771484,18.15032196044922,19.407630920410156,19.92986488342285,20.483699798583984,19.735279083251953,19.321895599365234,18.41731071472168,18.36360740661621,16.995092391967773,17.14602279663086,17.053295135498047,17.554317474365234,17.89990997314453,19.144380569458008,19.788198471069336,20.218788146972656
Kaʻū,17.93990135192871,17.70601463317871,17.059795379638672,16.15630340576172,15.061776161193848,14.2395601272583,14.355143547058105,14.654996871948242,16.322582244873047,17.11766815185547,18.137256622314453,17.643077850341797,17.40613555908203,17.049423217773438,16.699081420898438,15.127060890197754,14.996362686157227,14.980830192565918,15.772626876831055,16.047992706298828,16.531217575073242,16.610549926757812,17.614395141601562,17.625823974609375,17.679367065429688,17.722963333129883,16.342063903808594,15.77303409576416,15.500161170959473,14.700167655944824,15.7164888381958,15.458331108093262,15.859051704406738,16.583919525146484,18.347291946411133,17.865846633911133,17.98542594909668,17.707653045654297,16.84323501586914,15.751463890075684,15.847350120544434,14.166791915893555,14.913949966430664,15.969097137451172,16.564918518066406,17.43620491027832,17.899642944335938,18.34272575378418,17.902864456176758,17.40955352783203,16.45869255065918,16.32561492919922,15.36705493927002,15.406708717346191,15.34412956237793,15.858668327331543,16.17658042907715,17.38956642150879,17.95155143737793,18.268299102783203
