island,division_type,name,date,value
Kauaʻi,climate,Leeward Kauaʻi,2021-04,1.7182697330660637
Kauaʻi,climate,Windward Kauaʻi,2021-04,5.051121856384569
Oʻahu,climate,Waianae,2021-04,1.1459431089106287
Oʻahu,climate,Koʻolau,2021-04,5.182223122001189
Maui,climate,Leeward Maui Nui,2021-04,1.2185590555852168
Maui,climate,Windward Maui Nui,2021-04,7.594545680742568
Hawaiʻi,climate,Leeward Kohala,2021-04,1.6126096483945065
Hawaiʻi,climate,Windward Kohala,2021-04,6.16479058075487
Hawaiʻi,climate,Kona,2021-04,2.5957165964719526
Hawaiʻi,climate,Hawaiʻi Mauka,2021-04,1.4489954922527437
Hawaiʻi,climate,Kaʻu,2021-04,3.4586338730610278
Hawaiʻi,climate,Hilo,2021-04,10.82926106101494
Kauaʻi,climate,Leeward Kauaʻi,2021-05,1.4913995805143896
Kauaʻi,climate,Windward Kauaʻi,2021-05,5.924204115779629
Oʻahu,climate,Waianae,2021-05,0.5767238796581808
Oʻahu,climate,Koʻolau,2021-05,4.7363859391180325
Maui,climate,Leeward Maui Nui,2021-05,0.4201415017663636
Maui,climate,Windward Maui Nui,2021-05,2.3290756831977486
Hawaiʻi,climate,Leeward Kohala,2021-05,1.5085230369562612
Hawaiʻi,climate,Windward Kohala,2021-05,3.5178143287924026
Hawaiʻi,climate,Kona,2021-05,3.9066471693043185
Hawaiʻi,climate,Hawaiʻi Mauka,2021-05,1.49692473137929
Hawaiʻi,climate,Kaʻu,2021-05,3.0071389869099074
Hawaiʻi,climate,Hilo,2021-05,7.2395657581165835
Kauaʻi,climate,Leeward Kauaʻi,2021-06,1.5574928727599682
Kauaʻi,climate,Windward Kauaʻi,2021-06,5.87614528969295
Oʻahu,climate,Waianae,2021-06,0.7145381548678793
Oʻahu,climate,Koʻolau,2021-06,3.3688771223696294
Maui,climate,Leeward Maui Nui,2021-06,0.18671669874521157
Maui,climate,Windward Maui Nui,2021-06,1.87736917913539
Hawaiʻi,climate,Leeward Kohala,2021-06,0.93970941441672
Hawaiʻi,climate,Windward Kohala,2021-06,2.0905249645605166
Hawaiʻi,climate,Kona,2021-06,3.6794667657320703
Hawaiʻi,climate,Hawaiʻi Mauka,2021-06,0.8116486685364441
Hawaiʻi,climate,Kaʻu,2021-06,2.67910973633904
Hawaiʻi,climate,Hilo,2021-06,3.902806203491894
Kauaʻi,climate,Leeward Kauaʻi,2021-07,1.8919904269415577
Kauaʻi,climate,Windward Kauaʻi,2021-07,8.406773604551788
Oʻahu,climate,Waianae,2021-07,0.7652887266568369
Oʻahu,climate,Koʻolau,2021-07,4.399977007371597
Maui,climate,Leeward Maui Nui,2021-07,0.22493577941288442
Maui,climate,Windward Maui Nui,2021-07,2.1321516576242803
Hawaiʻi,climate,Leeward Kohala,2021-07,1.3476220398205694
Hawaiʻi,climate,Windward Kohala,2021-07,5.803206000155414
Hawaiʻi,climate,Kona,2021-07,3.6749296298868814
Hawaiʻi,climate,Hawaiʻi Mauka,2021-07,1.7805669224419873
Hawaiʻi,climate,Kaʻu,2021-07,3.8269202490398704
Hawaiʻi,climate,Hilo,2021-07,12.303298572442316
Kauaʻi,climate,Leeward Kauaʻi,2021-08,2.8850732052778976
Kauaʻi,climate,Windward Kauaʻi,2021-08,6.6481296561771694
Oʻahu,climate,Waianae,2021-08,1.5192683382890075
Oʻahu,climate,Koʻolau,2021-08,6.392701270979465
Maui,climate,Leeward Maui Nui,2021-08,0.7463954552397448
Maui,climate,Windward Maui Nui,2021-08,6.054068532070274
Hawaiʻi,climate,Leeward Kohala,2021-08,1.8117498576832116
Hawaiʻi,climate,Windward Kohala,2021-08,6.131058944593696
Hawaiʻi,climate,Kona,2021-08,4.913767670580873
Hawaiʻi,climate,Hawaiʻi Mauka,2021-08,2.1632508954881606
Hawaiʻi,climate,Kaʻu,2021-08,4.176325281945052
Hawaiʻi,climate,Hilo,2021-08,9.86821594641935
Kauaʻi,climate,Leeward Kauaʻi,2021-09,1.6799103800249897
Kauaʻi,climate,Windward Kauaʻi,2021-09,6.235600709149169
Oʻahu,climate,Waianae,2021-09,1.2036830709936026
Oʻahu,climate,Koʻolau,2021-09,6.218816465792273
Maui,climate,Leeward Maui Nui,2021-09,0.5541737593882585
Maui,climate,Windward Maui Nui,2021-09,4.1401246346091956
Hawaiʻi,climate,Leeward Kohala,2021-09,1.0257826837293134
Hawaiʻi,climate,Windward Kohala,2021-09,4.141285659212116
Hawaiʻi,climate,Kona,2021-09,3.6479072082709787
Hawaiʻi,climate,Hawaiʻi Mauka,2021-09,1.852537190716522
Hawaiʻi,climate,Kaʻu,2021-09,4.285087856811349
