island,division_type,name,date,mean,anomaly,pchange,rank,ytd_pnormal
Hawaiʻi,moku,Hilo,2026-03,20.0532025542184,5.755973683941072,40.25936589647264,30.0,147.09196960672676
Hawaiʻi,moku,Hāmākua,2026-03,12.871691733416457,7.252737003894729,129.07626690404152,4.0,177.2272498518016
Hawaiʻi,moku,Kaʻū,2026-03,19.814289640191138,15.265318689500731,335.5774054170182,3.0,228.6897946624662
Hawaiʻi,moku,Kohala,2026-03,15.458250775040066,11.384216607023118,279.4335083489109,1.0,226.35440194686404
Hawaiʻi,moku,Kona,2026-03,15.145947827794064,12.90244676330089,575.1032155723835,1.0,298.83259095504724
Hawaiʻi,moku,Puna,2026-03,17.515862251126137,4.971627130017636,39.63276423009445,34.0,130.3692834730276
Kahoʻolawe,moku,Honuaʻula,2026-03,12.66270808925701,10.667966302141515,534.8043727287618,1.0,291.5646462775221
Kauaʻi,moku,Halele'a,2026-03,10.946141722837668,-3.9515673881995568,-26.52466469003593,61.0,113.86772867872499
Kauaʻi,moku,Kona,2026-03,15.485333475382,9.127847430049105,143.576365956005,6.0,151.68961861105083
Kauaʻi,moku,Koʻolau,2026-03,8.983112853785878,0.3137947177293281,3.6196009052225793,40.0,124.18999604788358
Kauaʻi,moku,Nāpali,2026-03,11.669997675877287,0.6695591027206245,6.086658257012467,40.0,102.65488625143027
Kauaʻi,moku,Puna,2026-03,19.071096372360525,9.572413945691226,100.77622890954763,7.0,159.4106127456763
Lana'i,moku,Lāhainā,2026-03,17.188010815306775,14.981826597010462,679.0832094964361,2.0,323.08375288951225
Maui,moku,Hāmākualoa,2026-03,72.0244792989586,58.8233228028956,445.5921935357603,1.0,309.02662410743693
Maui,moku,Hāmākuapoko,2026-03,38.2320522484971,30.59897829419553,400.87359925226025,1.0,299.0405847273205
Maui,moku,Hāna,2026-03,87.26594640786182,71.14034873547784,441.1641055469828,1.0,299.18186541276685
Maui,moku,Kahikinui,2026-03,23.436489983406716,19.840488826380206,551.7375540219808,1.0,287.49766737184405
Maui,moku,Kaupō,2026-03,32.37782706905342,26.018505508093522,409.13964262826516,1.0,227.60357467750657
Maui,moku,Kipahulu,2026-03,105.97096902055796,86.18362562128122,435.54924924601755,1.0,275.41589744752974
Maui,moku,Koʻolau,2026-03,134.43208629941404,113.19949877747533,533.1403846116784,1.0,344.9615224070443
Maui,moku,Kula,2026-03,21.31683037856014,17.456892555886146,452.25838751445934,1.0,292.1451207007434
Maui,moku,Kāʻanapali,2026-03,58.7056860349353,49.6403313271186,547.5828903232624,1.0,346.76722384131904
Maui,moku,Lāhainā,2026-03,33.34899303452453,28.085003407026047,533.5307512825094,1.0,336.029408647777
Maui,moku,Pūʻali Komohana,2026-03,39.11205354499861,32.50907208614901,492.3392907999001,1.0,314.5124908912117
Moloka'i,moku,Kona,2026-03,31.241330788263937,27.03618369773597,642.9307492866208,1.0,343.92101701070237
Moloka'i,moku,Koʻolau,2026-03,67.87921028143907,57.80224756996738,573.6078342749529,1.0,348.3919031573396
Ni'ihau,moku,Kona,2026-03,,,,,
Oʻahu,moku,Ko'olaupoko,2026-03,28.805625149129085,22.22026697420398,337.41926230848776,2.0,284.03720674105057
Oʻahu,moku,Kona,2026-03,26.952401094363537,20.63903459879397,326.910129695108,1.0,268.3270179619873
Oʻahu,moku,Koʻolauloa,2026-03,27.609421944339804,19.148477050965184,226.31605916686075,3.0,231.3994495669447
Oʻahu,moku,Waialua,2026-03,31.76413757766755,25.163342035082735,381.21680747028546,1.0,281.94093380783715
Oʻahu,moku,Waiʻanae,2026-03,26.715171833989505,22.05980035576608,473.85692976287464,1.0,286.1137182983618
Oʻahu,moku,ʻEwa,2026-03,23.42187801531542,18.386344345574503,365.13199099551434,2.0,268.18535798281135
