division,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
Hawaiʻi Mauka,0.44253325,0.39651695,0.63610214,-0.33992872,1.1475987,-0.38151842,0.95854324,0.566674,0.27627996,0.28218272,0.59060204,0.36126488,0.5577313,-0.46069133,-0.570627,1.3723226,-0.6779083,-0.59615225,-0.26316157,0.75791305,0.7107363,1.4179735,-1.2356235,-0.5024477,-0.032547675,0.33074746,-0.07512877,1.1159031,-0.26873124,1.8293339,0.7010636,1.8461127,0.8800754,0.1573974,-0.32460955,-0.40526372,-0.74667007,-1.2336183,0.7993487,-0.45801353,0.16116036,-0.52720064,-0.6652742,0.108160436,0.8918375,0.19322413,-0.06811572,1.8104417,0.038066305,0.06555766,1.048585,-1.8724906,0.9194966,-1.1626855,0.0759284,1.2343087,0.20433219,0.19597122,-0.30842757,-0.50739586
Hilo,0.5155001,-1.2645254,0.99331385,-0.34227425,1.2164869,0.31934834,1.0910251,-0.06798239,-0.19718407,-1.2719433,0.31929237,-0.21469514,0.31485888,0.8150801,-1.3599136,0.98716944,-0.99640936,-0.62703836,-0.56753695,0.4403527,0.81560355,-0.14321305,-0.7014533,-1.2329885,-0.6530988,-0.54468447,-0.3425204,-0.7408239,-0.85876495,2.0377433,0.24619694,0.13174973,0.466165,-0.5767321,-0.015741965,-0.69922066,-0.899774,-2.0006921,0.10590845,-0.8489954,-0.67265123,-0.21774967,-1.1513081,0.15799561,1.1237582,-0.56347835,-0.72771937,1.5760283,0.16867383,-0.036977448,0.4622905,-2.0089178,-0.16667461,-1.327917,-0.28460625,-2.1526263,-0.40614063,-0.043607853,-0.8446687,-1.2337564
Kaʻu,0.44312963,-0.15176372,0.4228402,-0.00074206496,1.4465306,-0.155687,1.3546345,0.46244407,0.28585973,0.60192823,0.67081004,0.29428196,0.5311802,-0.79112333,-0.08583994,1.6861434,-0.7674314,-0.16177209,-0.124572046,0.72807944,0.17976035,1.1705123,-0.43657562,-0.5175954,-0.16034912,-0.22105987,-0.41399464,0.5391698,-0.11791191,2.2417285,0.59557915,1.8458865,0.8916263,0.51031375,0.5793437,-0.19947663,-0.8737128,-0.9050608,0.72189873,-0.4899408,0.73602605,-0.40658212,-0.6791364,0.15754353,1.4614624,0.16121691,0.05620219,2.1148303,0.5493972,0.12885858,0.87783647,-1.4605646,0.47079688,-0.9800686,0.016766546,0.14608331,0.11849919,0.25092283,-0.19829766,-0.36932707
Kona,0.33800903,-0.37795138,1.6042224,0.26790875,0.9637948,0.35507086,1.3091786,0.58960587,0.6417708,1.137386,0.6676175,1.0646151,0.41595012,-1.5899692,-0.8788203,1.4720418,-0.7980459,-0.49684924,-0.031528883,0.89284027,0.514441,1.8909622,-1.4301206,-0.5219895,0.06682467,0.5188867,0.29559588,1.7179527,-0.2486957,1.5669346,0.36847225,2.19609,1.2331477,1.030192,0.23615514,-0.26342016,-1.0157504,-1.1274191,0.78995603,-0.07463076,0.63136625,0.25241235,-0.81921846,-0.03320105,0.99323225,0.07421895,-0.15570223,2.0592115,0.30127558,-0.03856829,0.9536027,-1.5159163,1.5467619,-0.9674227,-0.057562478,1.0565295,-0.03605866,1.2789302,-0.39607465,-0.51028603
Koʻolau,-1.7851539,-0.76767296,0.35983452,-0.37070993,0.94166094,0.17906816,2.1381059,-0.89631724,-0.36881694,-1.2105389,-0.9519334,0.10260427,-0.04834274,-0.9142795,-1.9936787,2.3754551,0.26920512,-1.5708545,-0.9351842,-0.9033862,0.018458514,-1.5155768,-0.6932717,-0.6191012,-0.11101773,0.018565672,-1.3094994,-0.08505529,0.3662716,1.4339694,-0.17999572,2.0701864,0.4171977,-0.41552714,-0.6960389,-1.2049792,-0.50346917,-2.8150516,1.0488875,0.2827988,0.35670298,-0.46634802,-1.9298311,1.3267527,2.7745469,-0.8123817,-0.73269325,-0.20079587,-0.8261629,0.049489025,-0.6456787,-1.4937158,1.1470977,-1.173091,-0.40130466,1.28631,0.40192077,-0.8869886,-0.3468576,-2.1817167
Leeward Kauaʻi,-0.7500724,1.1612015,-0.45796975,-0.76692456,-0.046007987,0.6615495,1.9166893,-0.36266088,-0.33355457,0.04192429,0.32230017,0.69391006,-0.288715,-0.9320884,-1.5279031,0.5784638,0.17232226,-2.0356948,-0.51006407,-0.35543403,0.5445121,-0.9551868,-0.76909333,0.9096172,-0.45887345,-0.09047714,-1.0047026,0.37895036,0.758862,1.8376323,1.2146361,1.8783358,1.043783,0.25975597,-0.20606089,-0.68864274,-0.92276365,0.6695358,1.3966231,-0.29967746,1.4809746,-0.8363605,-1.5279435,2.9683938,1.0695975,-0.46938795,-1.0094358,-1.5592684,-0.68490565,-0.4873612,-1.3065344,-1.0930135,0.24566399,-0.07328541,-0.88225526,0.984939,0.5111019,-0.065577425,-0.49002433,-1.4163969
Leeward Kohala,0.026552849,0.2812063,-0.3771845,0.013766362,0.4702489,0.058069307,0.74621266,0.5599913,0.2814262,-0.036444947,0.55379766,0.78833073,0.037398264,-0.91260374,-1.1759773,1.255725,-0.66938865,-0.7120822,-0.35804152,0.67677295,0.8941435,1.3518498,-0.8848666,-0.13909145,0.2868507,0.4757345,-0.7762966,1.7971491,-0.021399694,1.218919,0.6205354,1.9483811,0.8291358,0.37147003,-0.04588805,-0.28982392,-0.6326292,-0.73998636,0.5914366,-0.011889018,0.4569132,-0.21532798,-0.7613642,0.012221677,1.0037838,-0.015320272,0.16011634,1.6514057,-0.39000493,0.18583405,0.21702781,-1.180762,1.0753489,-1.0316232,-0.063704565,0.68493325,-0.081593566,0.47118187,-0.21952794,-0.37537047
Leeward Maui Nui,-0.6547985,0.48698497,-0.869218,-0.8610045,0.5510244,-0.14472504,1.2312304,-0.04746891,-0.74041593,-1.1330783,-1.3059833,-0.077031344,-0.59226686,-0.8887164,-0.9563778,1.4463075,-1.3140593,-1.0832828,-0.8161387,-0.61792034,0.06724826,-0.092608586,-1.3215052,-0.31586096,0.013669164,0.20696612,-0.41146362,0.6011872,0.99480695,0.54855734,0.16114235,1.5233982,0.098759316,-0.26599196,-0.47414804,-0.78271204,-0.75883275,-0.79157925,0.31409436,-0.6069103,1.6934344,-0.5150039,-2.1436439,0.18626767,0.33363414,-0.6322127,-0.6639138,0.8437393,-0.659679,-0.30895028,-0.7759622,-1.4867653,1.0915068,-1.0494703,-0.94576824,0.65507,-0.6659641,-0.63635105,-0.71568626,-0.599622
Waianae,-1.5474344,0.7464098,-0.5778293,-0.7658755,1.2160126,0.3375178,1.851361,-0.9369688,-1.1401132,-0.7162731,-0.8768091,0.21503645,-0.29473644,-1.1466817,-1.0597931,2.2367263,0.84737825,-1.9757893,-1.0103587,-1.5938803,0.17777774,-1.6184524,-0.6040679,-0.28907844,0.23610727,-0.07795212,-1.1034809,0.40856293,0.17531903,1.703378,-0.02154684,2.1882052,0.63727725,-0.20233604,-0.53113186,-1.1175977,-0.62212604,-1.7538915,0.28900155,-0.10445978,1.285092,-0.5563084,-2.4014058,1.7326739,2.924726,-1.1795242,-0.6807128,0.31217468,-1.3461818,-0.60237056,-0.512149,-1.456255,1.1898358,-0.94544613,-0.64892405,0.8442879,0.35947683,-0.23817457,-0.37939852,-1.4904603
Windward Kauaʻi,-0.42795756,-1.2248092,0.32001987,-0.5630068,0.3173797,0.61897683,1.9325105,-0.89411455,-0.112132765,-0.3852409,0.3518377,-0.27769673,-0.21989731,-0.3904097,-1.6890037,0.89105976,-0.3975165,-2.2264094,-0.5359237,-0.023544613,0.7656037,-1.3706769,-1.2036436,-0.24141371,-1.3378662,0.19315024,-1.0567135,0.13298988,0.8090436,1.8283747,0.23534897,1.4364316,1.3881191,0.5403116,-0.24979664,-1.185667,-0.85223967,-0.19243863,0.9628636,0.37624803,0.32540083,-0.6187,-1.4574355,2.557882,1.1608751,-0.78885883,-1.5834024,-1.3622674,-0.7751321,0.039612163,-0.65201265,-1.2144388,0.1365148,-1.4149834,-0.6697035,1.5511752,0.7153446,0.18664669,-0.2916092,-1.3502238
