division,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
Hawaiʻi::Hawaiʻi Mauka,0.28077915,0.24270865,0.35111645,0.15152271,0.30755693,0.4068434,0.625098,0.64929414,0.5373416,0.7331422,0.5087517,0.6721584,0.45961985,0.23737109,0.04003778,0.5467546,0.19110544,-0.09057998,-0.31905895,-0.037313066,0.24069361,-0.08529116,-0.098975725,-0.08634669,0.06706348,-0.01785735,-0.27776265,-0.056333024,-0.0413513,0.9143993,1.0193217,1.2579297,1.38298,1.268568,1.5589087,0.70887196,0.3728537,-0.47225234,-0.48031622,-0.77807,-0.7005969,-0.7621166,-0.75072795,-0.41324362,-0.36526224,-0.19652489,-0.32272494,0.7505049,1.0493168,0.9720093,1.0304862,0.7244288,0.9694378,-0.067660995,-0.056635637,0.25227478,-0.0051413258,0.32223535,-0.09388723,0.01130522
Hawaiʻi::Hilo,-0.94043005,-1.0029088,-0.2894567,-0.337995,0.24692413,0.5760598,0.86486185,1.1022248,0.73028815,0.7071323,0.31775323,0.1387866,-0.34598234,-0.0058219503,-0.3687477,0.10946197,-0.28700572,-0.43405643,-0.67072845,-0.87402153,-0.19990686,-0.67585206,-0.6120495,-0.61946964,-0.49134368,-0.7476043,-1.0558238,-1.4327526,-1.5719032,0.061950542,0.26544085,0.41978347,0.6781116,0.80763644,1.2364225,-0.25878388,-0.5402283,-0.9872032,-0.95506674,-1.2832295,-1.5512525,-1.4782641,-1.5690798,-1.1123091,-0.8114734,-0.6905166,-0.7371613,0.30418912,0.71771175,0.6318113,0.46051738,0.13168952,0.13418919,-0.9236243,-1.0192304,-1.4766928,-1.9841413,-1.4509013,-1.8564638,-1.5122156
Hawaiʻi::Kaʻu,0.33431372,0.038930085,0.046687845,-0.10464467,0.55674875,0.59909105,0.9142402,1.0287637,1.0106364,1.178188,0.89493287,0.9832897,0.49096596,0.14761303,0.050850306,0.64010257,0.22400664,0.08752388,-0.07748469,0.22827034,0.3087894,-0.20501873,-0.06257803,-0.11993986,-0.064462885,-0.32879564,-0.4876448,-0.5499011,-0.55558413,0.7159207,0.802309,1.1699079,1.4011497,1.4482859,1.9898342,0.90219283,0.60583705,-0.19834992,-0.11464692,-0.43124193,-0.24621971,-0.30748546,-0.31527618,-0.07284327,0.07470966,0.24796139,-0.07042575,1.0920784,1.527945,1.3522694,1.1794914,0.9047817,0.95161647,-0.10999118,-0.20721698,-0.15349936,-0.44729975,-0.09986967,-0.4580697,-0.26297274
Hawaiʻi::Kona,1.0232688,0.96039444,1.0020894,0.77753234,0.67222387,0.73193544,1.0460675,1.2363853,0.9275537,1.1364392,1.0669807,1.2702157,0.95636845,0.59384876,0.30645996,0.59766746,0.26669312,-0.2627164,-0.39519492,0.20098497,0.43837997,0.3267121,0.24945775,0.24613099,0.28918183,0.21135134,0.14769667,0.40967742,0.5945657,1.2383564,1.2648332,1.6633646,1.7433785,1.5145,1.7174633,1.2008935,0.89112335,0.037401177,-0.21918869,-0.5513542,-0.4593149,-0.33914,-0.25170112,0.014243902,0.15225975,0.22026597,-0.0069786166,0.746008,0.9477561,0.9139933,0.8650739,0.6335321,1.2264436,0.32978728,0.22339465,0.5621972,0.28379247,0.7860061,0.12839943,0.19628021
Hawaiʻi::Leeward Kohala,0.24828039,0.33129144,0.022485457,-0.102180935,-0.24638808,-0.14905746,0.12741376,0.20082732,0.31308472,0.36806285,0.3867205,0.62129056,0.4060348,0.06905636,-0.28220025,0.4167317,-0.048479218,-0.47323257,-0.5627921,-0.16105698,0.2562869,0.023543412,0.17181934,0.34837085,0.58119136,0.53545624,0.06601268,0.81432927,0.74632084,1.1100739,1.1637836,1.4618534,1.6254019,1.1451492,1.399017,1.0130974,0.7641542,-0.18864034,-0.32045734,-0.54985225,-0.38884762,-0.36954528,-0.4380888,-0.23275529,-0.033346895,0.012202313,-0.11637316,0.5684945,0.75932163,0.8074662,0.5472831,0.13330929,0.5616727,-0.25647336,-0.18804635,0.0494572,-0.011406866,0.3823491,-0.1658948,0.000524697
Hawaiʻi::Windward Kohala,-0.45295215,-0.6185893,-0.69179183,-0.9422272,-1.0331229,-1.1158786,-0.7041791,-0.43344924,-0.5329527,-0.4630437,-0.568898,-0.24368404,-0.2907846,-0.01581805,-0.42403367,-0.07204251,-0.544563,-1.0546674,-1.13573,-1.151741,-0.5163104,-0.7042488,-0.4992982,-0.4082433,-0.28577235,-0.38050443,-0.88907707,-0.7459596,-1.0689266,-0.187051,0.13015747,0.15544938,0.33093864,0.0019641975,0.29658467,-0.29409164,-0.6078993,-0.91836303,-1.005967,-1.167788,-1.5527313,-1.5453327,-1.652036,-1.3024782,-1.1695204,-1.1216147,-1.0995814,-0.1540273,0.33143464,0.4307661,0.1777145,-0.28183782,-0.19914055,-1.7852604,-1.6126635,-1.6220726,-1.7410698,-1.3612418,-1.6670498,-1.2719519
Kauaʻi::Leeward Kauaʻi,0.0058694812,0.6091487,0.4290919,-0.03427806,-0.518221,-0.12082698,0.9903623,0.64044124,0.69266444,1.1099389,1.320124,1.3823596,-0.21678379,-0.52681714,-0.8707417,-0.32953084,-0.35401046,-1.0162181,-1.0920911,-0.93623334,-0.5377678,-0.9948637,-1.292726,-0.39938432,-0.2062896,-0.19603634,-0.70132077,-0.26806396,0.088690534,0.8704319,1.257811,1.5965385,1.8801006,1.9956926,2.0080652,1.2831492,0.69949234,0.23198012,0.5034164,0.10052822,0.70104426,0.43194783,0.112634696,0.9086906,0.7891762,1.0285037,0.51708895,0.7499295,1.6023202,-0.75060284,-1.7544457,-2.1989145,-1.6884245,-1.3118784,-1.4293537,-1.0404708,-0.69696635,-0.19201124,-0.30616537,-0.52786744
Kauaʻi::Windward Kauaʻi,-0.16148794,-0.25151432,-0.009957443,-0.21024375,-0.9128803,-0.44900718,0.9444177,1.0558773,0.92904663,1.1291357,1.2181681,1.0124309,-0.681271,-0.58493245,-1.0561261,-0.28099325,-0.5633774,-1.1766621,-1.1493262,-1.1308762,-0.4300639,-1.1092817,-1.2611665,-0.75823385,-0.867056,-0.8381242,-1.5067177,-1.0344894,-0.57171184,0.5079771,0.65795237,0.9917998,1.5580026,1.6508858,1.5797507,0.6477771,0.55560493,-0.10249157,-0.19944443,-0.17843428,-0.10526773,-0.08545294,-0.40854508,0.6219655,0.6166024,0.42986706,0.19926836,0.16090968,0.76585746,-0.8645903,-1.6183007,-1.9435006,-1.6487762,-1.8519633,-1.6409067,-1.1603246,-0.7080013,-0.120716855,-0.18738398,-0.07614654
Maui::Leeward Maui Nui,0.07822464,-0.20923623,-0.6433866,-0.9902214,-0.6525577,-0.5312609,0.13662344,0.04219503,0.13952693,0.41666788,0.1751734,0.25604424,-1.0103042,-1.3019719,-1.5745925,0.14792241,-0.27838397,-0.49149254,-0.62723464,-0.5384429,-0.3049104,-1.582526,-1.4438517,-1.2225238,-0.6970771,-0.3649179,-0.58849394,-0.17392553,0.37022042,0.5155763,0.49930817,0.75251216,0.8763739,0.8477688,0.5008749,0.23254395,0.098549604,-0.9952425,-0.7964177,-1.0859216,0.3817673,0.32975703,0.0380358,0.21109894,0.21709137,0.47457415,-1.1843828,-0.76732993,-0.09864429,-0.2736477,-0.76851225,-1.2621942,-0.23171206,-0.61803067,-0.7748724,-0.53041875,-0.44136116,-0.065570086,-1.1946981,-1.0290442
Maui::Windward Maui Nui,-0.2614081,-0.5697522,-0.5951104,-0.94076926,-0.91535926,-0.545817,0.6882812,0.67985046,0.4756497,0.6736154,0.11946592,0.116299644,-1.4629025,-1.642913,-1.9236978,-0.66248196,-0.9406828,-1.3377423,-1.4073794,-1.4544463,-0.90813553,-1.9660186,-1.5734503,-1.2587347,-0.8924882,-0.5474096,-0.63897496,-0.50254846,0.08870414,0.5226639,0.49771386,0.7880343,0.75247025,0.72606516,0.20186411,-0.26190636,-0.5402863,-1.6731728,-1.561957,-1.6655204,-1.2837074,-1.01498,-1.3686596,-0.8104101,-0.6431628,-0.59946156,-1.3301563,-0.64612633,-0.08834295,-0.071273334,-0.40168968,-0.9216071,-0.18299069,-1.0877947,-1.2912318,-1.3052224,-1.2093891,-0.8456073,-1.8374165,-1.6090516
