island,division_type,name,date,value
Hawai‘i,watershed,Kealahewa,2021-04,71.9830390625
Hawai‘i,watershed,Hualua,2021-04,71.48542855290457
Hawai‘i,watershed,Kumakua,2021-04,69.82508716967283
Hawai‘i,watershed,Kapua,2021-04,71.74586055360992
Hawai‘i,watershed,Ohanaula,2021-04,72.37596235795455
Hawai‘i,watershed,Māhukona,2021-04,71.34446000170145
Hawai‘i,watershed,Hanaula,2021-04,68.69722177298965
Hawai‘i,watershed,Hapahapai,2021-04,69.0666455765845
Hawai‘i,watershed,Pali Akamoa,2021-04,71.81050549523306
Hawai‘i,watershed,Halelua,2021-04,71.6366719148597
Hawai‘i,watershed,Wainaia,2021-04,68.34532818571891
Hawai‘i,watershed,Halawa,2021-04,69.87012987012986
Hawai‘i,watershed,Aamakao,2021-04,65.98004084191973
Hawai‘i,watershed,Niuliʻi,2021-04,68.86802748033216
Hawai‘i,watershed,Waikama,2021-04,67.88154065931165
Hawai‘i,watershed,Pololū,2021-04,66.9413622159091
Hawai‘i,watershed,Honokāne Nui,2021-04,62.611962256493506
Hawai‘i,watershed,Lapakahi,2021-04,70.09115559895834
Hawai‘i,watershed,Honokāne Iki,2021-04,65.28692157451923
Hawai‘i,watershed,Kalele,2021-04,70.83200073242188
Hawai‘i,watershed,Waipahi,2021-04,68.28677312677556
Hawai‘i,watershed,Honokeʻā,2021-04,65.93139814358312
Hawai‘i,watershed,Kāʻilikaula,2021-04,66.61036265980113
Hawai‘i,watershed,Honopue,2021-04,64.48860284213362
Hawai‘i,watershed,Kōlealiʻiliʻi,2021-04,67.32026431435033
Hawai‘i,watershed,Ohiahuea,2021-04,62.5536221852022
Hawai‘i,watershed,Keawanui,2021-04,68.39899774921713
Hawai‘i,watershed,Nakooko,2021-04,63.64933471679687
Hawai‘i,watershed,Waiʻāpuka,2021-04,65.91500091552734
Hawai‘i,watershed,Waikaloa,2021-04,62.36782863451087
Hawai‘i,watershed,Waimaile,2021-04,67.14309137517756
Hawai‘i,watershed,Kukui,2021-04,67.27875892376078
Hawai‘i,watershed,Paopao,2021-04,65.36925048828124
Hawai‘i,watershed,Waiaalala,2021-04,67.3807124546596
Hawai‘i,watershed,Punalulu,2021-04,65.68836470170454
Hawai‘i,watershed,Kaimu,2021-04,64.0832166517103
Hawai‘i,watershed,Pae,2021-04,66.27020263671875
Hawai‘i,watershed,Waimanu,2021-04,65.82507905505952
Hawai‘i,watershed,Pūkoʻa,2021-04,68.91499908447267
Hawai‘i,watershed,Manuwaikaalio,2021-04,68.46950073242188
Hawai‘i,watershed,Naluea,2021-04,67.59246356670673
Hawai‘i,watershed,Kahoʻopuʻu,2021-04,67.63907658503607
Hawai‘i,watershed,Waipāhoehoe,2021-04,67.92264055524554
Hawai‘i,watershed,Wailoa/Waipio,2021-04,64.64432500000001
Hawai‘i,watershed,Waipunahoe,2021-04,63.99344554227942
Hawai‘i,watershed,Waikoekoe,2021-04,69.37347196691177
Hawai‘i,watershed,Waiʻaleʻale,2021-04,69.59891753325591
Hawai‘i,watershed,Waiulili,2021-04,57.30132880327545
Hawai‘i,watershed,Waikoloa 1.0,2021-04,60.414286737856656
Hawai‘i,watershed,Kapulena,2021-04,68.40569783834587
Hawai‘i,watershed,Kaluahine Falls,2021-04,69.5495002746582
Hawai‘i,watershed,Kawaikalia,2021-04,69.55414167131696
Hawai‘i,watershed,Kawela,2021-04,70.41407182173296
Hawai‘i,watershed,Honokaia,2021-04,62.152273637820514
Hawai‘i,watershed,Malanahae,2021-04,66.80794122869318
Hawai‘i,watershed,Honokoa,2021-04,63.85387222096189
Hawai‘i,watershed,Keaakaukau,2021-04,70.53334838867187
Hawai‘i,watershed,Kainapahoa,2021-04,64.71284711478961
Hawai‘i,watershed,Nienie,2021-04,66.34595233269457
Hawai‘i,watershed,Papuaa,2021-04,68.81805791440217
Hawai‘i,watershed,Ouhi,2021-04,71.42330139160157
Hawai‘i,watershed,Kahaupu,2021-04,62.90004953286082
Hawai‘i,watershed,Waikoloa 2.0,2021-04,62.11057211006637
Hawai‘i,watershed,Kahawailiili,2021-04,59.13106239720395
Hawai‘i,watershed,Kawaihae,2021-04,65.85919931994819
Hawai‘i,watershed,Keahua,2021-04,69.25789300042229
Hawai‘i,watershed,Kalōpā,2021-04,51.383231026785715
Hawai‘i,watershed,Waikaalulu,2021-04,65.86847525069962
Hawai‘i,watershed,Kukuilamalamahii,2021-04,68.11604122421116
Hawai‘i,watershed,Alilipali,2021-04,69.98412399291993
Hawai‘i,watershed,Kaumoali,2021-04,58.8004308224879
