division,date,value
Hawai‘i,2021-04,5.013048425295448
Kaho‘olawe,2021-04,0.5744750199480911
Kaua‘i,2021-04,3.641455624703168
Lāna‘i,2021-04,0.8240777744763037
Maui,2021-04,5.0481836599503564
Moloka‘i,2021-04,2.1484006424211164
O‘ahu,2021-04,2.7723049164462914
Hawai‘i,2021-05,3.890667811276909
Kaho‘olawe,2021-05,0.1439884146254581
Kaua‘i,2021-05,4.065365243359806
Lāna‘i,2021-05,0.2693912030158966
Maui,2021-05,1.548334127105509
Moloka‘i,2021-05,0.8506011007279028
O‘ahu,2021-05,2.262878214624327
Hawai‘i,2021-06,2.5022851670212902
Kaho‘olawe,2021-06,0.2249775618226417
Kaua‘i,2021-06,4.069845578301346
Lāna‘i,2021-06,0.1218096540261476
Maui,2021-06,1.3542204505248208
Moloka‘i,2021-06,0.392916279570651
O‘ahu,2021-06,1.775932411563975
Hawai‘i,2021-07,5.7316226405834
Kaho‘olawe,2021-07,0.1260293783593901
Kaua‘i,2021-07,5.677930008407353
Lāna‘i,2021-07,0.1624072156811766
Maui,2021-07,1.33664925670168
Moloka‘i,2021-07,0.6484737391296577
O‘ahu,2021-07,2.230663206336037
Hawai‘i,2021-08,5.330928424830944
Kaho‘olawe,2021-08,0.1679081932948108
Kaua‘i,2021-08,5.043715926783796
Lāna‘i,2021-08,0.4086347682365176
Maui,2021-08,4.06557363334701
Moloka‘i,2021-08,1.581003801348044
O‘ahu,2021-08,3.476761142318891
Hawai‘i,2021-09,5.1465103300855235
Kaho‘olawe,2021-09,0.2948995772539151
Kaua‘i,2021-09,4.318397730783359
Lāna‘i,2021-09,0.4441663107264894
Maui,2021-09,2.851080995161721
Moloka‘i,2021-09,0.9207059115127636
O‘ahu,2021-09,3.217445797727555
Hawai‘i,2021-10,6.241917230919639
Kaho‘olawe,2021-10,0.1610044548910089
Kaua‘i,2021-10,4.222293009294198
Lāna‘i,2021-10,0.4297119670182737
Maui,2021-10,3.610639076544067
Moloka‘i,2021-10,1.1108650835856075
O‘ahu,2021-10,2.6045128307106262
Hawai‘i,2021-11,2.5100732931799503
Kaho‘olawe,2021-11,0.3314373969713975
Kaua‘i,2021-11,2.5729264810081447
Lāna‘i,2021-11,0.507653766156589
Maui,2021-11,1.8138067341887536
Moloka‘i,2021-11,0.930607882123418
O‘ahu,2021-11,1.6877049618592717
Hawai‘i,2021-12,10.413425594527956
Kaho‘olawe,2021-12,3.638380565736633
Kaua‘i,2021-12,12.930305047024309
Lāna‘i,2021-12,6.260707175753974
Maui,2021-12,14.18542478751375
Moloka‘i,2021-12,9.417507012815223
O‘ahu,2021-12,18.259584019346267
Hawai‘i,2022-01,1.305032056317278
Kaho‘olawe,2022-01,0.2689527074053452
Kaua‘i,2022-01,4.214940034213467
Lāna‘i,2022-01,0.3790513575248849
Maui,2022-01,0.9745175565830736
Moloka‘i,2022-01,0.6768468928791677
O‘ahu,2022-01,5.7424685463187135
Hawai‘i,2022-02,2.327404979711871
Kaho‘olawe,2022-02,0.4341458504134297
Kaua‘i,2022-02,0.8152191329514419
Lāna‘i,2022-02,0.5910127581340069
Maui,2022-02,1.4021845073738333
Moloka‘i,2022-02,1.1339126912484407
O‘ahu,2022-02,1.0655210823726349
Hawai‘i,2022-03,4.097442615565867
Kaho‘olawe,2022-03,0.7280049689379725
Kaua‘i,2022-03,4.7649411101086505
Lāna‘i,2022-03,0.8794519759322539
Maui,2022-03,4.121727810689932
Moloka‘i,2022-03,1.970886163527232
O‘ahu,2022-03,2.234028131348485
Hawai‘i,2022-04,6.472365134172905
Kaho‘olawe,2022-04,0.3383641524034161
Kaua‘i,2022-04,5.518878117982666
Lāna‘i,2022-04,0.4674828220175309
Maui,2022-04,2.4371935130157034
Moloka‘i,2022-04,1.329542944475868
O‘ahu,2022-04,2.52509379408329
Hawai‘i,2022-05,5.886918029561357
Kaho‘olawe,2022-05,0.4082806362125808
Kaua‘i,2022-05,6.494913321273061
Lāna‘i,2022-05,0.7545245413014412
Maui,2022-05,4.481126033975649
Moloka‘i,2022-05,2.1998103315973134
O‘ahu,2022-05,3.246595850859058
Hawai‘i,2022-06,4.297700328155199
Kaho‘olawe,2022-06,0.7855321262911458
Kaua‘i,2022-06,2.5211221279362332
Lāna‘i,2022-06,0.5196831358639132
Maui,2022-06,2.7968506647066267
Moloka‘i,2022-06,1.249424542970012
O‘ahu,2022-06,1.3988696890249346
Hawai‘i,2022-07,3.0998687773595046
Kaho‘olawe,2022-07,0.0983010350538379
Kaua‘i,2022-07,3.2544999316038066
Lāna‘i,2022-07,0.1946056028079037
Maui,2022-07,4.121533393457353
Moloka‘i,2022-07,1.6610644476761631
O‘ahu,2022-07,2.5702427657796076
Hawai‘i,2022-08,2.2961175057225036
Kaho‘olawe,2022-08,0.2293588462933816
Kaua‘i,2022-08,5.09034791376239
Lāna‘i,2022-08,0.4811178223889467
Maui,2022-08,2.308548661219371
Moloka‘i,2022-08,1.372935536683057
O‘ahu,2022-08,2.5225565051989163
Hawai‘i,2022-09,3.065087437573935
Kaho‘olawe,2022-09,0.6659529789514758
Kaua‘i,2022-09,2.4658051692152574
Lāna‘i,2022-09,1.1354485774773435
Maui,2022-09,3.8638860799853703
Moloka‘i,2022-09,2.1527916319271103
O‘ahu,2022-09,3.4708424388510575
Hawai‘i,2022-10,3.855588048989494
Kaho‘olawe,2022-10,0.996917636304649
Kaua‘i,2022-10,5.948567599262859
Lāna‘i,2022-10,1.4797153097608085
Maui,2022-10,5.2397582769307345
Moloka‘i,2022-10,3.1460280716896767
O‘ahu,2022-10,4.596412486829394
Hawai‘i,2022-11,4.525244637433094
Kaho‘olawe,2022-11,0.0479374867446578
Kaua‘i,2022-11,4.220320662874393
Lāna‘i,2022-11,0.4754746230129253
Maui,2022-11,5.353363335643561
Moloka‘i,2022-11,3.132894803622022
O‘ahu,2022-11,2.3224031100874636
Hawai‘i,2022-12,6.20581292853044
Kaho‘olawe,2022-12,1.8663253204847168
Kaua‘i,2022-12,7.818806186704703
Lāna‘i,2022-12,3.1044347050958256
Maui,2022-12,6.8079942480778035
Moloka‘i,2022-12,5.734182622390703
O‘ahu,2022-12,5.391998502325943
Hawai‘i,2023-01,1.928131447881562
Kaho‘olawe,2023-01,3.134492880065938
Kaua‘i,2023-01,8.237045837745784
Lāna‘i,2023-01,4.466454835834201
Maui,2023-01,11.16334794486846
Moloka‘i,2023-01,9.516032757539817
O‘ahu,2023-01,5.13243791922103
Hawai‘i,2023-02,15.89537245735593
Kaho‘olawe,2023-02,2.07759697841222
Kaua‘i,2023-02,18.023514457725778
Lāna‘i,2023-02,2.394988857524885
Maui,2023-02,7.465476801782324
Moloka‘i,2023-02,5.825491663144831
O‘ahu,2023-02,9.490526987042426
Hawai‘i,2023-03,7.495159398588826
Kaho‘olawe,2023-03,0.98650270504884
Kaua‘i,2023-03,10.524694099944517
Lāna‘i,2023-03,1.8803340885455355
Maui,2023-03,7.704186993086523
Moloka‘i,2023-03,5.4118468856971775
O‘ahu,2023-03,4.553176831633481
Hawai‘i,2023-04,6.738075534197094
Kaho‘olawe,2023-04,1.7932117303544184
Kaua‘i,2023-04,10.146708298686947
Lāna‘i,2023-04,3.175128509879661
Maui,2023-04,9.307013324767976
Moloka‘i,2023-04,6.008213883522789
O‘ahu,2023-04,8.735005717320197
Hawai‘i,2023-05,5.686342174921599
Kaho‘olawe,2023-05,0.3845489155691564
Kaua‘i,2023-05,8.69589822646364
Lāna‘i,2023-05,1.37065127767048
Maui,2023-05,2.6928230112707796
Moloka‘i,2023-05,3.038164142649025
O‘ahu,2023-05,4.255794084412009
Hawai‘i,2023-06,2.9951099901643277
