division,date,value
Hawaiʻi::Hawaiʻi Mauka,2021-04,47.79109947537019
Hawaiʻi::Hilo,2021-04,63.17946309335923
Hawaiʻi::Kaʻu,2021-04,62.825028391565255
Hawaiʻi::Kona,2021-04,60.81609863672814
Hawaiʻi::Leeward Kohala,2021-04,66.89672629385203
Hawaiʻi::Windward Kohala,2021-04,62.46325928143713
Kauaʻi::Leeward Kauaʻi,2021-04,68.18078910858915
Kauaʻi::Windward Kauaʻi,2021-04,69.04867315849717
Maui::Leeward Maui Nui,2021-04,68.47117592098238
Maui::Windward Maui Nui,2021-04,65.38897861930695
Oʻahu::Koʻolau,2021-04,69.85597328709449
Oʻahu::Waianae,2021-04,71.63862907925409
Hawaiʻi::Hawaiʻi Mauka,2021-05,51.27649421436277
Hawaiʻi::Hilo,2021-05,65.94588594148355
Hawaiʻi::Kaʻu,2021-05,65.63770189557512
Hawaiʻi::Kona,2021-05,63.84754410585405
Hawaiʻi::Leeward Kohala,2021-05,69.34494244033147
Hawaiʻi::Windward Kohala,2021-05,65.2898359281437
Kauaʻi::Leeward Kauaʻi,2021-05,70.89301382361764
Kauaʻi::Windward Kauaʻi,2021-05,71.73142926878535
Maui::Leeward Maui Nui,2021-05,71.44029631607049
Maui::Windward Maui Nui,2021-05,68.48071548267401
Oʻahu::Koʻolau,2021-05,72.75231231164688
Oʻahu::Waianae,2021-05,74.36946751165502
Hawaiʻi::Hawaiʻi Mauka,2021-06,53.62528335730396
Hawaiʻi::Hilo,2021-06,67.00481136943063
Hawaiʻi::Kaʻu,2021-06,66.66515794122596
Hawaiʻi::Kona,2021-06,64.88427977145147
Hawaiʻi::Leeward Kohala,2021-06,70.25022329181759
Hawaiʻi::Windward Kohala,2021-06,66.35221856287424
Kauaʻi::Leeward Kauaʻi,2021-06,71.95045589191082
Kauaʻi::Windward Kauaʻi,2021-06,72.81970694182601
Maui::Leeward Maui Nui,2021-06,72.7448545114789
Maui::Windward Maui Nui,2021-06,69.86496573702794
Oʻahu::Koʻolau,2021-06,74.48340830526502
Oʻahu::Waianae,2021-06,76.05714597902099
Hawaiʻi::Hawaiʻi Mauka,2021-07,55.60420847906384
Hawaiʻi::Hilo,2021-07,68.73734141677795
Hawaiʻi::Kaʻu,2021-07,68.45941653580843
Hawaiʻi::Kona,2021-07,66.88021251002405
Hawaiʻi::Leeward Kohala,2021-07,71.74506432044856
Hawaiʻi::Windward Kohala,2021-07,68.14771856287425
Kauaʻi::Leeward Kauaʻi,2021-07,73.47793783121688
Kauaʻi::Windward Kauaʻi,2021-07,74.31963371936439
Maui::Leeward Maui Nui,2021-07,74.29903897490658
Maui::Windward Maui Nui,2021-07,71.52710964151056
Oʻahu::Koʻolau,2021-07,75.05704163712107
Oʻahu::Waianae,2021-07,76.90889423076923
Hawaiʻi::Hawaiʻi Mauka,2021-08,54.135317311149606
Hawaiʻi::Hilo,2021-08,68.11919919266722
