division,date,value
Statewide,2021-04,63.682928676232905
Statewide,2021-05,66.56595057644887
Statewide,2021-06,67.85709216067906
Statewide,2021-07,69.48411666873957
Statewide,2021-08,68.93014544933075
Statewide,2021-09,68.5702112236954
Statewide,2021-10,67.9086002575211
Statewide,2021-11,67.1145596426972
Statewide,2021-12,64.48951655311132
Statewide,2022-01,64.0658965988383
Statewide,2022-02,64.1247253213009
Statewide,2022-03,65.51519051670475
Statewide,2022-04,66.08651713245148
Statewide,2022-05,66.90150676673612
Statewide,2022-06,67.44570801533568
Statewide,2022-07,69.05449265089084
Statewide,2022-08,69.31408051788219
Statewide,2022-09,69.43839086338588
Statewide,2022-10,69.19520443144549
Statewide,2022-11,66.93840878530125
Statewide,2022-12,65.44764039957096
Statewide,2023-01,64.46876344977699
Statewide,2023-02,63.87198897843196
Statewide,2023-03,65.2362857134332
Statewide,2023-04,65.08955155885178
Statewide,2023-05,65.79856868611591
Statewide,2023-06,67.23813221618497
Statewide,2023-07,69.77284200760123
Statewide,2023-08,69.60706142278299
Statewide,2023-09,69.62401151818399
Statewide,2023-10,68.67519516036822
Statewide,2023-11,67.28000740400438
Statewide,2023-12,64.92593078322645
Statewide,2024-01,64.8080627674237
Statewide,2024-02,62.29498598022379
Statewide,2024-03,63.75068587098809
Statewide,2024-04,65.38444056473375
Statewide,2024-05,66.54676275683437
Statewide,2024-06,68.2035440441957
Statewide,2024-07,69.08063270890494
Statewide,2024-08,69.96193670233706
Statewide,2024-09,69.42795596277077
Statewide,2024-10,68.71698933030082
Statewide,2024-11,66.71725829653272
Statewide,2024-12,66.27276885990892
Statewide,2025-01,64.6243929232595
Statewide,2025-02,64.48202145511107
Statewide,2025-03,64.952715291837
Statewide,2025-04,65.91496964769843
Statewide,2025-05,66.5265263874214
Statewide,2025-06,68.29438943381788
Statewide,2025-07,69.34124426393873
Statewide,2025-08,69.98539924127667
Statewide,2025-09,69.466812725068
Statewide,2025-10,68.48692526074473
Statewide,2025-11,66.9273277681806
Statewide,2025-12,65.70051781450684
Statewide,2026-01,64.25697067132842
Statewide,2026-02,63.17182129667796
Statewide,2026-03,65.0107271724498
