division,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
Aakakii Gulch,32.66704559326172,93.7925796508789,218.00120544433594,84.09862518310547,176.2063446044922,124.52210235595703,586.8628540039062,62.23072814941406,116.7932357788086,42.15528869628906,65.4458999633789,113.56446075439453,78.81765747070312,72.36225128173828,54.75068664550781,477.30487060546875,149.70486450195312,34.01511764526367,56.08260726928711,81.18944549560547,86.03352355957031,37.4532585144043,52.1593132019043,161.42323303222656,107.60224151611328,134.51368713378906,67.30255889892578,156.07391357421875,123.79759979248047,262.50128173828125,140.82936096191406,295.3447570800781,114.1248550415039,67.21125030517578,52.22214126586914,56.62721252441406,67.51085662841797,25.9654483795166,208.4208526611328,121.37606811523438,174.25,95.9434585571289,24.746540069580078,100.79065704345703,593.98779296875,58.32168960571289,58.0982780456543,77.72777557373047,97.16364288330078,97.55687713623047,94.82024383544922,53.37362289428711,234.11122131347656,59.495384216308594,150.80625915527344,198.40420532226562,128.27708435058594,43.809932708740234,67.49105072021484,26.260526657104492
Aamakao Gulch,85.29236602783203,18.65221405029297,212.22732543945312,140.62908935546875,163.04454040527344,70.14046478271484,235.4342803955078,175.75299072265625,68.1773910522461,59.949951171875,201.28594970703125,142.6481475830078,62.622859954833984,142.32093811035156,49.88890075683594,225.40679931640625,47.79315185546875,42.16123580932617,138.97564697265625,179.4488525390625,196.5921630859375,153.08802795410156,115.0640640258789,77.10851287841797,42.082855224609375,48.53305435180664,124.36359405517578,441.90606689453125,82.55038452148438,265.1874084472656,320.16217041015625,190.5338897705078,142.67001342773438,86.50289916992188,51.57175827026367,88.75062561035156,49.54762649536133,23.67498779296875,177.5767059326172,144.10110473632812,147.47903442382812,145.86097717285156,15.346221923828125,192.66000366210938,288.3385925292969,114.10484313964844,68.96231842041016,312.96868896484375,58.78033447265625,107.04727172851562,156.12008666992188,42.47679901123047,179.38340759277344,14.63698959350586,181.2888641357422,219.24514770507812,71.44161987304688,63.73893737792969,106.15267944335938,57.459007263183594
Aamanu,81.92163848876953,64.48826599121094,294.1123046875,146.7157745361328,291.92291259765625,161.6120147705078,411.7335510253906,236.89137268066406,132.84292602539062,54.067047119140625,165.7899932861328,184.77163696289062,145.39749145507812,265.6963806152344,69.11034393310547,385.0215759277344,55.17619705200195,79.46326446533203,178.2815399169922,274.88446044921875,250.18264770507812,108.91268920898438,115.27052307128906,60.60715103149414,70.08726501464844,143.61676025390625,200.75131225585938,210.04037475585938,54.963165283203125,487.3424072265625,332.281982421875,231.12496948242188,195.7641143798828,46.81326675415039,158.40145874023438,100.3243637084961,49.764713287353516,38.53641128540039,323.0756530761719,141.52426147460938,50.7379150390625,159.7733612060547,102.1966552734375,189.0249481201172,153.06210327148438,73.02448272705078,104.11103057861328,427.9625549316406,132.14242553710938,121.3105697631836,255.6461944580078,40.83069610595703,125.09822082519531,28.076480865478516,211.32630920410156,46.292076110839844,67.85232543945312,75.25189971923828,87.4330825805664,75.33332061767578
Ahaino Gulch,105.76239776611328,222.88929748535156,132.2896728515625,43.16017150878906,239.19471740722656,111.60186004638672,442.93743896484375,125.60842895507812,47.38404083251953,44.02311706542969,55.53330993652344,148.7180633544922,101.06797790527344,76.78593444824219,56.140960693359375,358.94976806640625,28.011653900146484,44.80430221557617,88.89492797851562,67.92793273925781,126.97005462646484,128.19415283203125,111.81287384033203,118.77430725097656,221.7078857421875,211.90074157714844,206.0745849609375,217.09059143066406,368.8384094238281,271.22528076171875,307.3677062988281,367.12640380859375,181.84873962402344,648.919189453125,144.80946350097656,67.27120208740234,78.38327026367188,70.51052856445312,217.64077758789062,165.73968505859375,508.1026611328125,116.66524505615234,13.757247924804688,174.26339721679688,147.54405212402344,158.2139892578125,109.79496765136719,335.0949401855469,128.98951721191406,180.1400146484375,211.59800720214844,25.438425064086914,375.6264343261719,57.70038604736328,73.36408996582031,87.10702514648438,75.62950134277344,202.02845764160156,129.37657165527344,58.95570755004883
Ahole,273.2585144042969,76.97261047363281,628.244140625,280.5049743652344,553.5443115234375,314.3307800292969,703.1292114257812,357.0235290527344,258.58111572265625,141.1453857421875,402.04486083984375,386.3539733886719,362.9399719238281,452.464111328125,142.36575317382812,603.8689575195312,78.38326263427734,152.73858642578125,266.6552429199219,445.36651611328125,556.4557495117188,250.2444305419922,321.87286376953125,143.8639678955078,170.78126525878906,249.52708435058594,372.52716064453125,239.80674743652344,55.6325569152832,952.7973022460938,482.9084777832031,267.609130859375,325.46014404296875,181.447509765625,391.393798828125,258.8032531738281,149.23397827148438,78.01134490966797,468.83355712890625,233.74986267089844,72.2677993774414,274.4541320800781,169.30908203125,352.24554443359375,369.3310241699219,229.80322265625,274.8955383300781,635.1046752929688,322.0716247558594,290.699951171875,526.119873046875,111.14466094970703,129.8024139404297,63.072113037109375,330.5163879394531,21.226694107055664,118.88265991210938,211.56338500976562,212.02740478515625,151.79119873046875
Ahulua,33.81168746948242,28.245664596557617,45.63738250732422,52.43025588989258,96.54449462890625,26.447280883789062,125.93660736083984,76.95028686523438,38.51991653442383,25.727964401245117,74.35307312011719,66.18204498291016,25.00275230407715,21.115955352783203,14.560628890991211,128.747314453125,26.011089324951172,17.294065475463867,49.825340270996094,70.53813171386719,78.43326568603516,75.88573455810547,28.5200252532959,34.98146057128906,27.625925064086914,35.557220458984375,35.214759826660156,261.43658447265625,50.545989990234375,137.37911987304688,147.8939208984375,133.88768005371094,65.56940460205078,54.74656295776367,35.02311706542969,28.92125701904297,20.480955123901367,10.734749794006348,75.66395568847656,69.60841369628906,111.04132843017578,48.854427337646484,22.542665481567383,77.30335235595703,114.44556427001953,48.0123176574707,35.27983856201172,146.20880126953125,28.126686096191406,47.573482513427734,49.11289978027344,15.985008239746094,113.00189971923828,7.9382643699646,81.94550323486328,83.33554077148438,26.94796371459961,34.66551971435547,39.211761474609375,22.323944091796875
Aiea,24.36609649658203,73.25634765625,146.633544921875,98.15467071533203,256.6927795410156,108.69805145263672,444.01812744140625,62.5517692565918,45.01931381225586,49.88946533203125,53.12883377075195,98.9000244140625,99.58165740966797,67.4258041381836,39.144866943359375,556.3819580078125,144.48878479003906,22.42870330810547,49.94643783569336,58.49116897583008,103.50109100341797,39.974769592285156,66.97877502441406,34.92270278930664,75.79633331298828,86.90644073486328,86.476806640625,118.61552429199219,136.0008087158203,259.71044921875,124.30799102783203,174.75228881835938,96.32118225097656,62.12712097167969,57.422847747802734,44.15555953979492,57.792118072509766,19.19940757751465,229.08824157714844,144.32286071777344,133.59341430664062,68.66948699951172,24.357357025146484,204.0886993408203,217.56198120117188,48.927791595458984,51.7011833190918,107.9394760131836,34.181304931640625,139.31967163085938,103.00527954101562,20.03963851928711,198.0907745361328,39.32875061035156,73.94286346435547,139.5814971923828,85.74835205078125,77.96290588378906,82.08778381347656,16.126869201660156
Aikoolau Gulch,9.65623950958252,41.5778694152832,18.5396785736084,18.913097381591797,79.6577377319336,32.244178771972656,156.0030517578125,30.290939331054688,10.456250190734863,3.0594358444213867,4.814242362976074,8.500781059265137,8.551506996154785,11.610946655273438,10.73154354095459,150.1344451904297,9.021492958068848,16.677614212036133,24.874235153198242,20.31566619873047,28.254541397094727,9.333518981933594,9.3707914352417,7.94468355178833,25.39280891418457,31.09046745300293,31.725265502929688,123.93902587890625,134.96766662597656,134.9423065185547,125.96807861328125,91.93318939208984,46.581050872802734,69.89413452148438,12.518071174621582,6.2458014488220215,7.58397912979126,16.37051773071289,43.79164123535156,64.87326049804688,156.93370056152344,37.65163803100586,3.795961380004883,60.072479248046875,34.22544860839844,25.3804931640625,9.518242835998535,35.9302864074707,6.284671783447266,24.85725975036621,46.00370407104492,12.943737983703613,119.9285888671875,17.858442306518555,26.958654403686523,33.4935417175293,13.754008293151855,14.963149070739746,10.772186279296875,5.075361728668213
Aipo,54.98704147338867,112.42253112792969,134.8943634033203,95.41944122314453,83.63003540039062,116.75961303710938,494.4466247558594,63.029945373535156,65.50120544433594,68.39591217041016,93.98201751708984,69.18291473388672,89.49496459960938,88.47127532958984,47.955909729003906,310.0655822753906,112.40140533447266,9.988198280334473,44.3734245300293,105.14732360839844,91.05776977539062,24.34894371032715,59.37430953979492,58.679542541503906,37.89576721191406,78.03465270996094,74.51118469238281,146.121337890625,109.41946411132812,355.7639465332031,236.72940063476562,174.1486053466797,118.10906982421875,70.01959228515625,74.4919204711914,29.10321044921875,46.29541015625,64.68737030029297,175.4884796142578,164.33358764648438,127.76722717285156,60.30339813232422,35.070919036865234,544.1358032226562,114.65361785888672,47.641300201416016,48.779415130615234,22.66657066345215,48.17694091796875,68.29972076416016,90.64756774902344,25.033052444458008,63.42356491088867,40.55203628540039,39.872867584228516,98.29254150390625,88.52386474609375,81.99579620361328,39.590232849121094,23.538501739501953
Alaalaula Gulch,101.55480194091797,127.93228912353516,300.38525390625,59.12066650390625,213.97976684570312,112.42224884033203,492.6297302246094,113.10943603515625,47.29855728149414,39.055641174316406,41.80009460449219,119.69747924804688,83.37194061279297,81.47696685791016,59.77376174926758,312.65765380859375,24.98202133178711,41.046592712402344,92.229248046875,60.35675811767578,112.42855072021484,86.4146499633789,84.27957916259766,89.36607360839844,151.90577697753906,182.22544860839844,159.7134552001953,162.9170684814453,280.519775390625,200.13211059570312,218.26622009277344,292.7700500488281,72.7913818359375,78.33112335205078,106.9239273071289,46.86910629272461,62.98086929321289,49.38466262817383,180.5502471923828,73.1468505859375,330.1700744628906,99.50455474853516,13.83991527557373,126.78092193603516,134.14578247070312,55.52996826171875,82.64301300048828,194.768798828125,79.0870361328125,143.84959411621094,69.50725555419922,20.078723907470703,301.5811767578125,35.383384704589844,71.64741516113281,75.36039733886719,125.00064849853516,60.541168212890625,116.51446533203125,63.34837341308594
