division,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
Aakakii Gulch,0.09153930842876434,-0.14794832468032837,0.0453011579811573,-0.32497695088386536,-0.3113541901111603,-0.5538056492805481,0.16468459367752075,0.024518156424164772,0.1742762178182602,0.17044708132743835,0.006357631180435419,0.21994565427303314,0.34937408566474915,0.3141660690307617,-0.13008390367031097,0.9018682837486267,0.8677884936332703,0.6760315299034119,-1.0854460000991821,-0.9877191185951233,-1.0281716585159302,-1.0252350568771362,-1.0531659126281738,-0.8944305181503296,-0.8012895584106445,-0.521737813949585,-0.5142133235931396,-1.697506070137024,-1.9717377424240112,-1.2724955081939697,-0.7722902894020081,-0.06286149471998215,0.02837393805384636,0.11867240071296692,0.11535448580980301,-0.17096807062625885,-0.28695347905158997,-0.5304012894630432,-0.1529158055782318,-0.3136557340621948,-0.2041279673576355,-0.8956482410430908,-1.1562491655349731,-1.8541041612625122,-0.1582944244146347,-0.17449530959129333,-0.15558922290802002,-0.08679842948913574,0.0013718361733481288,0.23067298531532288,-0.08546750992536545,-0.33887389302253723,-0.20586536824703217,-0.39519354701042175,0.08688037842512131,0.3773476481437683,-1.038798213005066,-1.0680850744247437,-1.02146577835083,-1.1915944814682007
Aamakao Gulch,0.17464153468608856,0.12557995319366455,0.30576077103614807,0.09841032326221466,-0.418272465467453,-0.6037492752075195,-0.5196815133094788,-0.33360615372657776,-0.6421482563018799,-0.755859911441803,-0.7187130451202393,-0.4394809305667877,-0.4795367419719696,-0.19736093282699585,-0.5560410022735596,-0.43330809473991394,-0.7312964797019958,-0.8164336681365967,-1.0495679378509521,-1.0114614963531494,-0.6749719977378845,-0.4515755772590637,-0.6549445390701294,-0.7733120918273926,-0.8058602809906006,-1.0223989486694336,-0.8384994268417358,-0.4229399561882019,-0.3639393150806427,0.13051025569438934,0.5317095518112183,0.5469118356704712,0.4371144771575928,0.30901899933815,0.17821557819843292,0.2178182750940323,0.23264534771442413,0.19035957753658295,0.2883835732936859,-0.38595736026763916,-0.26422154903411865,-0.5643696784973145,-1.3323384523391724,-1.2908116579055786,-0.8930380940437317,-0.8187859654426575,-0.7721934914588928,-0.2173824906349182,-0.1865035444498062,-0.0026749076787382364,-0.05451343208551407,-0.337146520614624,-0.28286659717559814,-0.5938239693641663,-0.18313384056091309,-0.10379349440336227,-0.5838794112205505,-0.6947060227394104,-0.6089462041854858,-1.2010225057601929
Aamanu,-0.000485411990666762,0.02162659727036953,0.2842889726161957,0.06548848003149033,-0.7470189929008484,-0.7328611612319946,-0.6161121129989624,-0.6624694466590881,-0.7158312201499939,-0.6892154812812805,-0.7035046815872192,-0.49447837471961975,-0.3820871412754059,-0.08020388334989548,-0.4462033212184906,-0.09709957242012024,-0.5213388800621033,-0.6603444814682007,-1.0133250951766968,-0.9027819633483887,-0.7347410917282104,-0.6238309144973755,-0.7143048048019409,-0.8859249949455261,-0.9888443350791931,-1.1684017181396484,-1.0138826370239258,-1.4874478578567505,-1.4954363107681274,-0.7149272561073303,-0.4053545892238617,-0.4527822434902191,-0.5618495345115662,-0.6469087600708008,-0.581939160823822,-0.48666006326675415,-0.5030603408813477,-0.6480447053909302,-0.5059142112731934,-0.6884509921073914,-0.7175043225288391,-1.3258392810821533,-1.6987746953964233,-1.7107491493225098,-1.8670142889022827,-1.7714580297470093,-1.9002764225006104,-1.1945416927337646,-1.019130825996399,-0.8525412678718567,-1.033959984779358,-1.3580207824707031,-1.2213596105575562,-1.4773800373077393,-1.1801155805587769,-1.3911041021347046,-1.615466833114624,-1.574797511100769,-1.6208778619766235,-2.31308913230896
Ahaino Gulch,-0.3683274984359741,-0.24382056295871735,-0.3771224319934845,-0.560973584651947,-0.5921372175216675,-0.7511710524559021,-0.3108293116092682,-0.564987063407898,-0.6950036883354187,-0.7715473771095276,-1.161490559577942,-0.9791584014892578,-0.8997284770011902,-1.0530552864074707,-1.2463421821594238,-0.7945261001586914,-1.20919668674469,-1.318433403968811,-1.9753804206848145,-2.079099655151367,-1.9191237688064575,-1.731993317604065,-1.6359983682632446,-1.712816596031189,-1.365964412689209,-1.0660111904144287,-0.9017817974090576,-1.1829239130020142,-0.7186943292617798,-0.3850175440311432,-0.07070619612932205,0.29647719860076904,0.3620185852050781,0.9245026111602783,0.9626767039299011,0.9334179759025574,0.75448077917099,0.5968881249427795,0.6293833255767822,0.5637533664703369,0.7189155220985413,0.5388262271881104,0.20894771814346313,-0.040466826409101486,-0.0856795385479927,-0.7456997632980347,-0.8023462891578674,-0.4131924510002136,-0.2983797788619995,-0.13115853071212769,-0.16074015200138092,-0.3763582408428192,-0.6290231943130493,-0.7140934467315674,-0.6049894094467163,-0.7309870719909668,-0.8431676626205444,-0.763067901134491,-0.7387149333953857,-1.1829264163970947
Ahole,-0.4514431655406952,-0.6292927265167236,-0.2792932093143463,-0.5126561522483826,-0.7847356200218201,-0.6218371987342834,-0.5016674399375916,-0.19520682096481323,-0.17612726986408234,-0.2084827572107315,-0.06069249287247658,0.14857175946235657,0.2415064573287964,0.5981213450431824,0.11689221858978271,0.4509373903274536,-0.11211056262254715,-0.2652182877063751,-0.7588185667991638,-0.6113256812095642,-0.27165940403938293,-0.16188868880271912,-0.2564346194267273,-0.492751806974411,-0.7146904468536377,-0.9267030358314514,-0.6652633547782898,-1.2216962575912476,-1.3415697813034058,-0.27974873781204224,-0.027061892673373222,-0.19488102197647095,-0.4408774971961975,-0.5384653210639954,-0.47283515334129333,-0.3036949932575226,-0.32663077116012573,-0.5040423274040222,-0.407543420791626,-0.4760017395019531,-0.5188301205635071,-1.287634253501892,-1.7211318016052246,-1.517013430595398,-1.4384901523590088,-1.4303886890411377,-1.6143006086349487,-1.0441745519638062,-0.8365500569343567,-0.5663620829582214,-0.5137794613838196,-0.7361249327659607,-0.7340377569198608,-0.9200345873832703,-0.7192502617835999,-1.0654327869415283,-1.3640834093093872,-1.4454154968261719,-1.5554149150848389,-2.151151418685913
Ahulua,0.5014510750770569,0.5195255279541016,0.5119220614433289,0.4378204941749573,0.30965209007263184,-0.14739814400672913,-0.14293700456619263,0.015569658949971199,-0.18309485912322998,-0.2551672160625458,-0.2326464056968689,-0.014618235640227795,-0.04606996476650238,-0.08818165957927704,-0.20641689002513885,0.13454654812812805,-0.16522952914237976,-0.22633400559425354,-0.565123438835144,-0.5978838205337524,-0.43850722908973694,-0.19995349645614624,-0.4090968370437622,-0.554259717464447,-0.5378000736236572,-0.42199328541755676,-0.31789442896842957,0.21866001188755035,0.33233749866485596,0.8017193078994751,1.1134662628173828,1.3391592502593994,1.329528570175171,1.2613542079925537,1.3004150390625,1.300992727279663,1.2752150297164917,1.1634923219680786,1.2901692390441895,0.5820914506912231,0.8241155743598938,0.4548651874065399,-0.028087174519896507,-0.29703831672668457,-0.10577548295259476,-0.14494016766548157,-0.14652588963508606,0.3517797291278839,0.39351966977119446,0.5318090915679932,0.41621851921081543,0.17802126705646515,0.19520552456378937,0.020656287670135498,0.25816625356674194,0.2834770679473877,-0.07324107736349106,-0.10689936578273773,-0.1022963747382164,-0.6680060029029846
Aiea,0.6923035383224487,0.4916994273662567,0.7933254837989807,0.5150105357170105,0.19691646099090576,0.25778689980506897,0.911064863204956,0.8785631060600281,0.8399631977081299,0.8937978744506836,0.7698310613632202,0.9510403871536255,1.2033073902130127,1.1123076677322388,0.8404089212417603,2.5860776901245117,2.1179420948028564,1.9166014194488525,0.32830649614334106,0.3187142312526703,0.5041561722755432,0.4884128272533417,0.5286729335784912,0.3087460696697235,0.23949652910232544,0.318475604057312,0.49380025267601013,-1.560823678970337,-1.6118625402450562,-0.4357989430427551,-0.02167060598731041,0.42684289813041687,0.3972499668598175,0.48878514766693115,0.45866677165031433,0.5029116868972778,0.450655460357666,0.21688596904277802,0.7359551191329956,0.8843170404434204,0.8449445962905884,0.041605763137340546,-0.3047160804271698,-0.20687086880207062,0.2467309832572937,0.21268734335899353,0.19116581976413727,0.42923465371131897,0.3555997908115387,0.7363465428352356,0.32896560430526733,-0.19940315186977386,0.05962419882416725,-0.07940303534269333,0.1589045375585556,-0.08750194311141968,-0.5766537189483643,-0.46747323870658875,-0.35964643955230713,-0.7460762858390808
Aikoolau Gulch,-0.21076731383800507,-0.062051307410001755,-0.22839301824569702,-0.5408296585083008,-0.35761895775794983,-0.5857037901878357,0.11242097616195679,-0.27835726737976074,-0.35647401213645935,-0.374161034822464,-0.5023885369300842,-0.4594644010066986,-0.46547380089759827,-0.613307535648346,-0.744304895401001,0.06717192381620407,-0.38469457626342773,-0.47379326820373535,-1.3510562181472778,-1.4010586738586426,-1.2377456426620483,-1.179408073425293,-1.1596109867095947,-1.1593350172042847,-1.0423617362976074,-0.8574157357215881,-0.8080112338066101,-1.0027886629104614,-0.20847202837467194,0.45421695709228516,0.949179470539093,1.2263004779815674,1.2834455966949463,1.4985113143920898,1.5212677717208862,1.5187883377075195,1.4646188020706177,1.3680461645126343,1.525964379310608,1.2573076486587524,1.3698211908340454,0.9119952321052551,0.33466124534606934,0.15724040567874908,0.09633717685937881,-0.1270914077758789,-0.1452295333147049,0.015722351148724556,0.01172065269201994,0.06913634389638901,0.06517981737852097,-0.24315758049488068,-0.522277295589447,-0.6400530934333801,-0.4560263454914093,-0.6124256253242493,-0.7242103219032288,-0.7782588005065918,-0.7789161205291748,-0.9768257737159729
Aipo,1.0334312915802002,0.9504860639572144,1.0792179107666016,0.5214252471923828,0.3993473947048187,0.5858648419380188,1.0834077596664429,1.1984559297561646,1.236193299293518,1.3741405010223389,1.233736515045166,1.2125743627548218,1.3020375967025757,1.215525507926941,0.9363018870353699,1.68430495262146,1.7342572212219238,1.5280961990356445,-0.26401060819625854,-0.10400671511888504,0.005813410971313715,-0.1821998655796051,-0.34985658526420593,-0.35001111030578613,-0.5559560656547546,-0.5810796618461609,-0.4815491735935211,-1.252953052520752,-1.226962924003601,0.2697349190711975,0.9375494718551636,1.2365117073059082,1.306673288345337,1.5264862775802612,1.5803438425064087,1.3957366943359375,1.3951224088668823,1.344558835029602,1.6851511001586914,1.7920057773590088,1.8034296035766602,0.8968979120254517,0.05792813003063202,1.456581711769104,1.4148640632629395,1.4021285772323608,1.3104033470153809,1.2194854021072388,1.2022920846939087,1.2082377672195435,0.9320613741874695,0.43981698155403137,0.18847720324993134,0.10688997060060501,0.11906245350837708,-2.02294921875,-2.124420404434204,-2.0266005992889404,-2.114064931869507,-1.9514343738555908
Alaalaula Gulch,0.020190058276057243,0.016033995896577835,0.299301415681839,-0.030261900275945663,-0.7416021227836609,-1.066265344619751,0.02290298417210579,-0.2738262712955475,-0.47393059730529785,-0.5691553950309753,-1.0949033498764038,-0.8159288763999939,-0.8662341237068176,-0.9854374527931213,-1.7159333229064941,-1.0852587223052979,-1.973263144493103,-2.3747332096099854,-3.0899999141693115,-3.0899999141693115,-3.0899999141693115,-3.085573196411133,-3.0231316089630127,-2.9826202392578125,-2.7220911979675293,-2.291661024093628,-1.9374547004699707,-2.796761989593506,-2.065262794494629,-1.53227961063385,-0.9819076061248779,-0.17833957076072693,-0.26993703842163086,-0.2811567485332489,-0.20432525873184204,-0.2851161062717438,-0.5283368825912476,-0.8922881484031677,-0.834254264831543,-1.2610222101211548,-1.2625348567962646,-1.7224093675613403,-2.4442663192749023,-2.960512161254883,-2.5770187377929688,-2.6212968826293945,-2.645648956298828,-1.953717589378357,-1.9038337469100952,-1.5536937713623047,-1.9086447954177856,-2.378979444503784,-2.8201026916503906,-3.0569005012512207,-2.8436577320098877,-2.9030332565307617,-2.770232915878296,-2.7045695781707764,-2.502464532852173,-2.830012321472168
