year,month,date,division_full,cat_0,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
2024,9,2024-09,Hawaiʻi::Aamakao Gulch,0.0,0.0,0.0,0.0,0.0,70.46413502109705,20.675105485232066,8.860759493670885,0.0,0.0,0.0
2024,10,2024-10,Hawaiʻi::Aamakao Gulch,0.0,0.0,0.0,0.0,0.0,0.0,27.21518987341772,69.62025316455697,3.1645569620253164,0.0,0.0
2024,11,2024-11,Hawaiʻi::Aamakao Gulch,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024,12,2024-12,Hawaiʻi::Aamakao Gulch,0.0,0.0,0.0,95.35864978902954,4.641350210970464,0.0,0.0,0.0,0.0,0.0,0.0
2025,1,2025-01,Hawaiʻi::Aamakao Gulch,0.0,0.0,0.0,53.16455696202531,46.835443037974684,0.0,0.0,0.0,0.0,0.0,0.0
2025,2,2025-02,Hawaiʻi::Aamakao Gulch,16.244725738396625,56.118143459915615,27.42616033755274,0.21097046413502107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,3,2025-03,Hawaiʻi::Aamakao Gulch,0.0,0.0,0.0,19.198312236286917,66.45569620253164,14.345991561181433,0.0,0.0,0.0,0.0,0.0
2025,4,2025-04,Hawaiʻi::Aamakao Gulch,0.0,0.0,0.0,0.21097046413502107,36.075949367088604,63.71308016877637,0.0,0.0,0.0,0.0,0.0
2025,5,2025-05,Hawaiʻi::Aamakao Gulch,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2025,6,2025-06,Hawaiʻi::Aamakao Gulch,0.0,0.0,0.0,0.21097046413502107,14.978902953586498,84.81012658227847,0.0,0.0,0.0,0.0,0.0
2025,7,2025-07,Hawaiʻi::Aamakao Gulch,0.0,0.0,0.0,65.18987341772153,34.810126582278485,0.0,0.0,0.0,0.0,0.0,0.0
2025,8,2025-08,Hawaiʻi::Aamakao Gulch,0.0,0.0,21.940928270042196,72.9957805907173,5.063291139240507,0.0,0.0,0.0,0.0,0.0,0.0
2024,9,2024-09,Hawaiʻi::Aamanu,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024,10,2024-10,Hawaiʻi::Aamanu,0.0,0.0,0.0,0.0,0.0,0.0,76.31578947368422,23.684210526315788,0.0,0.0,0.0
2024,11,2024-11,Hawaiʻi::Aamanu,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024,12,2024-12,Hawaiʻi::Aamanu,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,1,2025-01,Hawaiʻi::Aamanu,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2,2025-02,Hawaiʻi::Aamanu,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,3,2025-03,Hawaiʻi::Aamanu,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,4,2025-04,Hawaiʻi::Aamanu,65.78947368421053,34.21052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,5,2025-05,Hawaiʻi::Aamanu,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,6,2025-06,Hawaiʻi::Aamanu,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,7,2025-07,Hawaiʻi::Aamanu,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,8,2025-08,Hawaiʻi::Aamanu,0.0,0.0,7.894736842105263,92.10526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,9,2024-09,Hawaiʻi::Ahole,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0
2024,10,2024-10,Hawaiʻi::Ahole,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
