division,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
Aakakii Gulch,26.3448486328125,25.71642303466797,24.911516189575195,23.803224563598633,23.201171875,22.14610481262207,22.20293426513672,22.639392852783203,24.097362518310547,25.016664505004883,25.59149742126465,25.569793701171875,25.41272735595703,24.985044479370117,24.376365661621094,22.734312057495117,22.374486923217773,22.819156646728516,23.389148712158203,23.907575607299805,24.38475227355957,25.1200008392334,25.479175567626953,26.044281005859375,26.0854549407959,25.370086669921875,24.41423988342285,23.277711868286133,22.50234603881836,22.593505859375,23.197654724121094,23.3542423248291,23.798240661621094,24.865453720092773,25.6246337890625,26.09941291809082,25.968788146972656,25.248090744018555,24.413331985473633,22.665102005004883,22.442522048950195,21.84326171875,22.467741012573242,23.062726974487305,23.685041427612305,24.818483352661133,25.3228759765625,25.916126251220703,26.020305633544922,25.53284454345703,24.088483810424805,23.731670379638672,22.73225975036621,22.624675750732422,23.366863250732422,23.887575149536133,24.41363525390625,25.15636444091797,25.634016036987305,26.161582946777344
Aamakao Gulch,21.947120666503906,21.78335952758789,21.277475357055664,20.180992126464844,19.25571060180664,18.637048721313477,18.874706268310547,18.944839477539062,20.34836769104004,20.86000633239746,21.727998733520508,21.49383544921875,21.3837890625,21.014545440673828,20.532743453979492,19.36588478088379,19.05435562133789,19.099742889404297,19.88327980041504,20.079769134521484,20.42997932434082,20.656749725341797,21.629323959350586,21.750436782836914,21.863882064819336,21.922847747802734,20.698930740356445,19.816740036010742,19.247453689575195,19.029190063476562,19.79584312438965,19.678089141845703,20.086681365966797,20.61894416809082,21.935789108276367,21.887975692749023,21.922565460205078,21.288785934448242,20.659839630126953,19.34699249267578,19.357376098632812,17.98908042907715,18.874982833862305,19.760042190551758,20.27759552001953,20.915124893188477,21.427112579345703,21.877059936523438,21.685134887695312,21.421228408813477,20.30018424987793,20.00013542175293,19.47536277770996,19.128751754760742,19.467971801757812,20.108856201171875,20.245014190673828,20.97715187072754,21.622102737426758,21.902368545532227
Aamanu,24.096580505371094,23.855941772460938,23.3980712890625,22.257217407226562,21.40738868713379,20.879043579101562,21.107553482055664,21.26210594177246,22.44074821472168,22.9077205657959,23.57512855529785,23.514772415161133,23.515792846679688,23.071392059326172,22.44886016845703,21.41094970703125,21.1101016998291,21.296239852905273,22.050168991088867,22.152631759643555,22.47410774230957,22.795177459716797,23.678693771362305,23.867488861083984,24.034212112426758,24.031326293945312,22.918241500854492,21.89439582824707,21.154157638549805,21.184961318969727,21.863414764404297,21.795263290405273,22.281152725219727,22.788597106933594,23.765365600585938,23.99176597595215,24.0286865234375,23.2430419921875,22.69850730895996,21.279029846191406,21.202205657958984,20.25735092163086,20.95441436767578,21.741580963134766,22.24049186706543,22.786930084228516,23.382173538208008,23.746265411376953,23.740087509155273,23.537860870361328,22.314735412597656,21.95390510559082,21.636247634887695,21.198589324951172,21.72750473022461,22.37359619140625,22.4803524017334,23.038597106933594,23.612564086914062,23.86646842956543
Ahaino Gulch,24.436113357543945,24.209678649902344,23.43537139892578,22.378137588500977,21.594623565673828,20.70436668395996,20.717025756835938,20.855926513671875,22.482975006103516,23.18555450439453,24.036022186279297,23.840858459472656,23.727407455444336,23.27759552001953,22.6744441986084,21.301433563232422,20.917564392089844,21.0349178314209,21.948387145996094,22.34000015258789,22.756450653076172,23.310924530029297,23.976524353027344,24.374374389648438,24.36833381652832,24.069353103637695,22.924814224243164,21.74247169494629,20.743188858032227,21.01349449157715,21.403942108154297,21.71129608154297,22.101972579956055,23.150922775268555,23.991575241088867,24.42437171936035,24.31222152709961,23.50125503540039,22.857223510742188,21.33924674987793,21.068458557128906,19.792531967163086,20.712364196777344,21.49888801574707,22.36326026916504,23.286109924316406,23.8426513671875,24.309677124023438,24.18722152709961,23.88243865966797,22.554813385009766,22.180105209350586,21.26361846923828,21.062698364257812,21.6910400390625,22.278148651123047,22.73370361328125,23.59351921081543,24.087812423706055,24.470611572265625
Ahole,23.359704971313477,23.14354705810547,22.6698055267334,21.543737411499023,20.668500900268555,20.109872817993164,20.341463088989258,20.467548370361328,21.722579956054688,22.20470428466797,22.94098472595215,22.821252822875977,22.785686492919922,22.366317749023438,21.79186248779297,20.708255767822266,20.40493392944336,20.54359245300293,21.306074142456055,21.44009780883789,21.772294998168945,22.061176300048828,22.976184844970703,23.14221954345703,23.290979385375977,23.307968139648438,22.157546997070312,21.182540893554688,20.49952507019043,20.445905685424805,21.152942657470703,21.071178436279297,21.52988624572754,22.045198440551758,23.138328552246094,23.26992416381836,23.3077449798584,22.573530197143555,21.99911880493164,20.617172241210938,20.568405151367188,19.47809410095215,20.24193572998047,21.061174392700195,21.5681209564209,22.1453914642334,22.709867477416992,23.106168746948242,23.035783767700195,22.81195640563965,21.621959686279297,21.285388946533203,20.89478302001953,20.486557006835938,20.95360565185547,21.595491409301758,21.715295791625977,22.33078384399414,22.92950439453125,23.191650390625
Ahulua,23.09746551513672,22.893260955810547,22.410947799682617,21.290252685546875,20.406219482421875,19.836206436157227,20.070009231567383,20.184993743896484,21.46666717529297,21.955541610717773,22.717391967773438,22.575225830078125,22.523645401000977,22.11450958251953,21.558740615844727,20.459959030151367,20.15522575378418,20.276334762573242,21.043067932128906,21.18800163269043,21.523223876953125,21.801408767700195,22.727039337158203,22.883384704589844,23.026132583618164,23.05154037475586,21.886341094970703,20.930194854736328,20.266277313232422,20.183284759521484,20.901836395263672,20.811569213867188,21.26058578491211,21.77921485900879,22.91604232788086,23.01483917236328,23.049495697021484,22.33562469482422,21.751392364501953,20.380645751953125,20.344675064086914,19.202342987060547,19.987743377685547,20.819807052612305,21.327926635742188,21.91620635986328,22.473018646240234,22.876859664916992,22.784788131713867,22.55352020263672,21.377126693725586,21.045333862304688,20.631757736206055,20.235445022583008,20.67562484741211,21.3200740814209,21.441762924194336,22.078798294067383,22.688072204589844,22.9526309967041
Aiea,25.919607162475586,25.397703170776367,24.417234420776367,23.35981559753418,22.678142547607422,21.601821899414062,21.639911651611328,22.068510055541992,23.5804386138916,24.518898010253906,24.99986457824707,25.030029296875,24.874080657958984,24.44632339477539,23.982479095458984,22.185035705566406,22.054258346557617,22.410221099853516,22.98709487915039,23.32017707824707,23.855764389038086,24.619678497314453,24.909608840942383,25.643993377685547,25.686452865600586,25.003259658813477,23.951274871826172,22.940326690673828,22.203535079956055,22.08499526977539,22.806007385253906,22.86570930480957,23.264310836791992,24.317590713500977,25.089601516723633,25.566953659057617,25.455425262451172,24.796018600463867,23.89145278930664,22.18174171447754,21.979923248291016,21.292184829711914,21.910465240478516,22.533935546875,23.193889617919922,24.303335189819336,24.800479888916016,25.388090133666992,25.495210647583008,25.006484985351562,23.561349868774414,23.272274017333984,22.2425537109375,22.21314811706543,22.8808536529541,23.387269973754883,23.870037078857422,24.593759536743164,25.125978469848633,25.652502059936523
Aikoolau Gulch,25.149999618530273,24.859407424926758,24.10888671875,23.014785766601562,22.2459659576416,21.388689041137695,21.396909713745117,21.55735969543457,23.158334732055664,23.843332290649414,24.668411254882812,24.5065860748291,24.451250076293945,23.905105590820312,23.302223205566406,21.94435691833496,21.56841468811035,21.6575870513916,22.60968017578125,23.02569580078125,23.398653030395508,23.984861373901367,24.576614379882812,25.04448890686035,25.060834884643555,24.709810256958008,23.61124610900879,22.348388671875,21.275537490844727,21.672616958618164,22.009140014648438,22.361528396606445,22.80658721923828,23.855138778686523,24.572311401367188,25.102689743041992,24.99138832092285,24.08642578125,23.4829158782959,21.896102905273438,21.605512619018555,20.445402145385742,21.32755470275879,22.121252059936523,22.98077964782715,23.854028701782227,24.415590286254883,24.865053176879883,24.84638786315918,24.5491943359375,23.15472412109375,22.736154556274414,21.889516830444336,21.6358642578125,22.36895179748535,22.96986198425293,23.445556640625,24.244028091430664,24.715051651000977,25.093549728393555
Aipo,26.68122673034668,25.76291847229004,24.9600887298584,24.06620216369629,23.542524337768555,22.49174690246582,22.700531005859375,23.015350341796875,24.423646926879883,25.11318016052246,25.873157501220703,25.867298126220703,25.590335845947266,24.857114791870117,24.330121994018555,23.007307052612305,22.600004196166992,22.405508041381836,23.189878463745117,24.079574584960938,24.41953468322754,25.05501365661621,26.004730224609375,25.928590774536133,26.276363372802734,25.320127487182617,24.432416915893555,22.941757202148438,22.0252742767334,22.71510124206543,22.783424377441406,22.831710815429688,23.59668731689453,24.66067123413086,25.975467681884766,26.443206787109375,26.17798614501953,24.858476638793945,24.16813087463379,22.460372924804688,21.905746459960938,21.67089080810547,22.122966766357422,22.914066314697266,23.599584579467773,25.020427703857422,25.57028579711914,26.166118621826172,25.984251022338867,25.75312042236328,24.220216751098633,23.381710052490234,22.474374771118164,22.414281845092773,23.427610397338867,23.703330993652344,24.41926383972168,25.324403762817383,25.83237648010254,26.357797622680664
Alaalaula Gulch,25.01050567626953,24.734407424926758,23.975252151489258,22.89090919494629,22.1187686920166,21.258224487304688,21.264223098754883,21.42060661315918,23.030498504638672,23.71565818786621,24.5456485748291,24.3768310546875,24.307273864746094,23.786117553710938,23.180404663085938,21.820722579956055,21.44477081298828,21.535280227661133,22.480937957763672,22.892526626586914,23.27438735961914,23.850908279418945,24.460216522216797,24.91241455078125,24.925657272338867,24.585044860839844,23.478282928466797,22.230987548828125,21.172727584838867,21.545562744140625,21.89188575744629,22.236867904663086,22.671751022338867,23.71747398376465,24.46109390258789,24.971946716308594,24.860809326171875,23.973018646240234,23.363534927368164,21.786998748779297,21.50048828125,20.320480346679688,21.206939697265625,21.995555877685547,22.859041213989258,23.744441986083984,24.303421020507812,24.75640296936035,24.71747589111328,24.419158935546875,23.0391902923584,22.63079071044922,21.766178131103516,21.5238094329834,22.240079879760742,22.835857391357422,23.310100555419922,24.119091033935547,24.591007232666016,24.9730224609375
