station_id,location,name,full_name,lat,lng,elevation,vegh,skn,nws_id,status
0115,hawaii,Piiholo,Piʻiholo,20.8415,-156.2948,637,0.1,434.11,017HI,active
0116,hawaii,Keokea,Kēōkea,20.7067,-156.3554,871,0.1,267.11,016HI,active
0118,hawaii,Pulehu,Pūlehu,20.79532,-156.35991,427,0,322.2,042HI,active
0119,hawaii,Kula Ag,Kula Agricultural Experiment Station,20.757889,-156.320028,964,0.1,324.6,001HI,active
0121,hawaii,Lipoa,Līpoa,20.7458333,-156.4305556,88,0.02,260.3,039HI,active
0122,hawaii,Kaehu,Kaʻehu,20.909167,-156.489444,6,0,484.2,071HI,active
0131,hawaii,Lahaina WTP,Lahaina Water Treatment Plant,20.89072,-156.65493,244,0.1,361.3,036HI,active
0132,hawaii,Olowalu,Olowalu,20.82078,-156.6152,54,1,297.1,055HI,active
0133,hawaii,Honolua,Honolua,21.0012,-156.62267,170,1,494.1,059HI,active
0134,hawaii,Hanaula,Hanaʻula,20.84100,-156.55450,1215,1,247.21,058HI,active
0141,hawaii,Auwahi,Auwahi,20.644222,-156.342056,1177,2,253,028HI,active
0143,hawaii,Nakula,Nākula,20.674736,-156.233487,1632,0.7,257.11,,active
0144,hawaii,Kahikinui,Kahikinui,20.633945,-156.273889,713,0.3,254.11,019HI,active
0145,hawaii,Upper Kahikinui,Upper Kahikinui,20.644215,-156.284703,1034,0.1,254.12,032HI,active
0151,hawaii,Park HQ,Haleakalā Park Headquarters,20.759806,-156.248167,2114,1,339.4,002HI,active
0152,hawaii,Nene Nest,Nēnē Nest,20.738194,-156.245833,2593,0.1,339.5,013HI,active
0153,hawaii,Summit,Haleakalā Summit,20.710361,-156.25675,2984,0,339.6,003HI,active
0154,hawaii,Waikamoi,Waikamoi,20.773636,-156.222311,1935,1,341.7,020HI,active
0155,hawaii,EMI Base Yard,East Maui Irrigation Company Base Yard,20.890997,-156.212316,210,0.05,446.2,048HI,active
0156,hawaii,West Kuiaha,West Kuiaha Road,20.90433,-156.306715,242,0.05,486.8,066HI,active
