timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,142.1,2.055,1.659,2.166
2026-03-10 00:05:00,129.2,1.666,1.283,1.666
2026-03-10 00:10:00,152.1,2.055,1.588,2.166
2026-03-10 00:15:00,152.9,1.833,1.431,1.833
2026-03-10 00:20:00,138.4,1.944,1.342,2.166
2026-03-10 00:25:00,113,1.499,0.825,1.499
2026-03-10 00:30:00,118.9,1.388,0.947,1.499
2026-03-10 00:35:00,130,1.277,1.001,1.333
2026-03-10 00:40:00,149.1,1.777,1.323,1.833
2026-03-10 00:45:00,148.6,2.221,1.313,2.332
2026-03-10 00:50:00,137.9,2.166,1.764,2.166
2026-03-10 00:55:00,133.6,2.388,1.891,2.499
2026-03-10 01:00:00,147.6,1.777,1.46,1.833
2026-03-10 01:05:00,147.3,1.999,1.512,1.999
2026-03-10 01:10:00,145.7,1.944,1.449,1.999
2026-03-10 01:15:00,140.9,1.944,1.545,1.999
2026-03-10 01:20:00,143.3,1.944,1.582,1.999
2026-03-10 01:25:00,138.2,1.888,1.665,1.999
2026-03-10 01:30:00,143.5,1.944,1.551,1.999
2026-03-10 01:35:00,133.8,2.11,1.899,2.166
2026-03-10 01:40:00,142.7,1.944,1.659,1.999
2026-03-10 01:45:00,134.6,2.11,1.611,2.166
2026-03-10 01:50:00,134.5,1.833,1.494,1.833
2026-03-10 01:55:00,138.4,1.833,1.577,1.999
2026-03-10 02:00:00,133.7,1.888,1.601,1.999
2026-03-10 02:05:00,137.1,1.888,1.614,1.999
2026-03-10 02:10:00,136.5,1.888,1.663,1.999
2026-03-10 02:15:00,140.4,1.944,1.596,1.999
2026-03-10 02:20:00,138.3,1.999,1.735,1.999
2026-03-10 02:25:00,136.1,1.888,1.564,1.999
2026-03-10 02:30:00,132.5,1.999,1.569,1.999
2026-03-10 02:35:00,132.4,1.999,1.502,1.999
2026-03-10 02:40:00,140,1.777,1.36,1.833
2026-03-10 02:45:00,147.1,1.888,1.433,1.999
2026-03-10 02:50:00,146,2.055,1.493,2.166
2026-03-10 02:55:00,136.4,1.999,1.802,1.999
2026-03-10 03:00:00,139.3,2.11,1.863,2.166
2026-03-10 03:05:00,140.4,1.944,1.723,1.999
2026-03-10 03:10:00,150.8,1.944,1.452,1.999
2026-03-10 03:15:00,140.1,2.055,1.526,2.166
2026-03-10 03:20:00,142.5,1.944,1.607,1.999
2026-03-10 03:25:00,134.7,2.277,1.98,2.332
2026-03-10 03:30:00,141,2.221,1.918,2.332
2026-03-10 03:35:00,137.3,2.166,1.908,2.166
2026-03-10 03:40:00,135.6,2.221,1.983,2.332
2026-03-10 03:45:00,132.4,2.166,1.956,2.166
2026-03-10 03:50:00,139.8,1.944,1.657,1.999
2026-03-10 03:55:00,141.4,1.944,1.708,1.999
2026-03-10 04:00:00,142.4,2.11,1.807,2.166
2026-03-10 04:05:00,138.4,2.166,1.813,2.166
2026-03-10 04:10:00,139.7,1.999,1.73,1.999
2026-03-10 04:15:00,134.9,1.999,1.673,1.999
2026-03-10 04:20:00,147.3,1.388,1.019,1.499
2026-03-10 04:25:00,122.2,1.277,0.578,1.333
2026-03-10 04:30:00,139,1.666,0.87,1.833
2026-03-10 04:35:00,153.2,1.833,1.359,1.999
2026-03-10 04:40:00,149.6,1.833,1.469,1.833
2026-03-10 04:45:00,152.8,1.888,1.469,1.999
2026-03-10 04:50:00,141.5,2.055,1.523,2.166
2026-03-10 04:55:00,136.5,2.11,1.735,2.166
2026-03-10 05:00:00,141.4,1.944,1.667,1.999
2026-03-10 05:05:00,134.2,2.11,1.892,2.166
2026-03-10 05:10:00,137.2,2.055,1.815,2.166
2026-03-10 05:15:00,145.9,1.777,1.491,1.833
2026-03-10 05:20:00,144.8,1.888,1.57,1.999
2026-03-10 05:25:00,138.6,1.888,1.615,1.999
2026-03-10 05:30:00,138.5,2.277,1.854,2.332
2026-03-10 05:35:00,134.8,1.944,1.722,1.999
2026-03-10 05:40:00,134.6,2.166,1.792,2.166
2026-03-10 05:45:00,138.5,2.166,1.867,2.166
2026-03-10 05:50:00,115.9,1.888,1.202,1.999
2026-03-10 05:55:00,122.9,1.499,1.227,1.499
2026-03-10 06:00:00,136.8,1.833,1.547,1.833
2026-03-10 06:05:00,132.2,2.055,1.603,2.166
2026-03-10 06:10:00,131.9,2.11,1.449,2.166
2026-03-10 06:15:00,133,2.277,1.87,2.332
2026-03-10 06:20:00,137,2.221,1.879,2.332
2026-03-10 06:25:00,133.7,2.277,1.929,2.332
2026-03-10 06:30:00,134.9,2.277,2.052,2.332
2026-03-10 06:35:00,138.1,2.221,1.881,2.332
2026-03-10 06:40:00,117.6,1.833,1.17,1.833
2026-03-10 06:45:00,110.1,1.444,1.096,1.499
2026-03-10 06:50:00,111.4,1.277,1.033,1.333
2026-03-10 06:55:00,101.8,1.555,1.192,1.666
2026-03-10 07:00:00,112,1.499,1.062,1.499
2026-03-10 07:05:00,118.7,1.444,1.23,1.499
2026-03-10 07:10:00,134.4,2.166,1.492,2.166
2026-03-10 07:15:00,147,2.388,1.847,2.499
2026-03-10 07:20:00,144.1,2.221,1.573,2.332
2026-03-10 07:25:00,144.4,2.443,1.833,2.499
