timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,118.2,0.915,0.596,0.98
2026-03-10 00:05:00,115.3,1.111,0.764,1.176
2026-03-10 00:10:00,117.2,1.078,0.78,1.078
2026-03-10 00:15:00,119.6,1.143,0.864,1.176
2026-03-10 00:20:00,118.6,1.143,0.92,1.176
2026-03-10 00:25:00,111.4,1.176,0.904,1.176
2026-03-10 00:30:00,101,1.176,0.874,1.176
2026-03-10 00:35:00,109.3,1.274,0.784,1.274
2026-03-10 00:40:00,99.2,1.241,0.719,1.274
2026-03-10 00:45:00,108.5,1.241,0.967,1.372
2026-03-10 00:50:00,106.8,1.339,1.023,1.372
2026-03-10 00:55:00,102,1.633,1.126,1.666
2026-03-10 01:00:00,107.2,1.339,1.044,1.372
2026-03-10 01:05:00,122.3,1.274,0.955,1.274
2026-03-10 01:10:00,117.1,1.405,0.883,1.47
2026-03-10 01:15:00,118.2,1.503,0.876,1.568
2026-03-10 01:20:00,108.6,1.307,0.831,1.372
2026-03-10 01:25:00,110.4,1.372,0.952,1.47
2026-03-10 01:30:00,108.1,1.405,0.835,1.47
2026-03-10 01:35:00,109.2,1.274,0.957,1.372
2026-03-10 01:40:00,109.6,1.307,0.828,1.372
2026-03-10 01:45:00,106.8,1.143,0.822,1.176
2026-03-10 01:50:00,119.1,1.111,0.828,1.176
2026-03-10 01:55:00,129.2,1.143,0.707,1.176
2026-03-10 02:00:00,131.5,1.045,0.634,1.078
2026-03-10 02:05:00,129.1,1.47,0.896,1.568
2026-03-10 02:10:00,119.3,1.437,0.906,1.47
2026-03-10 02:15:00,113.5,1.568,0.943,1.568
2026-03-10 02:20:00,124,1.535,0.745,1.568
2026-03-10 02:25:00,130.3,1.503,0.869,1.568
2026-03-10 02:30:00,137.7,1.666,0.823,1.666
2026-03-10 02:35:00,141,1.666,0.779,1.666
2026-03-10 02:40:00,120.3,1.927,0.845,2.058
2026-03-10 02:45:00,109.9,1.503,0.993,1.568
2026-03-10 02:50:00,105.2,1.503,0.956,1.568
2026-03-10 02:55:00,104.7,1.895,0.914,1.96
2026-03-10 03:00:00,109.5,1.241,0.997,1.274
2026-03-10 03:05:00,106.1,1.274,1.061,1.372
2026-03-10 03:10:00,104.8,1.274,1.01,1.274
2026-03-10 03:15:00,110,1.241,0.974,1.274
2026-03-10 03:20:00,107.9,1.241,0.998,1.274
2026-03-10 03:25:00,104.5,1.241,0.949,1.274
2026-03-10 03:30:00,106.2,1.209,0.921,1.274
2026-03-10 03:35:00,116.1,1.209,0.866,1.274
2026-03-10 03:40:00,111.2,1.405,1.075,1.47
2026-03-10 03:45:00,124.4,1.176,0.888,1.274
2026-03-10 03:50:00,124.8,1.372,1.006,1.372
2026-03-10 03:55:00,115.5,1.47,1.067,1.568
2026-03-10 04:00:00,113.9,1.535,0.957,1.568
2026-03-10 04:05:00,109.9,1.111,0.867,1.176
2026-03-10 04:10:00,105,1.307,1.006,1.372
2026-03-10 04:15:00,104.5,1.241,0.97,1.274
2026-03-10 04:20:00,109.7,1.209,0.959,1.274
2026-03-10 04:25:00,124,1.535,0.857,1.568
2026-03-10 04:30:00,123.3,1.503,0.763,1.568
2026-03-10 04:35:00,130.7,1.503,0.75,1.568
2026-03-10 04:40:00,124.1,1.307,0.88,1.372
2026-03-10 04:45:00,108.4,1.601,0.928,1.666
2026-03-10 04:50:00,106.1,1.405,1.012,1.47
2026-03-10 04:55:00,102.4,1.339,0.98,1.372
2026-03-10 05:00:00,101.6,1.176,0.966,1.176
2026-03-10 05:05:00,112.4,1.307,0.949,1.372
2026-03-10 05:10:00,110.4,1.405,1.063,1.47
2026-03-10 05:15:00,114.6,1.307,1.077,1.372
2026-03-10 05:20:00,114.9,1.274,1.07,1.274
2026-03-10 05:25:00,112.7,1.111,0.929,1.176
2026-03-10 05:30:00,111.2,1.176,0.97,1.176
2026-03-10 05:35:00,110.2,1.176,0.92,1.176
2026-03-10 05:40:00,105,1.274,1.041,1.372
2026-03-10 05:45:00,107.6,1.372,1.01,1.372
2026-03-10 05:50:00,116.1,1.111,0.869,1.176
2026-03-10 05:55:00,110.8,1.372,0.853,1.47
2026-03-10 06:00:00,99.1,1.176,0.847,1.176
2026-03-10 06:05:00,93.5,1.209,0.712,1.274
2026-03-10 06:10:00,107.1,1.405,1.136,1.47
2026-03-10 06:15:00,102,1.241,0.823,1.274
2026-03-10 06:20:00,102.5,1.372,0.505,1.372
2026-03-10 06:25:00,111.6,1.078,0.601,1.078
2026-03-10 06:30:00,142.7,1.993,1.046,2.058
2026-03-10 06:35:00,127.8,1.372,0.965,1.372
2026-03-10 06:40:00,127.8,1.045,0.797,1.078
2026-03-10 06:45:00,114.4,1.241,0.967,1.274
