timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,67.34,2.832,1.502,2.999
2026-03-10 00:05:00,73.38,2.61,1.392,2.666
2026-03-10 00:10:00,72.75,2.443,1.307,2.499
2026-03-10 00:15:00,73.7,2.943,1.389,3.165
2026-03-10 00:20:00,70.98,2.721,1.462,2.832
2026-03-10 00:25:00,64.35,2.943,1.508,2.999
2026-03-10 00:30:00,75.71,2.61,1.477,2.666
2026-03-10 00:35:00,74.76,3.054,1.388,3.332
2026-03-10 00:40:00,73.75,2.11,1.25,2.166
2026-03-10 00:45:00,71.17,2.166,1.21,2.332
2026-03-10 00:50:00,57.37,2.055,1.292,2.166
2026-03-10 00:55:00,67.69,2.443,1.268,2.499
2026-03-10 01:00:00,73.85,2.555,1.437,2.666
2026-03-10 01:05:00,54.79,2.443,1.448,2.499
2026-03-10 01:10:00,52.04,2.943,1.215,2.999
2026-03-10 01:15:00,65.43,2.999,1.727,3.165
2026-03-10 01:20:00,59.01,3.332,1.404,3.499
2026-03-10 01:25:00,61.14,2.721,1.522,2.999
2026-03-10 01:30:00,61.11,2.832,1.589,3.165
2026-03-10 01:35:00,59.62,3.221,1.953,3.332
2026-03-10 01:40:00,53.17,2.999,1.835,2.999
2026-03-10 01:45:00,59.01,3.165,1.8,3.499
2026-03-10 01:50:00,61.14,3.332,1.778,3.499
2026-03-10 01:55:00,63.06,3.943,1.785,4.165
2026-03-10 02:00:00,67.51,2.777,1.467,2.999
2026-03-10 02:05:00,56.59,3.776,1.904,3.832
2026-03-10 02:10:00,61.62,3.776,1.874,3.832
2026-03-10 02:15:00,65.13,3.388,1.775,3.499
2026-03-10 02:20:00,60.16,3.276,1.923,3.499
2026-03-10 02:25:00,57.8,3.832,1.732,3.998
2026-03-10 02:30:00,66.19,3.165,1.826,3.332
2026-03-10 02:35:00,56.1,3.221,1.802,3.332
2026-03-10 02:40:00,60.62,3.665,1.902,3.998
2026-03-10 02:45:00,52.41,3.887,2.109,3.998
2026-03-10 02:50:00,63.06,2.943,1.633,2.999
2026-03-10 02:55:00,67.62,3.276,1.691,3.499
2026-03-10 03:00:00,65.26,2.777,1.513,2.832
2026-03-10 03:05:00,64.28,2.832,1.616,3.165
2026-03-10 03:10:00,77.87,3.165,1.82,3.332
2026-03-10 03:15:00,88.5,3.388,1.891,3.665
2026-03-10 03:20:00,92,2.999,1.518,3.165
2026-03-10 03:25:00,88.1,2.555,1.349,2.832
2026-03-10 03:30:00,73.28,2.555,1.187,2.666
2026-03-10 03:35:00,66.57,2.832,1.229,2.999
2026-03-10 03:40:00,73.21,2.443,1.341,2.499
2026-03-10 03:45:00,62.67,2.777,1.56,2.832
2026-03-10 03:50:00,65.58,2.499,1.347,2.832
2026-03-10 03:55:00,61.86,3.11,1.61,3.165
2026-03-10 04:00:00,63.61,3.332,1.708,3.499
2026-03-10 04:05:00,63.34,2.777,1.547,2.999
