timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,154.2,2.555,1.477,2.666
2026-03-10 00:05:00,161.8,2.832,1.628,2.999
2026-03-10 00:10:00,130.9,4.609,2.377,4.665
2026-03-10 00:15:00,141.6,4.498,2.717,4.665
2026-03-10 00:20:00,137.8,4.221,2.632,4.332
2026-03-10 00:25:00,145.1,4.332,2.686,4.498
2026-03-10 00:30:00,131.7,4.609,3.328,4.665
2026-03-10 00:35:00,142.5,4.72,3.109,4.831
2026-03-10 00:40:00,155.1,4.554,3.017,4.665
2026-03-10 00:45:00,141.1,3.61,2.591,3.665
2026-03-10 00:50:00,135.8,4.276,2.415,4.498
2026-03-10 00:55:00,140.9,4.109,2.71,4.165
2026-03-10 01:00:00,134.2,3.11,2.292,3.165
2026-03-10 01:05:00,150.1,3.998,2.612,3.998
2026-03-10 01:10:00,146.5,3.887,2.277,4.165
2026-03-10 01:15:00,139.8,4.609,2.922,4.665
2026-03-10 01:20:00,135.5,4.609,2.987,4.831
2026-03-10 01:25:00,146.7,4.498,3.206,4.665
2026-03-10 01:30:00,138.7,4.665,3.092,4.665
2026-03-10 01:35:00,148,4.776,2.817,4.998
2026-03-10 01:40:00,148.5,4.998,2.823,5.165
2026-03-10 01:45:00,152.9,3.887,2.753,4.165
2026-03-10 01:50:00,161.4,4.831,3.07,4.998
2026-03-10 01:55:00,162,4.776,2.631,4.831
2026-03-10 02:00:00,138,3.887,2.475,3.998
2026-03-10 02:05:00,152.4,4.387,2.447,4.498
2026-03-10 02:10:00,147.3,3.998,2.488,4.165
2026-03-10 02:15:00,149.5,4.609,2.709,4.831
2026-03-10 02:20:00,139.9,4.054,2.643,4.165
2026-03-10 02:25:00,141.8,3.887,2.492,3.998
2026-03-10 02:30:00,146.6,3.499,2.016,3.499
2026-03-10 02:35:00,155.4,2.832,1.995,2.832
2026-03-10 02:40:00,181,2.443,1.623,2.499
2026-03-10 02:45:00,181.5,2.388,1.588,2.499
2026-03-10 02:50:00,150.9,3.499,2.413,3.499
2026-03-10 02:55:00,156.1,2.999,1.957,2.999
2026-03-10 03:00:00,171.6,2.499,1.762,2.499
2026-03-10 03:05:00,143.6,2.721,1.482,2.832
2026-03-10 03:10:00,154.8,2.277,1.436,2.332
2026-03-10 03:15:00,157.7,2.721,1.888,2.999
2026-03-10 03:20:00,161,2.166,1.262,2.166
2026-03-10 03:25:00,159.1,2.499,1.701,2.499
2026-03-10 03:30:00,155.5,3.054,1.882,3.165
2026-03-10 03:35:00,169.3,2.999,1.702,3.165
2026-03-10 03:40:00,184.9,2.221,1.474,2.332
2026-03-10 03:45:00,189.5,2.721,1.545,2.832
2026-03-10 03:50:00,178,3.054,2.359,3.165
2026-03-10 03:55:00,174.2,3.11,2.373,3.165
2026-03-10 04:00:00,181.7,3.054,2.217,3.165
2026-03-10 04:05:00,182.8,3.443,2.525,3.499
2026-03-10 04:10:00,185,3.165,2.368,3.165
2026-03-10 04:15:00,171.1,3.276,2.141,3.332
2026-03-10 04:20:00,164.9,2.277,1.481,2.332
2026-03-10 04:25:00,148.8,2.999,2.029,2.999
2026-03-10 04:30:00,147,3.832,2.347,3.998
2026-03-10 04:35:00,148.8,3.776,2.334,3.832
2026-03-10 04:40:00,153.2,3.388,2.264,3.499
2026-03-10 04:45:00,164.2,3.221,2.454,3.332
2026-03-10 04:50:00,167.8,3.221,2.29,3.332
2026-03-10 04:55:00,168.9,2.443,1.626,2.499
2026-03-10 05:00:00,171.1,2.666,1.923,2.832
2026-03-10 05:05:00,173.4,2.721,1.674,2.832
2026-03-10 05:10:00,164.3,2.388,1.704,2.499
2026-03-10 05:15:00,161.1,3.054,2.115,3.165
2026-03-10 05:20:00,159.4,2.777,2.141,2.832
2026-03-10 05:25:00,141.8,3.388,2.137,3.499
2026-03-10 05:30:00,146.9,3.054,1.935,3.165
2026-03-10 05:35:00,199.2,2.61,1.87,2.666
2026-03-10 05:40:00,188.1,2.721,1.744,2.832
2026-03-10 05:45:00,200.7,4.332,2.633,4.665
2026-03-10 05:50:00,174.9,3.388,1.778,3.499
2026-03-10 05:55:00,177.9,3.165,2.281,3.332
2026-03-10 06:00:00,176.3,3.165,2.222,3.332
2026-03-10 06:05:00,178,2.943,1.691,2.999
2026-03-10 06:10:00,179.5,2.666,1.496,2.832
2026-03-10 06:15:00,176.9,3.221,2.322,3.332
2026-03-10 06:20:00,176.5,3.665,2.831,3.832
2026-03-10 06:25:00,178.5,3.832,3.039,3.832
2026-03-10 06:30:00,165.3,3.165,1.238,3.165
2026-03-10 06:35:00,170.4,2.166,1.154,2.332
2026-03-10 06:40:00,166.9,1.722,0.961,1.833
2026-03-10 06:45:00,167.8,2.999,1.804,3.165
2026-03-10 06:50:00,155.6,3.11,2.022,3.165
2026-03-10 06:55:00,151.9,3.221,2.283,3.332
2026-03-10 07:00:00,166.5,2.943,1.952,2.999
2026-03-10 07:05:00,172.2,2.832,2.081,2.832
2026-03-10 07:10:00,182.6,2.943,2.172,2.999
2026-03-10 07:15:00,190.6,4.221,2.205,4.332
2026-03-10 07:20:00,194.1,3.832,2.373,3.832
2026-03-10 07:25:00,184.5,2.943,2.056,2.999
2026-03-10 07:30:00,194,3.221,2.1,3.332
2026-03-10 07:35:00,202.8,3.943,2.705,3.998
2026-03-10 07:40:00,201,4.054,2.448,4.165
2026-03-10 07:45:00,185.6,3.11,1.535,3.165
2026-03-10 07:50:00,183.3,2.888,1.272,2.999
2026-03-10 07:55:00,166.7,2.555,1.608,2.666
2026-03-10 08:00:00,160.4,2.332,1.523,2.332
2026-03-10 08:05:00,128.5,3.054,1.344,3.165
2026-03-10 08:10:00,129.6,2.61,1.689,2.666
2026-03-10 08:15:00,135.2,2.832,1.748,2.999
2026-03-10 08:20:00,124.5,2.888,1.851,2.999
2026-03-10 08:25:00,173,2.055,1.18,2.166
2026-03-10 08:30:00,229.6,1.944,0.914,1.999
2026-03-10 08:35:00,257.8,0.833,0.416,0.833
2026-03-10 08:40:00,272.2,1.166,0.293,1.166
2026-03-10 08:45:00,299.4,2.277,0.864,2.332
2026-03-10 08:50:00,293.7,2.499,1.645,2.499
2026-03-10 08:55:00,312.1,2.666,0.852,2.666
2026-03-10 09:00:00,326.9,1.666,0.541,1.666
2026-03-10 09:05:00,302.1,2.388,1.151,2.499
2026-03-10 09:10:00,278.3,1.888,0.746,1.999
2026-03-10 09:15:00,278.8,1.833,0.441,1.833
2026-03-10 09:20:00,316.4,2.166,0.302,2.332
2026-03-10 09:25:00,298.3,2.221,0.779,2.332
2026-03-10 09:30:00,268.9,1.277,0.564,1.333
2026-03-10 09:35:00,83.1,0.666,0.087,0.666
2026-03-10 09:40:00,339,1.277,0.123,1.333
2026-03-10 09:45:00,333.5,1.388,0.352,1.499
