timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,296.8,5.553,3.597,5.831
2026-03-10 00:05:00,294.7,5.165,3.16,5.331
2026-03-10 00:10:00,297.1,5.442,3.775,5.498
2026-03-10 00:15:00,320.1,3.832,3.065,3.998
2026-03-10 00:20:00,320.7,3.332,2.125,3.499
2026-03-10 00:25:00,300.8,3.887,2.235,3.998
2026-03-10 00:30:00,317.1,2.721,1.619,2.832
2026-03-10 00:35:00,305.1,3.61,2.139,3.832
2026-03-10 00:40:00,315.9,4.554,3.361,4.831
2026-03-10 00:45:00,356.9,3.832,1.826,3.998
2026-03-10 00:50:00,88,1.722,0.622,1.833
2026-03-10 00:55:00,20.46,2.166,0.999,2.332
2026-03-10 01:00:00,344.9,1.166,0.373,1.166
2026-03-10 01:05:00,327.9,2.499,1.832,2.499
2026-03-10 01:10:00,336.3,2.499,1.511,2.499
2026-03-10 01:15:00,325.1,3.276,1.939,3.332
2026-03-10 01:20:00,328.7,2.11,1.617,2.166
2026-03-10 01:25:00,343.9,2.11,1.091,2.166
2026-03-10 01:30:00,349.7,2.555,1.831,2.666
2026-03-10 01:35:00,334.9,1.944,1.419,1.999
2026-03-10 01:40:00,318.3,2.277,1.608,2.332
2026-03-10 01:45:00,349.8,2.777,1.434,2.999
2026-03-10 01:50:00,349.1,2.999,2.025,2.999
2026-03-10 01:55:00,0.451,2.443,1.369,2.499
2026-03-10 02:00:00,12.42,2.555,1.667,2.666
2026-03-10 02:05:00,24.89,2.777,1.646,2.832
2026-03-10 02:10:00,9.99,3.887,2.319,4.165
2026-03-10 02:15:00,35.88,7.108,4.532,7.33
2026-03-10 02:20:00,28.54,7.33,4.753,7.664
2026-03-10 02:25:00,35.48,7.441,4.998,7.664
2026-03-10 02:30:00,36.35,7.719,5.493,7.83
2026-03-10 02:35:00,29.76,7.719,5.004,8.16
2026-03-10 02:40:00,28.61,8.39,6.113,8.83
2026-03-10 02:45:00,12.95,6.997,4.039,7.33
2026-03-10 02:50:00,2.534,3.276,2.032,3.499
2026-03-10 02:55:00,24.94,3.832,2.281,3.832
2026-03-10 03:00:00,14.47,3.665,2.426,3.832
2026-03-10 03:05:00,2.753,3.887,2.927,3.998
2026-03-10 03:10:00,6.243,3.721,2.249,3.998
2026-03-10 03:15:00,10.72,3.499,2.377,3.665
2026-03-10 03:20:00,347.9,3.388,2.206,3.665
2026-03-10 03:25:00,337.9,2.832,2.001,2.832
2026-03-10 03:30:00,332.8,3.276,1.793,3.332
2026-03-10 03:35:00,310.8,4.831,3.11,5.331
2026-03-10 03:40:00,310.4,4.276,2.967,4.332
2026-03-10 03:45:00,325.1,4.109,3.075,4.332
2026-03-10 03:50:00,323.9,2.999,2.051,3.165
2026-03-10 03:55:00,342.5,2.221,1.537,2.332
2026-03-10 04:00:00,23.76,2.11,0.673,2.166
2026-03-10 04:05:00,7.687,2.61,1.608,2.832
2026-03-10 04:10:00,357.9,2.443,1.523,2.666
2026-03-10 04:15:00,350,2.888,2.175,2.999
2026-03-10 04:20:00,3.088,3.054,2.354,3.165
2026-03-10 04:25:00,357.3,3.443,2.878,3.665
2026-03-10 04:30:00,355.8,3.332,2.607,3.499
2026-03-10 04:35:00,355.4,3.832,2.806,3.832
2026-03-10 04:40:00,356.8,4.165,3.366,4.332
2026-03-10 04:45:00,4.946,3.388,2.856,3.665
2026-03-10 04:50:00,4.992,3.61,2.709,3.665
2026-03-10 04:55:00,5.656,3.776,3.019,3.832
2026-03-10 05:00:00,16.19,4.332,3.146,4.332
2026-03-10 05:05:00,2.802,3.499,2.788,3.665
2026-03-10 05:10:00,8.8,3.776,2.912,4.165
2026-03-10 05:15:00,24.46,4.942,3.742,5.165
2026-03-10 05:20:00,28.61,5.72,4.402,5.998
2026-03-10 05:25:00,24.42,5.276,3.82,5.498
2026-03-10 05:30:00,23.42,5.498,4.134,5.498
2026-03-10 05:35:00,24.12,6.164,4.383,6.331
2026-03-10 05:40:00,26.37,5.72,4.333,5.998
2026-03-10 05:45:00,26.27,5.72,3.37,5.998
2026-03-10 05:50:00,31.64,4.443,2.854,4.665
2026-03-10 05:55:00,51.56,3.776,1.381,3.998
2026-03-10 06:00:00,38.11,4.942,2.351,4.998
2026-03-10 06:05:00,89,3.165,1.262,3.165
2026-03-10 06:10:00,36.94,5.664,2.778,5.998
2026-03-10 06:15:00,35.1,7.33,4.593,7.664
2026-03-10 06:20:00,23.3,6.942,4.144,7.164
2026-03-10 06:25:00,37.41,5.054,2.828,5.165
2026-03-10 06:30:00,43.72,4.109,2.59,4.332
2026-03-10 06:35:00,39.29,3.943,2.196,3.998
2026-03-10 06:40:00,26.55,3.388,2.418,3.499
2026-03-10 06:45:00,7.022,4.109,2.515,4.665
2026-03-10 06:50:00,346.5,3.388,2.364,3.499
2026-03-10 06:55:00,340.5,3.388,2.375,3.499
2026-03-10 07:00:00,335.3,3.721,2.316,3.832
2026-03-10 07:05:00,324.9,3.388,2.287,3.499
2026-03-10 07:10:00,347.4,2.555,1.56,2.666
2026-03-10 07:15:00,354.7,2.777,1.7,2.999
2026-03-10 07:20:00,336.3,2.999,1.764,3.165
2026-03-10 07:25:00,312.8,3.276,2.379,3.499
2026-03-10 07:30:00,320.5,2.999,2.123,3.165
2026-03-10 07:35:00,325.6,2.388,1.059,2.499
2026-03-10 07:40:00,254.7,1.944,0.596,1.999
2026-03-10 07:45:00,264.1,2.943,1.857,2.999
2026-03-10 07:50:00,253.6,2.721,1.375,2.832
2026-03-10 07:55:00,179.5,2.499,1.333,2.499
2026-03-10 08:00:00,94.1,3.776,2.059,3.832
2026-03-10 08:05:00,72.15,4.165,1.117,4.332
2026-03-10 08:10:00,115.7,2.388,1.28,2.499
2026-03-10 08:15:00,116.5,2.943,1.342,3.165
2026-03-10 08:20:00,99,3.61,2.148,3.665
2026-03-10 08:25:00,101.1,2.999,1.995,3.165
2026-03-10 08:30:00,102,2.777,1.297,2.832
2026-03-10 08:35:00,118.3,4.942,2.616,4.998
2026-03-10 08:40:00,123.5,3.887,1.75,3.998
2026-03-10 08:45:00,97.6,4.221,2.327,4.498
2026-03-10 08:50:00,179.7,1.833,0.739,1.999
2026-03-10 08:55:00,103.1,4.998,2.699,5.165
2026-03-10 09:00:00,82.2,5.331,3.419,5.498
2026-03-10 09:05:00,85,5.775,3.54,5.831
2026-03-10 09:10:00,87.6,7.053,4.111,7.164
2026-03-10 09:15:00,95.6,6.164,4.438,6.831
2026-03-10 09:20:00,80.5,6.664,4.417,7.164
2026-03-10 09:25:00,78.23,5.72,3.843,6.164
2026-03-10 09:30:00,94.5,5.442,3.398,5.664
2026-03-10 09:35:00,86.2,5.775,3.919,6.164
2026-03-10 09:40:00,83.8,5.498,3.522,5.664
2026-03-10 09:45:00,85.9,5.276,3.065,5.498
2026-03-10 09:50:00,84.4,4.942,3.221,5.165
2026-03-10 09:55:00,80,6.775,4.121,6.831
2026-03-10 10:00:00,84.4,5.387,3.725,5.664
2026-03-10 10:05:00,94.2,5.609,3.7,5.664
2026-03-10 10:10:00,92.7,5.442,3.78,5.664
2026-03-10 10:15:00,77.02,4.942,2.993,5.165
2026-03-10 10:20:00,86.9,6.664,4.389,7.164
2026-03-10 10:25:00,87,7.219,4.412,7.33
2026-03-10 10:30:00,90,6.331,4.232,6.664
2026-03-10 10:35:00,90.6,7.275,4.106,7.83
2026-03-10 10:40:00,90.1,7.441,4.808,7.997
2026-03-10 10:45:00,85,7.275,4.893,7.664
2026-03-10 10:50:00,79.26,7.219,4.86,7.664
2026-03-10 10:55:00,73.65,9.33,4.858,9.66
2026-03-10 11:00:00,77.04,7.33,4.435,7.83
2026-03-10 11:05:00,80.7,7.386,4.053,7.997
2026-03-10 11:10:00,92.9,7.553,4.567,7.664
2026-03-10 11:15:00,85.1,7.164,4.648,7.83
2026-03-10 11:20:00,86.1,7.441,4.785,7.997
2026-03-10 11:25:00,88,8.55,5.732,9.83
