timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,30.17,4.109,2.731,4.165
2026-03-10 00:05:00,35.88,5.054,3.357,5.498
2026-03-10 00:10:00,47.25,5.331,3.216,5.498
2026-03-10 00:15:00,68.62,5.609,3.632,5.664
2026-03-10 00:20:00,62.14,5.775,3.893,5.998
2026-03-10 00:25:00,50.66,4.554,2.709,4.665
2026-03-10 00:30:00,61.05,5.165,3.094,5.331
2026-03-10 00:35:00,67.64,4.831,3.107,4.998
2026-03-10 00:40:00,64.16,5.442,3.108,5.664
2026-03-10 00:45:00,58.35,5.609,3.125,5.664
2026-03-10 00:50:00,60.8,4.887,3.164,5.331
2026-03-10 00:55:00,63.84,5.72,3.665,5.831
2026-03-10 01:00:00,57.68,5.942,3.876,6.497
2026-03-10 01:05:00,69.57,6.22,3.291,6.164
2026-03-10 01:10:00,65.15,5.553,3.434,5.664
2026-03-10 01:15:00,66.21,5.442,3.178,5.831
2026-03-10 01:20:00,58.98,5.442,3.598,5.664
2026-03-10 01:25:00,64.61,6.72,3.228,6.831
2026-03-10 01:30:00,65.21,6.886,4.343,6.997
2026-03-10 01:35:00,58.45,6.109,3.615,6.497
2026-03-10 01:40:00,69,5.72,3.798,6.331
2026-03-10 01:45:00,59.09,6.053,4.184,6.331
2026-03-10 01:50:00,78,5.831,3.751,5.998
2026-03-10 01:55:00,63.43,6.109,3.646,6.331
2026-03-10 02:00:00,69.71,5.72,3.73,5.831
2026-03-10 02:05:00,65.44,5.775,3.623,6.164
2026-03-10 02:10:00,64.35,4.831,3.089,4.831
2026-03-10 02:15:00,59.13,6.275,3.277,6.331
2026-03-10 02:20:00,66.85,4.443,2.9,4.665
2026-03-10 02:25:00,75.67,4.609,2.668,4.831
2026-03-10 02:30:00,68.22,4.498,2.698,4.665
2026-03-10 02:35:00,66.39,4.665,2.644,4.998
2026-03-10 02:40:00,47.54,5.22,2.682,5.331
2026-03-10 02:45:00,55.78,4.221,2.664,4.332
2026-03-10 02:50:00,50.6,3.887,2.267,3.998
2026-03-10 02:55:00,35.26,3.61,1.952,3.665
2026-03-10 03:00:00,48.39,4.998,3.306,5.331
2026-03-10 03:05:00,44.39,3.998,2.367,4.165
2026-03-10 03:10:00,31.49,3.665,2.147,3.832
2026-03-10 03:15:00,1.001,3.054,2.164,3.165
2026-03-10 03:20:00,12.59,3.665,2.327,3.832
2026-03-10 03:25:00,23.69,3.887,2.39,4.165
2026-03-10 03:30:00,13.1,3.388,2.192,3.499
2026-03-10 03:35:00,10.69,3.665,2.49,3.832
2026-03-10 03:40:00,15.87,3.443,2.082,3.499
2026-03-10 03:45:00,38.86,3.388,2.288,3.499
2026-03-10 03:50:00,32.67,3.943,2.34,4.165
2026-03-10 03:55:00,23.75,3.776,2.054,3.832
2026-03-10 04:00:00,27.14,4.109,2.293,4.165
2026-03-10 04:05:00,32.99,5.387,2.846,5.498
2026-03-10 04:10:00,37.34,3.998,2.285,3.998
2026-03-10 04:15:00,21.24,4.109,2.116,4.165
2026-03-10 04:20:00,20.77,4.054,2.065,4.165
2026-03-10 04:25:00,31.44,3.943,2.517,3.998
2026-03-10 04:30:00,39.29,4.165,2.392,4.498
2026-03-10 04:35:00,35.99,3.943,2.527,4.165
2026-03-10 04:40:00,33.12,3.443,2.175,3.665
2026-03-10 04:45:00,39.23,4.054,2.172,4.165
2026-03-10 04:50:00,46.29,3.221,2.141,3.332
2026-03-10 04:55:00,66.1,4.831,2.949,4.998
2026-03-10 05:00:00,56.41,3.665,2.222,3.832
2026-03-10 05:05:00,65.01,5.664,2.998,5.831
2026-03-10 05:10:00,57.03,3.943,2.586,3.998
2026-03-10 05:15:00,59.17,3.388,2.022,3.499
2026-03-10 05:20:00,41.45,3.776,2.309,3.832
