timestamp,WDuv_1_Avg_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,47.05,3.476,4.8
2026-03-10 00:05:00,49.48,3.868,6.11
2026-03-10 00:10:00,51.12,4.044,5.86
2026-03-10 00:15:00,53.03,3.775,4.54
2026-03-10 00:20:00,44.68,3.679,5.21
2026-03-10 00:25:00,44.69,3.828,5.04
2026-03-10 00:30:00,45.07,3.157,4.79
2026-03-10 00:35:00,50.36,3.733,5.53
2026-03-10 00:40:00,45.52,3.244,4.41
2026-03-10 00:45:00,53.56,2.771,3.55
2026-03-10 00:50:00,61.56,2.689,3.66
2026-03-10 00:55:00,59.99,2.754,4.16
2026-03-10 01:00:00,66.67,3.811,5.46
2026-03-10 01:05:00,66.47,3.253,5.24
2026-03-10 01:10:00,60.63,3.279,4.63
2026-03-10 01:15:00,53.16,2.415,3.29
2026-03-10 01:20:00,60.47,2.747,4.69
2026-03-10 01:25:00,58.45,3.106,4.2
2026-03-10 01:30:00,58.59,3.422,4.91
2026-03-10 01:35:00,60.32,3.476,5.49
2026-03-10 01:40:00,58.82,3.451,4.76
2026-03-10 01:45:00,48.77,3.195,4.23
2026-03-10 01:50:00,55.6,3.128,4.35
2026-03-10 01:55:00,58.53,2.906,4.36
2026-03-10 02:00:00,65.89,2.935,4.08
2026-03-10 02:05:00,57.61,2.962,4.01
2026-03-10 02:10:00,54.61,3.092,4.87
2026-03-10 02:15:00,50.95,3.277,4.91
2026-03-10 02:20:00,40.82,3.347,5.08
2026-03-10 02:25:00,42.18,3.128,4.09
2026-03-10 02:30:00,53.72,2.572,3.09
2026-03-10 02:35:00,66.59,2.481,3
2026-03-10 02:40:00,63.15,2.215,2.35
2026-03-10 02:45:00,28.99,2.419,2.93
2026-03-10 02:50:00,19.36,2.744,3.38
2026-03-10 02:55:00,34.56,2.956,4.35
2026-03-10 03:00:00,37.17,3.254,4.46
2026-03-10 03:05:00,29.76,2.946,3.89
2026-03-10 03:10:00,23.64,3.406,4.07
2026-03-10 03:15:00,24.12,3.351,4.64
2026-03-10 03:20:00,30.49,3.115,4.46
2026-03-10 03:25:00,31.33,3.066,3.92
2026-03-10 03:30:00,37.63,3.125,4.58
2026-03-10 03:35:00,33.98,2.922,3.91
2026-03-10 03:40:00,29.21,3.049,4.5
2026-03-10 03:45:00,47.76,3.131,4.42
2026-03-10 03:50:00,43.29,2.855,3.62
2026-03-10 03:55:00,40.49,2.639,3.51
2026-03-10 04:00:00,38.71,2.571,3.1
