timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,175.5,1.927,0.9,1.96
2026-03-10 00:05:00,137.3,1.111,0.619,1.176
2026-03-10 00:10:00,141.1,1.176,0.324,1.176
2026-03-10 00:15:00,149.4,1.633,1.145,1.764
2026-03-10 00:20:00,141.5,1.372,0.84,1.47
2026-03-10 00:25:00,123.2,0.947,0.395,0.98
2026-03-10 00:30:00,113.6,1.829,1.096,1.862
2026-03-10 00:35:00,141.1,2.45,1.439,2.548
2026-03-10 00:40:00,143,2.646,2.027,2.744
2026-03-10 00:45:00,141.7,3.136,1.96,3.136
2026-03-10 00:50:00,150.6,2.679,1.686,2.744
2026-03-10 00:55:00,169.4,2.025,1.56,2.058
2026-03-10 01:00:00,196.5,2.417,1.525,2.548
2026-03-10 01:05:00,191.2,2.091,1.473,2.156
2026-03-10 01:10:00,177.2,2.058,1.506,2.058
2026-03-10 01:15:00,173.8,1.895,1.466,1.96
2026-03-10 01:20:00,156.5,2.091,1.462,2.156
2026-03-10 01:25:00,151.2,2.319,1.591,2.45
2026-03-10 01:30:00,158.9,2.189,1.788,2.254
2026-03-10 01:35:00,163.9,2.221,1.598,2.352
2026-03-10 01:40:00,151.1,1.895,1.259,1.96
2026-03-10 01:45:00,158.9,2.319,1.813,2.352
2026-03-10 01:50:00,143.8,2.679,1.608,2.744
2026-03-10 01:55:00,134.1,1.895,1.418,1.96
2026-03-10 02:00:00,129.7,2.025,1.375,2.058
2026-03-10 02:05:00,112.4,1.764,1.106,1.764
2026-03-10 02:10:00,112.4,1.96,1.384,1.96
2026-03-10 02:15:00,130.3,1.731,1.194,1.764
2026-03-10 02:20:00,132.7,1.633,1.248,1.666
2026-03-10 02:25:00,137.1,1.535,0.883,1.568
2026-03-10 02:30:00,136.2,0.849,0.239,0.882
2026-03-10 02:35:00,148.1,1.078,0.59,1.176
2026-03-10 02:40:00,142.5,1.405,1.001,1.47
2026-03-10 02:45:00,140.4,1.633,1.217,1.666
2026-03-10 02:50:00,129.1,1.764,1.199,1.764
2026-03-10 02:55:00,134.8,1.699,1.127,1.764
2026-03-10 03:00:00,139.9,0.947,0.678,0.98
2026-03-10 03:05:00,131.6,0.882,0.551,0.882
2026-03-10 03:10:00,133,1.045,0.464,1.078
2026-03-10 03:15:00,123.8,1.437,0.961,1.47
2026-03-10 03:20:00,131.2,1.731,1.106,1.764
2026-03-10 03:25:00,137,1.568,1.25,1.568
2026-03-10 03:30:00,128,2.058,1.447,2.156
2026-03-10 03:35:00,132.1,1.666,1.285,1.764
2026-03-10 03:40:00,129,1.47,0.927,1.568
2026-03-10 03:45:00,120.8,0.784,0.105,0.784
2026-03-10 03:50:00,85.2,1.372,0.308,1.372
2026-03-10 03:55:00,5.32,1.895,0.475,1.96
2026-03-10 04:00:00,188.8,0.457,0.033,0.49
2026-03-10 04:05:00,149.6,1.274,0.933,1.274
2026-03-10 04:10:00,142.4,1.47,1.171,1.47
2026-03-10 04:15:00,146.6,1.274,0.989,1.274
2026-03-10 04:20:00,139.5,1.437,1.049,1.47
2026-03-10 04:25:00,139.9,1.307,1.023,1.372
2026-03-10 04:30:00,140.6,1.568,1.152,1.666
2026-03-10 04:35:00,135.2,1.666,1.197,1.666
2026-03-10 04:40:00,151.3,3.071,1.911,3.234
2026-03-10 04:45:00,159,3.332,2.296,3.332
2026-03-10 04:50:00,173,3.071,1.562,3.136
2026-03-10 04:55:00,173.1,2.123,0.607,2.156
2026-03-10 05:00:00,161.9,1.666,1.18,1.764
2026-03-10 05:05:00,137.4,1.535,0.986,1.568
2026-03-10 05:10:00,121.2,1.699,1.076,1.764
2026-03-10 05:15:00,141.7,1.601,1.111,1.666
2026-03-10 05:20:00,143,1.764,1.331,1.862
2026-03-10 05:25:00,136.6,1.699,0.992,1.764
2026-03-10 05:30:00,128.5,2.058,1.263,2.156
2026-03-10 05:35:00,129,2.091,1.319,2.156
2026-03-10 05:40:00,135.6,2.123,1.006,2.156
2026-03-10 05:45:00,134.2,1.699,1.25,1.764
2026-03-10 05:50:00,119.2,1.47,0.619,1.568
2026-03-10 05:55:00,120,1.47,0.362,1.47
2026-03-10 06:00:00,151,2.319,1.377,2.352
2026-03-10 06:05:00,140.1,2.581,1.675,2.646
2026-03-10 06:10:00,148.3,2.711,1.673,2.744
2026-03-10 06:15:00,151.6,2.809,1.798,2.94
2026-03-10 06:20:00,157.2,3.463,2.382,3.528
2026-03-10 06:25:00,140,2.287,1.262,2.45
2026-03-10 06:30:00,128,2.254,1.332,2.352
2026-03-10 06:35:00,130,2.287,1.369,2.352
2026-03-10 06:40:00,137.4,2.123,1.504,2.156
2026-03-10 06:45:00,137.8,2.025,1.438,2.058
2026-03-10 06:50:00,141.3,1.307,0.358,1.372
2026-03-10 06:55:00,144.3,2.254,1.185,2.352
2026-03-10 07:00:00,142.8,1.862,1.313,1.96
2026-03-10 07:05:00,144.8,2.417,1.609,2.548
2026-03-10 07:10:00,157,3.201,2.106,3.234
2026-03-10 07:15:00,160.5,3.789,2.799,3.92
2026-03-10 07:20:00,162.3,2.744,1.91,2.842
2026-03-10 07:25:00,192.4,3.43,2.148,3.43
2026-03-10 07:30:00,167.5,1.993,1.412,2.058
2026-03-10 07:35:00,148.1,1.699,1.023,1.764
2026-03-10 07:40:00,159,2.45,1.615,2.548
2026-03-10 07:45:00,167.9,3.005,1.256,3.038
2026-03-10 07:50:00,166.9,2.581,1.293,2.646
