timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,159.3,3.554,1.082,3.998
2026-03-10 00:05:00,95.4,1.166,0.222,1.333
2026-03-10 00:10:00,108,2.721,0.732,2.999
2026-03-10 00:15:00,122.9,2.055,0.61,2.166
2026-03-10 00:20:00,126.3,1.555,0.544,1.666
2026-03-10 00:25:00,119,1.388,0.4,1.499
2026-03-10 00:30:00,116.9,3.165,0.628,3.499
2026-03-10 00:35:00,118,3.776,1.181,3.998
2026-03-10 00:40:00,146.6,2.443,0.941,2.832
2026-03-10 00:45:00,136.9,3.165,1.19,3.332
2026-03-10 00:50:00,125.1,3.776,0.929,4.165
2026-03-10 00:55:00,153.3,2.277,0.623,2.332
2026-03-10 01:00:00,147.4,2.055,0.523,1.999
2026-03-10 01:05:00,125.2,2.832,0.896,2.999
2026-03-10 01:10:00,109,2.055,0.528,2.166
2026-03-10 01:15:00,106.5,3.165,0.495,3.332
2026-03-10 01:20:00,120.6,2.999,0.962,3.165
2026-03-10 01:25:00,144.8,2.277,0.803,2.332
2026-03-10 01:30:00,149,1.888,0.773,1.999
2026-03-10 01:35:00,160,2.388,0.947,2.499
2026-03-10 01:40:00,129,2.166,0.491,2.332
2026-03-10 01:45:00,156.2,4.054,0.771,4.332
2026-03-10 01:50:00,139.1,3.165,0.921,3.332
2026-03-10 01:55:00,130.2,2.055,0.47,2.166
2026-03-10 02:00:00,131.5,2.055,0.545,2.166
2026-03-10 02:05:00,92.7,1.555,0.436,1.666
2026-03-10 02:10:00,105.6,1.666,0.449,1.666
2026-03-10 02:15:00,112.8,1.833,0.207,1.833
2026-03-10 02:20:00,143.8,2.11,0.659,2.166
2026-03-10 02:25:00,143.8,1.999,0.676,1.999
2026-03-10 02:30:00,153.6,2.332,0.93,2.832
2026-03-10 02:35:00,166.9,2.555,1.072,2.666
2026-03-10 02:40:00,158.8,2.166,0.992,2.332
2026-03-10 02:45:00,152.8,2.943,1.003,3.165
2026-03-10 02:50:00,119.7,2.166,0.481,2.166
2026-03-10 02:55:00,118.8,2.777,0.624,2.999
2026-03-10 03:00:00,112.3,2.555,0.514,2.666
2026-03-10 03:05:00,101.3,1.999,0.524,2.166
2026-03-10 03:10:00,144.1,2.61,0.673,2.832
2026-03-10 03:15:00,129.2,2.832,0.433,2.999
2026-03-10 03:20:00,147.1,1.722,0.525,1.833
2026-03-10 03:25:00,134.2,2.055,0.741,2.166
2026-03-10 03:30:00,164.9,2.61,0.901,2.832
2026-03-10 03:35:00,138.6,2.332,1.04,2.332
2026-03-10 03:40:00,132.9,3.776,0.684,3.998
2026-03-10 03:45:00,142.5,2.11,0.568,2.166
2026-03-10 03:50:00,111.2,1.444,0.434,1.499
2026-03-10 03:55:00,124.5,1.499,0.277,1.499
2026-03-10 04:00:00,143.4,1.944,0.77,1.999
2026-03-10 04:05:00,149.2,1.666,0.616,1.666
2026-03-10 04:10:00,150.7,1.944,1.122,1.999
2026-03-10 04:15:00,160.5,1.833,1.01,1.833
2026-03-10 04:20:00,151.7,3.165,1.325,3.499
2026-03-10 04:25:00,152.1,2.666,1.077,3.165
2026-03-10 04:30:00,135.2,4.72,0.911,4.998
2026-03-10 04:35:00,136.2,1.333,0.641,1.333
2026-03-10 04:40:00,147.3,2.832,0.897,3.165
2026-03-10 04:45:00,134.4,2.332,0.893,2.499
2026-03-10 04:50:00,162.8,2.332,0.837,2.499
2026-03-10 04:55:00,135.1,2.055,0.827,2.166
2026-03-10 05:00:00,147.7,1.888,0.736,1.999
2026-03-10 05:05:00,117.3,2.999,0.78,3.165
2026-03-10 05:10:00,125.8,3.887,0.906,3.998
2026-03-10 05:15:00,110.5,2.555,0.724,2.832
2026-03-10 05:20:00,139.4,1.999,0.835,2.166
2026-03-10 05:25:00,132.1,2.943,1.061,2.999
2026-03-10 05:30:00,135.7,1.944,0.423,1.999
2026-03-10 05:35:00,150.2,1.777,0.778,1.833
2026-03-10 05:40:00,131,2.443,1.083,2.666
2026-03-10 05:45:00,145.3,1.944,0.724,2.166
2026-03-10 05:50:00,138.4,2.943,1.011,3.165
2026-03-10 05:55:00,141.3,1.999,0.686,2.166
2026-03-10 06:00:00,143,4.276,1.112,4.498
2026-03-10 06:05:00,138.1,1.999,0.812,2.166
2026-03-10 06:10:00,158.3,2.11,1.111,2.332
2026-03-10 06:15:00,161,2.666,1.009,2.832
2026-03-10 06:20:00,161.9,2.443,0.948,2.499
2026-03-10 06:25:00,145.7,2.221,1.053,2.499
2026-03-10 06:30:00,135.8,2.388,0.841,2.499
2026-03-10 06:35:00,129.4,1.833,0.736,1.999
2026-03-10 06:40:00,142.2,2.221,0.927,2.332
2026-03-10 06:45:00,145.5,3.388,1.196,3.832
2026-03-10 06:50:00,158.5,2.332,0.86,2.499
2026-03-10 06:55:00,151.6,1.888,0.796,1.999
2026-03-10 07:00:00,130.7,2.443,1.065,2.499
2026-03-10 07:05:00,135.1,2.055,0.924,2.166
2026-03-10 07:10:00,134.2,2.61,0.856,2.666
2026-03-10 07:15:00,137.1,2.666,1.073,2.832
2026-03-10 07:20:00,116.9,3.388,0.749,3.832
2026-03-10 07:25:00,104.8,2.332,0.474,2.499
2026-03-10 07:30:00,112.7,2.277,0.824,2.499
2026-03-10 07:35:00,97.8,2.999,0.84,3.165
2026-03-10 07:40:00,129.8,1.722,0.583,1.833
2026-03-10 07:45:00,122.9,2.166,0.691,2.332
2026-03-10 07:50:00,88.8,3.443,0.661,3.665
2026-03-10 07:55:00,98.1,2.777,0.838,2.832
2026-03-10 08:00:00,98.7,2.555,0.515,2.666
2026-03-10 08:05:00,107.1,3.665,1.093,3.832
2026-03-10 08:10:00,92,3.054,0.784,3.165
2026-03-10 08:15:00,97.1,1.888,0.554,1.999
2026-03-10 08:20:00,96.8,2.499,0.64,2.499
2026-03-10 08:25:00,101.5,3.554,0.956,3.665
2026-03-10 08:30:00,96.7,2.388,0.699,2.499
2026-03-10 08:35:00,103.9,3.11,0.812,3.332
2026-03-10 08:40:00,79,2.999,0.746,2.999
2026-03-10 08:45:00,126.9,1.555,0.468,1.666
2026-03-10 08:50:00,74.35,1.944,0.545,2.166
2026-03-10 08:55:00,72.63,3.554,0.792,4.165
2026-03-10 09:00:00,69.17,4.332,0.627,4.332
2026-03-10 09:05:00,111.6,3.221,0.924,3.499
2026-03-10 09:10:00,90.3,3.887,0.906,4.165
2026-03-10 09:15:00,105.4,3.332,1.186,3.499
2026-03-10 09:20:00,104.5,2.61,0.925,2.832
2026-03-10 09:25:00,101,2.61,0.675,2.666
2026-03-10 09:30:00,111.5,2.332,0.887,2.499
2026-03-10 09:35:00,89.6,2.388,0.875,2.499
