timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,110.4,4.95,1.855,5.45
2026-03-10 00:05:00,101.6,3.45,1.618,3.95
2026-03-10 00:10:00,94.6,2.95,1.31,3.95
2026-03-10 00:15:00,101.7,2.7,1.433,3.2
2026-03-10 00:20:00,73.96,2.45,1.008,3.2
2026-03-10 00:25:00,51.57,0.95,0.95,0.95
2026-03-10 00:30:00,94.6,0.95,0.95,0.95
2026-03-10 00:35:00,116.1,0.95,0.95,0.95
2026-03-10 00:40:00,113,1.95,1.038,2.45
2026-03-10 00:45:00,118,2.2,1.178,2.45
2026-03-10 00:50:00,117.6,2.95,1.383,3.2
2026-03-10 00:55:00,124.4,2.45,1.293,2.45
2026-03-10 01:00:00,123,2.95,1.785,3.2
2026-03-10 01:05:00,125.8,3.45,1.673,3.95
2026-03-10 01:10:00,124.6,3.95,1.933,4.7
2026-03-10 01:15:00,118.2,3.7,1.863,3.95
2026-03-10 01:20:00,126.1,3.2,1.99,3.95
2026-03-10 01:25:00,120.9,3.45,1.775,3.95
2026-03-10 01:30:00,123.1,2.45,1.498,3.2
2026-03-10 01:35:00,121.7,2.2,1.445,2.45
2026-03-10 01:40:00,126.9,2.95,1.725,3.2
2026-03-10 01:45:00,124,2.7,1.535,3.2
2026-03-10 01:50:00,125.7,2.45,1.393,2.45
2026-03-10 01:55:00,120.9,2.45,1.503,2.45
2026-03-10 02:00:00,118.9,2.7,1.473,3.2
2026-03-10 02:05:00,121.5,2.45,1.255,2.45
2026-03-10 02:10:00,131,2.7,1.68,3.2
2026-03-10 02:15:00,122.1,3.2,1.855,3.2
2026-03-10 02:20:00,131,2.95,1.558,3.2
2026-03-10 02:25:00,138.1,2.7,1.505,3.2
2026-03-10 02:30:00,126.8,1.95,1.288,2.45
2026-03-10 02:35:00,124.6,2.2,1.3,2.45
2026-03-10 02:40:00,124.5,2.2,1.395,2.45
2026-03-10 02:45:00,135.3,2.2,1.178,2.45
2026-03-10 02:50:00,125.7,1.95,1.428,2.45
2026-03-10 02:55:00,122.5,2.2,1.488,2.45
2026-03-10 03:00:00,126.6,2.45,1.475,2.45
2026-03-10 03:05:00,136.3,1.95,1.108,2.45
2026-03-10 03:10:00,128,2.2,1.39,2.45
2026-03-10 03:15:00,135.6,2.7,1.513,3.2
2026-03-10 03:20:00,126.6,2.7,1.555,3.2
2026-03-10 03:25:00,126.8,2.2,1.298,2.45
2026-03-10 03:30:00,130,2.2,1.24,2.45
2026-03-10 03:35:00,132.3,2.95,1.33,3.2
2026-03-10 03:40:00,124.1,3.2,1.468,3.2
2026-03-10 03:45:00,124.9,2.45,1.58,2.45
2026-03-10 03:50:00,115,2.7,1.6,3.2
2026-03-10 03:55:00,114.7,3.45,1.603,3.95
2026-03-10 04:00:00,129.7,2.7,1.52,3.2
2026-03-10 04:05:00,124.7,2.2,1.278,2.45
2026-03-10 04:10:00,131.4,1.95,1.2,2.45
2026-03-10 04:15:00,135,1.95,1.01,2.45
2026-03-10 04:20:00,112.8,0.95,0.95,0.95
2026-03-10 04:25:00,96.3,2.2,1.32,2.45
2026-03-10 04:30:00,115.7,2.2,1.375,2.45
2026-03-10 04:35:00,130.3,2.7,1.69,3.2
2026-03-10 04:40:00,122.9,2.7,1.633,3.2
2026-03-10 04:45:00,134.6,2.7,1.633,3.2
2026-03-10 04:50:00,130.2,2.7,1.67,3.2
2026-03-10 04:55:00,133.9,2.95,1.608,3.2
2026-03-10 05:00:00,130.3,2.45,1.548,3.2
2026-03-10 05:05:00,122.9,3.7,1.44,3.95
2026-03-10 05:10:00,115.8,3.2,1.758,3.2
2026-03-10 05:15:00,121.2,2.7,1.683,3.2
2026-03-10 05:20:00,122.4,2.95,1.703,3.2
2026-03-10 05:25:00,127.7,3.45,1.848,3.95
2026-03-10 05:30:00,122.2,4.2,1.65,4.7
2026-03-10 05:35:00,124,3.2,1.728,3.2
2026-03-10 05:40:00,126.8,2.7,1.54,3.2
2026-03-10 05:45:00,124.7,3.7,1.57,3.95
2026-03-10 05:50:00,126.5,2.45,1.553,3.2
