timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,69.16,4.109,1.818,4.165
2026-03-10 00:05:00,72.91,4.609,2.093,4.831
2026-03-10 00:10:00,75.87,5.442,2.202,5.831
2026-03-10 00:15:00,70.37,4.332,2.154,4.665
2026-03-10 00:20:00,65.88,4.054,1.915,4.332
2026-03-10 00:25:00,72.92,5.054,1.96,5.165
2026-03-10 00:30:00,68.42,4.831,1.872,4.998
2026-03-10 00:35:00,67.39,3.998,1.637,4.165
2026-03-10 00:40:00,74.52,3.499,1.55,3.832
2026-03-10 00:45:00,66.83,3.887,1.742,4.332
2026-03-10 00:50:00,68.49,4.387,1.807,4.831
2026-03-10 00:55:00,66.05,4.054,1.23,4.165
2026-03-10 01:00:00,59.49,3.776,1.55,4.165
2026-03-10 01:05:00,63.93,3.943,1.737,4.165
2026-03-10 01:10:00,63.71,5.609,2.019,5.998
2026-03-10 01:15:00,62.83,4.443,2.068,4.665
2026-03-10 01:20:00,55.25,3.332,1.476,3.665
2026-03-10 01:25:00,61.2,4.387,2.076,4.665
2026-03-10 01:30:00,57.48,3.61,1.914,3.998
2026-03-10 01:35:00,67.03,3.998,1.898,4.332
2026-03-10 01:40:00,69.35,4.276,2.185,4.498
2026-03-10 01:45:00,65.68,4.109,1.613,4.332
2026-03-10 01:50:00,65.31,4.165,1.944,4.498
2026-03-10 01:55:00,69.98,3.887,1.795,3.998
2026-03-10 02:00:00,72.39,3.499,1.622,3.832
2026-03-10 02:05:00,58.56,4.554,1.898,5.331
2026-03-10 02:10:00,61.7,3.832,1.656,4.165
2026-03-10 02:15:00,67.9,3.776,1.556,3.998
2026-03-10 02:20:00,74.84,3.443,1.383,3.499
2026-03-10 02:25:00,58.94,3.943,1.523,4.332
2026-03-10 02:30:00,63.38,4.054,2.021,4.165
2026-03-10 02:35:00,67.09,3.832,2.08,4.332
2026-03-10 02:40:00,66.38,4.054,1.583,4.165
2026-03-10 02:45:00,60.43,2.721,1.387,2.999
2026-03-10 02:50:00,48.18,2.555,1.236,2.666
2026-03-10 02:55:00,54.36,3.11,1.585,3.165
2026-03-10 03:00:00,67.86,2.832,1.172,2.999
2026-03-10 03:05:00,63.94,3.499,1.273,3.665
2026-03-10 03:10:00,71.61,3.443,1.479,3.665
2026-03-10 03:15:00,62.3,4.221,1.442,4.498
2026-03-10 03:20:00,62.49,4.276,1.858,4.498
2026-03-10 03:25:00,68.45,3.499,1.949,3.665
2026-03-10 03:30:00,66.8,4.221,2.047,4.332
2026-03-10 03:35:00,70.3,3.61,1.692,3.832
2026-03-10 03:40:00,70.56,4.387,1.857,4.498
2026-03-10 03:45:00,65.78,4.332,2.149,4.665
2026-03-10 03:50:00,72.63,4.054,2.046,4.165
2026-03-10 03:55:00,63.08,3.998,1.939,4.165
2026-03-10 04:00:00,66.97,4.609,2.289,5.331
2026-03-10 04:05:00,76.67,3.887,1.806,4.165
2026-03-10 04:10:00,73.48,4.165,1.56,4.332
2026-03-10 04:15:00,69.32,4.609,1.896,4.998
2026-03-10 04:20:00,75.15,4.942,1.845,5.498
2026-03-10 04:25:00,79.56,4.609,2.365,4.998
2026-03-10 04:30:00,81.1,4.665,1.868,4.831
2026-03-10 04:35:00,79.3,5.387,2.147,5.664
2026-03-10 04:40:00,81.6,4.942,1.954,5.331
2026-03-10 04:45:00,70.86,4.72,1.779,4.831
2026-03-10 04:50:00,66.37,4.276,1.735,4.998
2026-03-10 04:55:00,79.7,4.054,1.646,4.498
2026-03-10 05:00:00,74.06,4.887,1.86,5.165
2026-03-10 05:05:00,69.79,5.331,2.268,5.498
2026-03-10 05:10:00,66.58,5.22,1.961,5.331
2026-03-10 05:15:00,65.91,4.609,2.575,4.831
2026-03-10 05:20:00,66.95,5.109,1.618,5.498
2026-03-10 05:25:00,68.25,4.221,2.061,4.998
2026-03-10 05:30:00,72.03,4.831,2.071,5.165
2026-03-10 05:35:00,66.43,3.998,2.23,4.332
2026-03-10 05:40:00,66.02,4.609,2.267,4.831
2026-03-10 05:45:00,73.08,5.276,2.681,5.498
2026-03-10 05:50:00,74.21,3.943,2.114,4.332
2026-03-10 05:55:00,75.94,5.831,2.378,6.331
2026-03-10 06:00:00,67.46,4.054,1.855,4.831
2026-03-10 06:05:00,68.91,4.942,2.18,5.165
2026-03-10 06:10:00,72.08,4.998,1.802,5.998
2026-03-10 06:15:00,70.75,4.332,1.955,4.831
2026-03-10 06:20:00,78.31,5.331,2.33,5.831
2026-03-10 06:25:00,69.72,4.776,2.401,4.831
2026-03-10 06:30:00,71.01,5.498,2.089,5.831
2026-03-10 06:35:00,79.38,5.664,2.135,5.831
2026-03-10 06:40:00,72.61,4.998,2.336,5.664
2026-03-10 06:45:00,74.22,6.109,2.008,6.497
2026-03-10 06:50:00,77.45,4.887,1.981,5.331
2026-03-10 06:55:00,70.58,4.776,2.04,4.998
2026-03-10 07:00:00,84,5.998,2.235,6.497
2026-03-10 07:05:00,81.3,4.609,2.024,4.998
2026-03-10 07:10:00,75.78,4.387,2.129,5.165
2026-03-10 07:15:00,73.27,5.498,2.122,5.664
2026-03-10 07:20:00,72.7,6.275,2.32,6.664
2026-03-10 07:25:00,75.8,4.998,2.408,5.331
2026-03-10 07:30:00,78.76,5.387,2.231,5.498
2026-03-10 07:35:00,69.93,5.498,2.365,5.998
2026-03-10 07:40:00,68.77,5.109,2.395,6.164
2026-03-10 07:45:00,68.84,3.721,2.089,4.165
2026-03-10 07:50:00,64.43,5.387,2.723,5.664
2026-03-10 07:55:00,73.99,6.164,2.47,6.331
2026-03-10 08:00:00,68.22,6.109,2.717,6.664
2026-03-10 08:05:00,66.2,6.553,3.101,7.164
2026-03-10 08:10:00,62.18,5.276,2.633,5.664
2026-03-10 08:15:00,64.98,4.72,2.481,5.165
2026-03-10 08:20:00,65.31,5.553,2.532,5.831
2026-03-10 08:25:00,69.51,4.887,2.564,5.165
2026-03-10 08:30:00,62.15,5.387,2.703,5.498
2026-03-10 08:35:00,66.63,5.498,2.247,5.831
2026-03-10 08:40:00,65.24,5.553,2.901,6.164
2026-03-10 08:45:00,68.11,6.386,2.813,6.664
2026-03-10 08:50:00,71.27,5.387,2.392,6.164
2026-03-10 08:55:00,64.01,5.831,2.543,6.331
2026-03-10 09:00:00,71.2,5.498,2.345,5.831
2026-03-10 09:05:00,74.9,4.887,2.021,5.664
2026-03-10 09:10:00,65.67,4.609,2.518,5.165
2026-03-10 09:15:00,70.85,5.553,2.509,6.164
2026-03-10 09:20:00,60.78,4.165,2.128,4.332
2026-03-10 09:25:00,65.07,4.054,2.302,4.498
2026-03-10 09:30:00,61.15,5.276,2.24,5.831
2026-03-10 09:35:00,70.15,5.109,2.316,5.331
2026-03-10 09:40:00,64.36,3.276,1.625,3.332
2026-03-10 09:45:00,78.55,3.998,2.136,4.332
2026-03-10 09:50:00,88.1,3.499,2.13,3.665
2026-03-10 09:55:00,89.2,2.832,1.613,2.999
2026-03-10 10:00:00,91.7,3.221,1.755,3.332
2026-03-10 10:05:00,91,3.11,1.417,3.165
2026-03-10 10:10:00,90.1,3.554,1.146,3.665
2026-03-10 10:15:00,87.7,4.609,1.983,4.998
2026-03-10 10:20:00,83.5,4.498,2.201,4.831
2026-03-10 10:25:00,87.5,4.72,2.259,4.831
2026-03-10 10:30:00,85.6,4.498,2.143,4.665
2026-03-10 10:35:00,85.4,5.276,2.556,5.498
2026-03-10 10:40:00,85.4,4.276,2.074,4.831
2026-03-10 10:45:00,88.8,4.498,2.315,4.998
2026-03-10 10:50:00,89.7,5.72,3.283,5.831
2026-03-10 10:55:00,88,5.831,3.263,6.331
2026-03-10 11:00:00,88.6,5.942,2.851,6.164
2026-03-10 11:05:00,87.1,5.054,2.361,5.498
2026-03-10 11:10:00,88.2,3.665,1.298,3.832
2026-03-10 11:15:00,85,3.499,1.823,3.665
2026-03-10 11:20:00,88,4.054,1.806,4.165
2026-03-10 11:25:00,85.2,3.332,1.324,3.499
2026-03-10 11:30:00,87.9,3.332,1.717,3.499
2026-03-10 11:35:00,85.9,4.776,2.338,5.165
2026-03-10 11:40:00,86.3,4.998,2.639,4.998
2026-03-10 11:45:00,87.4,3.998,1.945,4.332
2026-03-10 11:50:00,85,4.387,2,4.831
2026-03-10 11:55:00,88.7,4.554,2.356,4.665
2026-03-10 12:00:00,89.9,3.721,1.989,3.998
2026-03-10 12:05:00,88.7,3.554,1.907,3.665
2026-03-10 12:10:00,92.2,3.11,1.578,3.332
2026-03-10 12:15:00,80.8,2.832,1.408,3.165
2026-03-10 12:20:00,92.5,3.887,2.044,3.998
2026-03-10 12:25:00,91.5,4.332,1.961,4.498
2026-03-10 12:30:00,94.4,4.332,2.422,4.665
2026-03-10 12:35:00,90.9,4.109,2.068,4.165
2026-03-10 12:40:00,89.6,4.498,2.037,4.831
2026-03-10 12:45:00,89,3.943,2.222,3.998
2026-03-10 12:50:00,90.5,4.665,2.463,4.998
2026-03-10 12:55:00,89.4,4.498,2.345,4.498
2026-03-10 13:00:00,87.8,4.054,2.221,4.498
2026-03-10 13:05:00,90.1,5.831,2.388,6.664
2026-03-10 13:10:00,82.5,5.165,2.337,5.664
2026-03-10 13:15:00,78.7,4.776,2.08,4.998
2026-03-10 13:20:00,76.5,3.943,2.024,4.332
2026-03-10 13:25:00,75.41,4.665,1.721,4.665
2026-03-10 13:30:00,76.08,3.998,1.861,4.165
2026-03-10 13:35:00,75.99,4.443,2.04,4.831
2026-03-10 13:40:00,77.51,4.221,1.782,4.332
2026-03-10 13:45:00,81.8,4.72,2.105,5.165
2026-03-10 13:50:00,82.2,4.332,1.862,4.665
2026-03-10 13:55:00,89,4.165,2.021,4.665
2026-03-10 14:00:00,81,4.054,1.953,4.332
2026-03-10 14:05:00,74.56,3.61,1.982,3.832
2026-03-10 14:10:00,67.86,3.665,1.68,3.998
2026-03-10 14:15:00,72.61,4.665,1.606,4.831
2026-03-10 14:20:00,64.72,5.609,2.268,5.831
2026-03-10 14:25:00,67.15,4.942,2.086,5.331
2026-03-10 14:30:00,77.83,4.498,2.049,4.831
2026-03-10 14:35:00,73.88,4.831,1.992,4.998
2026-03-10 14:40:00,70.44,3.832,1.95,3.998
2026-03-10 14:45:00,77.3,4.831,2.234,5.165
2026-03-10 14:50:00,74.69,4.443,1.892,4.498
2026-03-10 14:55:00,65.46,3.943,1.996,4.665
2026-03-10 15:00:00,69.05,3.499,1.679,3.665
2026-03-10 15:05:00,60.25,3.998,1.52,4.332
2026-03-10 15:10:00,76.73,3.776,1.656,4.165
2026-03-10 15:15:00,68.48,3.943,1.811,4.498
2026-03-10 15:20:00,70.64,3.665,1.663,3.832
2026-03-10 15:25:00,76.59,4.165,2.123,4.498
2026-03-10 15:30:00,66.59,3.054,1.489,3.499
2026-03-10 15:35:00,68.75,4.498,1.789,4.998
2026-03-10 15:40:00,65.46,3.165,1.364,3.332
2026-03-10 15:45:00,64.49,3.11,1.497,3.165
2026-03-10 15:50:00,77.28,3.776,1.563,4.165
2026-03-10 15:55:00,82.6,4.387,1.752,4.665
2026-03-10 16:00:00,79.89,3.776,1.839,4.165
2026-03-10 16:05:00,79.06,3.554,1.657,3.832
2026-03-10 16:10:00,80.8,3.332,1.582,3.665
2026-03-10 16:15:00,79.7,3.443,1.689,3.832
2026-03-10 16:20:00,71.54,3.721,1.564,3.998
2026-03-10 16:25:00,77.61,5.165,1.878,5.498
2026-03-10 16:30:00,77.79,3.221,1.537,3.499
2026-03-10 16:35:00,83.5,4.054,1.524,4.165
2026-03-10 16:40:00,76.73,4.72,1.736,4.831
2026-03-10 16:45:00,71.5,4.165,1.855,4.498
2026-03-10 16:50:00,58.45,3.165,1.712,3.332
2026-03-10 16:55:00,64.06,3.276,1.415,3.332
2026-03-10 17:00:00,57.5,3.499,1.318,3.499
2026-03-10 17:05:00,65.75,3.443,1.476,3.665
2026-03-10 17:10:00,63.18,3.054,1.462,3.165
2026-03-10 17:15:00,62.99,3.332,1.401,3.499
2026-03-10 17:20:00,63.89,3.054,1.205,3.165
2026-03-10 17:25:00,56.81,3.665,1.552,3.832
2026-03-10 17:30:00,69.79,3.887,1.631,3.998
2026-03-10 17:35:00,77.88,3.832,1.677,4.165
2026-03-10 17:40:00,74.86,4.609,1.466,5.165
2026-03-10 17:45:00,53.87,3.721,1.579,3.832
2026-03-10 17:50:00,61.64,3.943,1.763,4.165
2026-03-10 17:55:00,65.88,3.943,1.194,4.165
2026-03-10 18:00:00,73.85,3.998,1.36,4.332
2026-03-10 18:05:00,62.96,3.721,1.492,3.832
2026-03-10 18:10:00,72.98,3.332,1.645,3.499
2026-03-10 18:15:00,74.97,4.054,1.763,4.332
2026-03-10 18:20:00,69.96,3.11,1.567,3.499
2026-03-10 18:25:00,75.01,4.498,1.626,4.665
2026-03-10 18:30:00,70.48,4.221,1.858,4.665
2026-03-10 18:35:00,70.17,3.943,1.56,4.165
2026-03-10 18:40:00,66.76,4.665,1.913,4.998
2026-03-10 18:45:00,69.69,3.998,1.584,4.332
