timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,0,0,0,0
2026-03-10 00:05:00,0,0,0,0
2026-03-10 00:10:00,0,0,0,0
2026-03-10 00:15:00,0,0,0,0
2026-03-10 00:20:00,176,0.722,0.318,0.833
2026-03-10 00:25:00,166.8,1.166,0.892,1.166
2026-03-10 00:30:00,171.3,1.111,0.837,1.166
2026-03-10 00:35:00,204.5,0.666,0.051,0.666
2026-03-10 00:40:00,187.4,1.277,0.617,1.333
2026-03-10 00:45:00,169.7,1.333,0.883,1.333
2026-03-10 00:50:00,164.7,1.055,0.773,1.166
2026-03-10 00:55:00,170.2,0.777,0.464,0.833
2026-03-10 01:00:00,174.1,0.777,0.359,0.833
2026-03-10 01:05:00,195.3,0.5,0.144,0.5
2026-03-10 01:10:00,205.9,0.5,0.071,0.5
2026-03-10 01:15:00,217.3,0.722,0.315,0.833
2026-03-10 01:20:00,219.6,0.278,0.031,0.333
2026-03-10 01:25:00,0,0,0,0
2026-03-10 01:30:00,0,0,0,0
2026-03-10 01:35:00,0,0,0,0
2026-03-10 01:40:00,0,0,0,0
2026-03-10 01:45:00,0,0,0,0
2026-03-10 01:50:00,0,0,0,0
2026-03-10 01:55:00,0,0,0,0
2026-03-10 02:00:00,208.8,0.666,0.365,0.666
2026-03-10 02:05:00,176.3,0.444,0.005,0.5
2026-03-10 02:10:00,176.7,0.666,0.461,0.666
2026-03-10 02:15:00,176.9,0.777,0.522,0.833
2026-03-10 02:20:00,174.4,0.555,0.043,0.666
2026-03-10 02:25:00,173.7,0.666,0.267,0.666
2026-03-10 02:30:00,165.9,0.944,0.673,1
2026-03-10 02:35:00,186.5,0.833,0.518,0.833
2026-03-10 02:40:00,217.8,0.5,0.201,0.5
2026-03-10 02:45:00,174.8,0.777,0.249,0.833
2026-03-10 02:50:00,163.2,1.111,0.86,1.166
2026-03-10 02:55:00,192,0.833,0.539,0.833
2026-03-10 03:00:00,207.7,0.722,0.467,0.833
2026-03-10 03:05:00,0,0,0,0
2026-03-10 03:10:00,232.1,0.444,0.06,0.5
2026-03-10 03:15:00,0,0,0,0
2026-03-10 03:20:00,0,0,0,0
2026-03-10 03:25:00,180.4,0.944,0.549,1
2026-03-10 03:30:00,188.5,1,0.57,1
2026-03-10 03:35:00,176.2,1.166,0.956,1.166
2026-03-10 03:40:00,174.8,1.444,1.148,1.499
2026-03-10 03:45:00,163.5,1.055,0.755,1.166
2026-03-10 03:50:00,171.1,0.889,0.632,1
2026-03-10 03:55:00,178.8,1.222,0.947,1.333
2026-03-10 04:00:00,192.5,1.166,0.808,1.166
