timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,247.6,2.166,1.319,2.332
2026-03-10 00:05:00,244.7,2.443,1.369,2.666
2026-03-10 00:10:00,237.1,2.999,1.738,3.165
2026-03-10 00:15:00,243.7,2.443,1.399,2.499
2026-03-10 00:20:00,239.9,2.277,1.388,2.499
2026-03-10 00:25:00,242,2.888,1.663,2.999
2026-03-10 00:30:00,241.1,3.554,1.567,3.832
2026-03-10 00:35:00,230.3,4.276,2.602,4.498
2026-03-10 00:40:00,232.7,3.61,2.236,3.832
2026-03-10 00:45:00,234.6,3.443,2.106,3.832
2026-03-10 00:50:00,236.4,3.665,2.22,3.998
2026-03-10 00:55:00,233.2,3.998,2.362,4.332
2026-03-10 01:00:00,231.2,4.054,2.555,4.165
2026-03-10 01:05:00,230.6,3.832,2.606,3.998
2026-03-10 01:10:00,229.6,3.665,2.726,3.832
2026-03-10 01:15:00,230.1,3.887,2.816,3.998
2026-03-10 01:20:00,229,4.221,2.935,4.665
2026-03-10 01:25:00,226.5,4.554,3.305,4.831
2026-03-10 01:30:00,221.5,4.776,3.634,4.998
2026-03-10 01:35:00,222.6,4.165,3.012,4.332
2026-03-10 01:40:00,209.3,4.276,3.194,4.332
2026-03-10 01:45:00,217.5,3.998,2.757,4.332
2026-03-10 01:50:00,225.6,4.054,2.737,4.165
2026-03-10 01:55:00,229.4,3.665,2.43,3.665
2026-03-10 02:00:00,228.5,3.499,2.161,3.665
2026-03-10 02:05:00,236.2,3.998,2.207,4.165
2026-03-10 02:10:00,233.9,4.554,2.215,4.665
2026-03-10 02:15:00,232.7,4.554,2.547,4.998
2026-03-10 02:20:00,230.1,4.443,2.669,4.665
2026-03-10 02:25:00,228.6,3.998,2.836,4.332
2026-03-10 02:30:00,230.5,4.554,2.702,4.998
2026-03-10 02:35:00,234.6,3.943,2.137,4.165
2026-03-10 02:40:00,232.6,4.165,2.393,4.332
2026-03-10 02:45:00,232.7,4.498,2.382,4.665
2026-03-10 02:50:00,234.5,3.665,1.995,3.832
2026-03-10 02:55:00,236.8,3.665,2.11,3.832
2026-03-10 03:00:00,232.7,3.832,2.326,3.998
2026-03-10 03:05:00,233.1,3.721,2.32,3.832
2026-03-10 03:10:00,231.8,4.498,2.684,4.831
2026-03-10 03:15:00,229,4.665,2.84,4.831
2026-03-10 03:20:00,231.2,3.665,2.507,3.832
2026-03-10 03:25:00,232.6,4.221,2.328,4.332
2026-03-10 03:30:00,234.7,4.387,2.06,5.165
2026-03-10 03:35:00,229.4,4.054,2.485,4.332
2026-03-10 03:40:00,232.6,3.832,2.452,3.998
2026-03-10 03:45:00,230,4.165,2.525,4.332
2026-03-10 03:50:00,229.5,3.943,2.41,4.165
2026-03-10 03:55:00,232.2,3.554,2.39,3.832
2026-03-10 04:00:00,233.9,3.388,2.011,3.998
2026-03-10 04:05:00,236.4,3.276,1.835,3.665
2026-03-10 04:10:00,237.3,3.832,1.976,3.998
2026-03-10 04:15:00,235.4,3.499,1.894,3.832
2026-03-10 04:20:00,236.3,3.776,1.982,3.998
2026-03-10 04:25:00,238.8,3.665,1.889,3.832
2026-03-10 04:30:00,227.4,3.998,2.471,4.165
2026-03-10 04:35:00,218.8,5.22,3.328,5.331
2026-03-10 04:40:00,211.1,5.998,4.04,6.164
2026-03-10 04:45:00,217.1,5.054,4.016,5.165
2026-03-10 04:50:00,229.9,3.943,2.687,3.998
2026-03-10 04:55:00,228.1,4.942,2.931,5.165
2026-03-10 05:00:00,231.2,4.387,2.472,4.498
2026-03-10 05:05:00,237,3.61,2.091,3.998
2026-03-10 05:10:00,234.8,3.388,1.853,3.665
2026-03-10 05:15:00,215.8,3.721,1.922,3.832
2026-03-10 05:20:00,225.1,3.332,2.237,3.499
2026-03-10 05:25:00,224.8,3.887,2.679,3.998
2026-03-10 05:30:00,230.4,4.443,2.662,4.498
2026-03-10 05:35:00,228,4.221,2.95,4.498
2026-03-10 05:40:00,226.1,4.942,3.356,4.998
2026-03-10 05:45:00,220.1,3.887,2.832,3.998
2026-03-10 05:50:00,203.9,4.72,3.511,4.831
2026-03-10 05:55:00,211.7,4.276,3.187,4.332
2026-03-10 06:00:00,207.5,4.665,3.235,4.831
2026-03-10 06:05:00,208,5.276,3.558,5.498
2026-03-10 06:10:00,208.7,5.054,3.99,5.331
2026-03-10 06:15:00,208.7,5.054,3.605,5.165
2026-03-10 06:20:00,211.9,5.331,3.624,5.331
2026-03-10 06:25:00,220.1,5.498,4.509,5.664
2026-03-10 06:30:00,211.9,5.276,3.989,5.498
2026-03-10 06:35:00,209.9,5.72,4.398,5.831
