timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,177,3.054,1.554,3.165
2026-03-10 00:05:00,181.3,3.721,1.985,3.832
2026-03-10 00:10:00,177.5,3.665,2.114,3.832
2026-03-10 00:15:00,188.9,3.443,2.172,3.499
2026-03-10 00:20:00,185.8,3.332,2.176,3.332
2026-03-10 00:25:00,185.2,3.887,2.436,3.998
2026-03-10 00:30:00,183.8,3.887,2.386,3.998
2026-03-10 00:35:00,195.2,4.554,2.743,4.831
2026-03-10 00:40:00,194.8,4.498,2.537,4.665
2026-03-10 00:45:00,194.8,3.832,2.358,3.998
2026-03-10 00:50:00,186.3,3.943,2.167,3.998
2026-03-10 00:55:00,187.4,3.832,2.16,4.165
2026-03-10 01:00:00,196.3,3.776,2.279,3.998
2026-03-10 01:05:00,195.7,2.888,1.774,2.999
2026-03-10 01:10:00,194.9,3.388,1.94,3.832
2026-03-10 01:15:00,194.2,3.276,1.584,3.499
2026-03-10 01:20:00,191.6,3.499,1.929,3.499
2026-03-10 01:25:00,197.2,3.443,2.083,3.665
2026-03-10 01:30:00,194.3,3.388,1.838,3.499
2026-03-10 01:35:00,183.8,3.332,1.804,3.499
2026-03-10 01:40:00,191.7,3.443,2.14,3.665
2026-03-10 01:45:00,190.7,3.276,1.924,3.499
2026-03-10 01:50:00,190.7,2.943,1.774,2.999
2026-03-10 01:55:00,186.1,2.888,1.655,2.999
2026-03-10 02:00:00,190,2.832,1.791,2.999
2026-03-10 02:05:00,196.3,3.11,1.951,3.165
2026-03-10 02:10:00,186,3.165,1.808,3.332
2026-03-10 02:15:00,188.6,3.388,1.927,3.499
2026-03-10 02:20:00,188.7,3.61,2.016,3.832
2026-03-10 02:25:00,186.9,3.332,2.211,3.499
2026-03-10 02:30:00,187.8,3.776,2.23,3.998
2026-03-10 02:35:00,191.4,4.443,2.214,4.498
2026-03-10 02:40:00,193.4,3.443,2.17,3.499
2026-03-10 02:45:00,193.4,3.943,2.495,4.165
2026-03-10 02:50:00,200.8,4.109,2.336,4.332
2026-03-10 02:55:00,200.4,3.943,2.281,3.998
2026-03-10 03:00:00,204,3.388,1.935,3.665
2026-03-10 03:05:00,201.5,4.221,2.127,4.332
2026-03-10 03:10:00,195.7,3.499,2.259,3.665
2026-03-10 03:15:00,203.9,3.554,2.15,3.665
2026-03-10 03:20:00,197.1,3.61,2.293,3.832
2026-03-10 03:25:00,197.5,3.499,2.408,3.665
2026-03-10 03:30:00,193.9,3.721,2.201,3.998
2026-03-10 03:35:00,201.6,3.554,2.155,3.665
2026-03-10 03:40:00,202.8,3.61,2.386,3.665
2026-03-10 03:45:00,205.8,3.943,2.602,3.998
2026-03-10 03:50:00,206.8,4.554,2.722,4.665
2026-03-10 03:55:00,206,3.776,2.457,3.832
2026-03-10 04:00:00,202.5,3.61,2.178,3.665
2026-03-10 04:05:00,195,3.165,1.735,3.165
2026-03-10 04:10:00,189,3.11,1.851,3.165
2026-03-10 04:15:00,189.5,4.054,2.455,4.165
2026-03-10 04:20:00,186.6,3.776,2.325,3.998
2026-03-10 04:25:00,193.1,3.61,2.215,3.832
2026-03-10 04:30:00,193.9,3.721,2.248,3.832
2026-03-10 04:35:00,184.2,3.054,2.024,3.165
2026-03-10 04:40:00,191.7,3.054,2.036,3.332
2026-03-10 04:45:00,187.7,3.499,2.281,3.665
2026-03-10 04:50:00,180.5,3.388,2.061,3.665
2026-03-10 04:55:00,182.2,3.165,1.945,3.165
2026-03-10 05:00:00,197.1,3.11,2.051,3.332
2026-03-10 05:05:00,199.1,3.221,2.087,3.499
2026-03-10 05:10:00,203.1,3.054,1.928,3.165
2026-03-10 05:15:00,212.7,2.999,1.823,3.332
2026-03-10 05:20:00,211.4,3.165,2.087,3.165
2026-03-10 05:25:00,217.1,2.999,1.812,2.999
2026-03-10 05:30:00,213.2,3.165,2.025,3.165
2026-03-10 05:35:00,214.6,2.832,2.029,2.832
2026-03-10 05:40:00,212.9,2.888,1.954,2.999
