timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,279.9,0.833,0.405,0.833
2026-03-10 00:05:00,287.3,0.777,0.558,0.833
2026-03-10 00:10:00,259.1,0.666,0.372,0.666
2026-03-10 00:15:00,244,1,0.631,1
2026-03-10 00:20:00,247.9,0.889,0.565,1
2026-03-10 00:25:00,244.5,1.222,0.702,1.333
2026-03-10 00:30:00,256.3,1.111,0.801,1.166
2026-03-10 00:35:00,257.9,1.055,0.82,1.166
2026-03-10 00:40:00,257.7,1.055,0.607,1.166
2026-03-10 00:45:00,245.4,1.055,0.613,1.166
2026-03-10 00:50:00,249.5,0.944,0.625,1
2026-03-10 00:55:00,246.3,1.277,0.529,1.333
2026-03-10 01:00:00,246.8,0.833,0.558,0.833
2026-03-10 01:05:00,240.5,1.277,0.572,1.333
2026-03-10 01:10:00,246.1,1,0.591,1
2026-03-10 01:15:00,257.6,0.722,0.511,0.833
2026-03-10 01:20:00,258.2,0.889,0.532,1
2026-03-10 01:25:00,243.9,0.944,0.628,1
2026-03-10 01:30:00,232.2,0.889,0.508,1
2026-03-10 01:35:00,250.8,0.777,0.501,0.833
2026-03-10 01:40:00,240,1,0.483,1
2026-03-10 01:45:00,242,0.944,0.488,1
2026-03-10 01:50:00,250.2,0.833,0.48,0.833
2026-03-10 01:55:00,262.3,0.889,0.589,1
2026-03-10 02:00:00,253.3,1.055,0.624,1.166
2026-03-10 02:05:00,252.8,0.944,0.579,1
2026-03-10 02:10:00,252.4,1,0.673,1
2026-03-10 02:15:00,244.8,1.055,0.686,1.166
2026-03-10 02:20:00,243.2,1.055,0.62,1.166
2026-03-10 02:25:00,254.5,1.222,0.715,1.333
2026-03-10 02:30:00,246,1.055,0.741,1.166
2026-03-10 02:35:00,241,1.111,0.745,1.166
2026-03-10 02:40:00,240.9,1.111,0.676,1.166
2026-03-10 02:45:00,251.4,0.944,0.654,1
2026-03-10 02:50:00,246.6,0.944,0.634,1
2026-03-10 02:55:00,245.7,1.055,0.709,1.166
2026-03-10 03:00:00,254.7,1.388,0.851,1.499
2026-03-10 03:05:00,244.1,1.111,0.735,1.166
2026-03-10 03:10:00,244.2,1.166,0.689,1.166
2026-03-10 03:15:00,238.6,1.166,0.756,1.166
2026-03-10 03:20:00,249,1.277,0.761,1.333
2026-03-10 03:25:00,242.8,1.111,0.72,1.166
2026-03-10 03:30:00,248.9,1.222,0.695,1.333
2026-03-10 03:35:00,250.3,1.166,0.752,1.166
2026-03-10 03:40:00,244.8,1.444,0.813,1.499
2026-03-10 03:45:00,252.1,1.555,0.991,1.666
2026-03-10 03:50:00,253.1,1.722,1.071,1.833
2026-03-10 03:55:00,260.5,1.555,1.08,1.666
2026-03-10 04:00:00,258.9,1.555,1.051,1.666
2026-03-10 04:05:00,250.2,1.444,0.999,1.499
2026-03-10 04:10:00,252.3,1.444,1.068,1.499
2026-03-10 04:15:00,251.7,1.499,1.015,1.499
2026-03-10 04:20:00,253.7,1.388,1.013,1.499
2026-03-10 04:25:00,244.8,1.499,0.985,1.499
2026-03-10 04:30:00,245.8,1.499,0.972,1.499
2026-03-10 04:35:00,249,2.055,1.157,2.166
2026-03-10 04:40:00,254.4,1.999,1.233,2.166
2026-03-10 04:45:00,253.1,1.833,1.229,1.833
2026-03-10 04:50:00,255.2,2.055,1.302,2.166
2026-03-10 04:55:00,253.7,1.666,0.97,1.666
2026-03-10 05:00:00,253.8,1.722,1.123,1.833
2026-03-10 05:05:00,252.4,1.666,1.223,1.666
2026-03-10 05:10:00,252.2,1.777,1.132,1.833
2026-03-10 05:15:00,244.7,1.722,1.116,1.833
2026-03-10 05:20:00,249,2.277,1.231,2.332
2026-03-10 05:25:00,247.9,1.999,1.327,2.166
2026-03-10 05:30:00,244,2.221,1.338,2.332
2026-03-10 05:35:00,247.6,2.11,1.227,2.166
2026-03-10 05:40:00,245,1.833,1.225,1.999
2026-03-10 05:45:00,247.4,1.777,1.193,1.833
2026-03-10 05:50:00,252,2.443,1.423,2.499
2026-03-10 05:55:00,253.9,2.388,1.547,2.499
2026-03-10 06:00:00,247.7,2.832,1.642,2.999
2026-03-10 06:05:00,236.4,2.388,1.289,2.499
2026-03-10 06:10:00,255.5,2.055,1.434,2.166
2026-03-10 06:15:00,251.6,2.221,1.366,2.332
2026-03-10 06:20:00,252.7,2.61,1.487,2.666
2026-03-10 06:25:00,256.9,3.165,1.519,3.665
2026-03-10 06:30:00,257.3,2.555,1.529,2.666
2026-03-10 06:35:00,249.6,2.499,1.454,2.499
2026-03-10 06:40:00,252.2,2.61,1.618,2.832
2026-03-10 06:45:00,252.2,2.666,1.754,2.666
2026-03-10 06:50:00,251,2.777,1.711,2.999
2026-03-10 06:55:00,248.6,2.832,1.595,2.999
2026-03-10 07:00:00,249.5,2.277,1.477,2.332
2026-03-10 07:05:00,250.8,2.388,1.428,2.499
2026-03-10 07:10:00,254.7,2.388,1.476,2.499
2026-03-10 07:15:00,255.4,2.332,1.5,2.499
2026-03-10 07:20:00,250.7,2.499,1.653,2.666
2026-03-10 07:25:00,248.8,2.166,1.312,2.332
2026-03-10 07:30:00,250.2,2.277,1.424,2.332
2026-03-10 07:35:00,249.6,2.166,1.225,2.166
2026-03-10 07:40:00,250.5,1.833,1.102,1.833
2026-03-10 07:45:00,252,2.277,1.428,2.499
2026-03-10 07:50:00,254.5,1.999,1.208,2.166
2026-03-10 07:55:00,259.7,2.11,1.135,2.166
2026-03-10 08:00:00,257,1.944,1.007,1.999
2026-03-10 08:05:00,271.6,2.443,1.481,2.499
2026-03-10 08:10:00,269.7,2.721,1.117,2.999
2026-03-10 08:15:00,268.5,2.499,0.834,2.666
2026-03-10 08:20:00,275.7,2.388,0.949,2.499
2026-03-10 08:25:00,246.4,1.499,0.701,1.666
2026-03-10 08:30:00,210.3,2.166,0.96,2.166
2026-03-10 08:35:00,193.7,1.61,0.358,1.666
2026-03-10 08:40:00,172.2,1.166,0.359,1.166
2026-03-10 08:45:00,95.9,2.277,1.002,2.332
2026-03-10 08:50:00,111,2.11,0.947,2.166
2026-03-10 08:55:00,94.8,1.722,0.915,1.833
2026-03-10 09:00:00,88.9,1.888,0.58,1.999
2026-03-10 09:05:00,128.2,1.055,0.215,1.166
2026-03-10 09:10:00,94.4,1.555,0.59,1.666
2026-03-10 09:15:00,101.9,2.277,0.892,2.499
2026-03-10 09:20:00,99.6,2.277,1.049,2.332
2026-03-10 09:25:00,100,2.221,0.936,2.332
2026-03-10 09:30:00,94.6,2.277,1.249,2.499
2026-03-10 09:35:00,103.6,2.555,0.947,2.832
2026-03-10 09:40:00,102.1,2.555,0.851,2.666
2026-03-10 09:45:00,100.1,1.833,0.844,1.999
2026-03-10 09:50:00,86.9,3.11,1.374,3.332
2026-03-10 09:55:00,98.7,4.776,1.664,4.998
2026-03-10 10:00:00,102,2.666,1.559,2.832
2026-03-10 10:05:00,113.1,2.666,1.18,2.832
2026-03-10 10:10:00,100.3,2.555,1.101,2.666
2026-03-10 10:15:00,123.1,2.721,1.159,2.832
2026-03-10 10:20:00,82.7,3.665,1.694,3.832
2026-03-10 10:25:00,92.9,3.887,1.763,4.165
2026-03-10 10:30:00,119.8,3.11,1.315,3.165
2026-03-10 10:35:00,117.8,2.721,1.331,2.832
2026-03-10 10:40:00,107,3.276,1.465,3.332
2026-03-10 10:45:00,89.2,3.943,1.972,3.998
2026-03-10 10:50:00,91,5.553,2.352,5.664
2026-03-10 10:55:00,94.4,5.664,2.943,5.998
2026-03-10 11:00:00,95.7,4.332,1.976,4.498
2026-03-10 11:05:00,96.3,4.609,1.709,4.998
2026-03-10 11:10:00,88.2,5.22,2.332,5.498
2026-03-10 11:15:00,109.5,4.443,1.521,4.665
2026-03-10 11:20:00,92,4.498,1.97,4.665
2026-03-10 11:25:00,101.5,3.665,1.738,3.998
2026-03-10 11:30:00,115.9,4.665,1.504,4.831
2026-03-10 11:35:00,105.6,2.61,0.836,2.666
2026-03-10 11:40:00,89.5,5.998,2.274,6.164
2026-03-10 11:45:00,97.4,3.721,1.844,3.832
2026-03-10 11:50:00,110.6,3.221,1.314,3.499
2026-03-10 11:55:00,109,3.332,1.608,3.332
2026-03-10 12:00:00,101,4.776,1.845,4.998
2026-03-10 12:05:00,82.8,5.831,2.895,6.164
2026-03-10 12:10:00,94.4,4.054,1.882,4.498
2026-03-10 12:15:00,108.9,3.499,1.454,3.665
2026-03-10 12:20:00,92,4.776,1.396,4.998
2026-03-10 12:25:00,101.7,2.388,1.288,2.499
2026-03-10 12:30:00,102.8,3.721,1.472,3.998
2026-03-10 12:35:00,108.5,3.665,1.61,3.832
