timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,150,3.443,2.753,3.499
2026-03-10 00:05:00,162.7,3.276,2.616,3.332
2026-03-10 00:10:00,161.4,2.332,1.284,2.332
2026-03-10 00:15:00,175.1,2.221,1.278,2.332
2026-03-10 00:20:00,166.2,2.555,1.985,2.666
2026-03-10 00:25:00,152.6,2.832,2.435,2.832
2026-03-10 00:30:00,144.9,3.165,2.411,3.165
2026-03-10 00:35:00,135.3,3.887,3.433,3.998
2026-03-10 00:40:00,133.5,4.165,3.518,4.165
2026-03-10 00:45:00,130.3,4.165,3.694,4.332
2026-03-10 00:50:00,128.5,3.998,3.612,3.998
2026-03-10 00:55:00,125.6,3.665,3.315,3.832
2026-03-10 01:00:00,121.7,3.554,3.084,3.665
2026-03-10 01:05:00,125.1,3.276,2.857,3.332
2026-03-10 01:10:00,120.2,3.332,2.636,3.332
2026-03-10 01:15:00,117,3.221,2.548,3.332
2026-03-10 01:20:00,116.7,3.443,2.958,3.665
2026-03-10 01:25:00,111.6,3.665,2.982,3.665
2026-03-10 01:30:00,110.1,3.165,2.486,3.332
2026-03-10 01:35:00,124.5,2.999,2.423,2.999
2026-03-10 01:40:00,124.3,3.165,2.542,3.165
2026-03-10 01:45:00,123.3,3.332,2.637,3.332
2026-03-10 01:50:00,126.8,3.388,2.889,3.499
2026-03-10 01:55:00,130.2,3.721,3.096,3.832
2026-03-10 02:00:00,154.2,3.054,2.629,3.165
2026-03-10 02:05:00,139.7,3.499,2.735,3.499
2026-03-10 02:10:00,128.9,3.776,3.367,3.832
2026-03-10 02:15:00,128.3,4.165,3.686,4.332
2026-03-10 02:20:00,129,4.665,4.065,4.665
2026-03-10 02:25:00,132,4.498,3.967,4.498
2026-03-10 02:30:00,134.2,3.665,3.302,3.665
2026-03-10 02:35:00,130.8,3.832,3.236,3.832
2026-03-10 02:40:00,134.7,3.332,2.919,3.332
2026-03-10 02:45:00,140.5,3.276,2.699,3.332
2026-03-10 02:50:00,144.3,3.054,2.188,3.165
2026-03-10 02:55:00,128.9,3.554,2.865,3.665
2026-03-10 03:00:00,124.2,4.165,3.717,4.332
2026-03-10 03:05:00,126.7,4.276,3.979,4.332
2026-03-10 03:10:00,134.3,3.887,3.322,3.832
2026-03-10 03:15:00,144.6,3.276,2.791,3.332
2026-03-10 03:20:00,121.2,3.165,2.627,3.165
2026-03-10 03:25:00,122.2,3.443,2.953,3.499
2026-03-10 03:30:00,125.5,3.443,3.024,3.499
2026-03-10 03:35:00,126.9,3.499,3.068,3.499
2026-03-10 03:40:00,120.7,3.443,3.049,3.499
2026-03-10 03:45:00,121.2,3.221,2.839,3.165
2026-03-10 03:50:00,125.3,3.887,3.293,3.998
2026-03-10 03:55:00,123.8,4.221,3.795,4.332
2026-03-10 04:00:00,126.4,4.498,4.236,4.665
2026-03-10 04:05:00,124.1,4.498,4.038,4.665
2026-03-10 04:10:00,124.5,4.221,3.785,4.332
2026-03-10 04:15:00,127.5,3.943,3.525,3.998
