timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,308,2.943,1.855,2.999
2026-03-10 00:05:00,323.6,2.888,1.819,2.999
2026-03-10 00:10:00,305.8,2.61,1.826,2.666
2026-03-10 00:15:00,307.4,2.721,1.789,2.832
2026-03-10 00:20:00,306.6,2.777,2.082,2.832
2026-03-10 00:25:00,306.5,3.388,2.531,3.499
2026-03-10 00:30:00,296.5,3.443,2.607,3.499
2026-03-10 00:35:00,301.8,3.887,2.403,3.998
2026-03-10 00:40:00,322.5,3.776,2.594,3.832
2026-03-10 00:45:00,330.8,3.61,2.481,3.832
2026-03-10 00:50:00,306.8,4.221,2.813,4.332
2026-03-10 00:55:00,305.6,3.499,2.466,3.665
2026-03-10 01:00:00,300.7,3.276,2.266,3.332
2026-03-10 01:05:00,315.4,2.943,2.072,3.165
2026-03-10 01:10:00,304,2.943,2.237,2.999
2026-03-10 01:15:00,310.8,3.61,2.639,3.665
2026-03-10 01:20:00,303.7,3.165,2.125,3.165
2026-03-10 01:25:00,307,3.11,2.22,3.165
2026-03-10 01:30:00,304.6,3.276,2.458,3.332
2026-03-10 01:35:00,305.1,3.276,2.514,3.332
2026-03-10 01:40:00,302.6,2.832,2.337,2.832
2026-03-10 01:45:00,307.3,3.499,2.558,3.499
2026-03-10 01:50:00,316.4,2.943,2.142,2.999
2026-03-10 01:55:00,316.8,3.054,2.47,3.165
2026-03-10 02:00:00,316,2.999,2.267,3.165
2026-03-10 02:05:00,309.2,3.943,2.713,3.998
2026-03-10 02:10:00,307.4,3.221,2.415,3.332
2026-03-10 02:15:00,306.2,2.999,1.966,3.165
2026-03-10 02:20:00,299.9,2.332,1.577,2.332
2026-03-10 02:25:00,309.2,2.277,1.762,2.332
2026-03-10 02:30:00,302.1,2.943,1.998,2.999
2026-03-10 02:35:00,303.3,3.332,2.137,3.332
2026-03-10 02:40:00,309,2.721,1.814,2.832
2026-03-10 02:45:00,323.2,2.443,1.98,2.499
2026-03-10 02:50:00,320.1,3.499,2.451,3.665
2026-03-10 02:55:00,317.9,3.388,2.029,3.499
2026-03-10 03:00:00,308.3,2.777,2.272,2.832
2026-03-10 03:05:00,311.2,3.443,2.373,3.499
2026-03-10 03:10:00,311.7,2.832,2.241,2.999
2026-03-10 03:15:00,310.2,2.888,2.331,2.999
2026-03-10 03:20:00,305.4,2.999,2.466,2.999
2026-03-10 03:25:00,305,3.221,2.475,3.332
2026-03-10 03:30:00,304,3.499,2.675,3.499
2026-03-10 03:35:00,305.7,3.887,2.969,3.998
2026-03-10 03:40:00,304.9,3.554,2.705,3.665
2026-03-10 03:45:00,308,3.499,2.647,3.665
2026-03-10 03:50:00,311.9,4.165,2.831,4.332
2026-03-10 03:55:00,313.4,3.943,2.971,4.165
2026-03-10 04:00:00,319.2,3.998,2.953,4.165
2026-03-10 04:05:00,315.5,3.887,2.696,3.998
2026-03-10 04:10:00,300.7,4.72,3.1,4.831
2026-03-10 04:15:00,304.4,4.387,3.088,4.498
2026-03-10 04:20:00,309.6,4.054,2.661,3.998
2026-03-10 04:25:00,314,4.109,2.635,4.332
2026-03-10 04:30:00,293.5,5.109,3.117,5.331
2026-03-10 04:35:00,302.6,4.387,2.955,4.665
2026-03-10 04:40:00,303.9,3.276,2.401,3.499
2026-03-10 04:45:00,306.1,4.387,2.915,4.498
2026-03-10 04:50:00,301.6,4.609,2.661,4.665
2026-03-10 04:55:00,300.3,3.61,2.632,3.665
2026-03-10 05:00:00,308.1,2.721,2.04,2.832
2026-03-10 05:05:00,299.7,2.499,1.929,2.499
2026-03-10 05:10:00,293.7,2.832,2.021,2.999
2026-03-10 05:15:00,303.1,3.499,2.342,3.665
2026-03-10 05:20:00,308.2,3.276,2.223,3.332
