timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,116.3,2.11,1.442,2.166
2026-03-10 00:05:00,124.3,1.722,0.887,1.833
2026-03-10 00:10:00,148.6,5.609,2.622,5.998
2026-03-10 00:15:00,148,5.387,2.61,5.498
2026-03-10 00:20:00,116.9,5.72,1.363,5.831
2026-03-10 00:25:00,135.7,5.498,2.161,5.664
2026-03-10 00:30:00,131,5.387,3.326,5.664
2026-03-10 00:35:00,130.6,6.109,3.201,6.164
2026-03-10 00:40:00,120.4,3.776,1.519,3.832
2026-03-10 00:45:00,121.3,3.998,2.691,4.165
2026-03-10 00:50:00,108.5,3.054,1.858,3.165
2026-03-10 00:55:00,92.6,2.11,1.434,2.166
2026-03-10 01:00:00,107.9,2.943,1.994,2.999
2026-03-10 01:05:00,95.8,1.722,0.97,1.833
2026-03-10 01:10:00,93.5,1.444,0.766,1.499
2026-03-10 01:15:00,70.48,2.221,1.012,2.332
2026-03-10 01:20:00,138.6,2.055,1.122,2.166
2026-03-10 01:25:00,147.6,1.222,0.415,1.333
2026-03-10 01:30:00,113.6,2.443,1.442,2.499
2026-03-10 01:35:00,133.7,3.11,1.989,3.165
2026-03-10 01:40:00,134.1,3.054,1.507,3.165
2026-03-10 01:45:00,84.2,2.11,0.729,2.166
2026-03-10 01:50:00,75.74,3.054,1.686,3.165
2026-03-10 01:55:00,64.91,3.11,1.805,3.165
2026-03-10 02:00:00,55.33,2.499,1.185,2.499
2026-03-10 02:05:00,81.9,1.333,0.669,1.499
2026-03-10 02:10:00,96,2.332,1.332,2.332
2026-03-10 02:15:00,63.29,1.111,0.711,1.166
2026-03-10 02:20:00,77.14,1.833,1.238,1.833
2026-03-10 02:25:00,65.84,2.277,1.69,2.332
2026-03-10 02:30:00,53.58,2.332,1.613,2.499
2026-03-10 02:35:00,44.01,1.833,1.063,1.833
2026-03-10 02:40:00,65.1,2.332,1.484,2.332
