timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,60.62,2.11,1.553,2.166
2026-03-10 00:05:00,59.2,2.166,1.6,2.166
2026-03-10 00:10:00,62.65,2.221,1.617,2.332
2026-03-10 00:15:00,61.7,2.11,1.553,2.166
2026-03-10 00:20:00,60.73,2.055,1.525,2.166
2026-03-10 00:25:00,59.06,2.166,1.478,2.166
2026-03-10 00:30:00,58.45,2.055,1.492,2.166
2026-03-10 00:35:00,60.3,2.055,1.514,2.166
2026-03-10 00:40:00,62,2.11,1.566,2.166
2026-03-10 00:45:00,58.78,2.055,1.439,2.166
2026-03-10 00:50:00,59.94,1.944,1.365,1.999
2026-03-10 00:55:00,57.42,2.11,1.474,2.332
2026-03-10 01:00:00,63.35,2.166,1.588,2.166
2026-03-10 01:05:00,63.26,2.11,1.562,2.166
2026-03-10 01:10:00,63.41,2.055,1.642,2.166
2026-03-10 01:15:00,63.29,2.166,1.586,2.166
2026-03-10 01:20:00,60.48,2.055,1.436,2.166
2026-03-10 01:25:00,63.17,1.944,1.541,1.999
2026-03-10 01:30:00,61.58,2.055,1.578,2.166
2026-03-10 01:35:00,56.9,1.888,1.287,1.999
2026-03-10 01:40:00,54.59,2.332,1.634,2.332
2026-03-10 01:45:00,59.28,1.833,1.295,1.999
2026-03-10 01:50:00,63.16,1.888,1.319,1.999
2026-03-10 01:55:00,61.12,2.055,1.53,2.166
2026-03-10 02:00:00,63.71,1.999,1.639,2.166
2026-03-10 02:05:00,59.99,2.11,1.553,2.166
2026-03-10 02:10:00,56.71,1.999,1.424,1.999
2026-03-10 02:15:00,56.26,1.999,1.298,1.999
2026-03-10 02:20:00,55.05,2.055,1.651,2.166
2026-03-10 02:25:00,55.87,1.833,1.243,1.833
2026-03-10 02:30:00,54.96,1.777,1.027,1.833
2026-03-10 02:35:00,59.99,1.777,1.183,1.833
2026-03-10 02:40:00,57.76,1.999,1.667,1.999
2026-03-10 02:45:00,59.22,2.055,1.599,2.166
2026-03-10 02:50:00,60.62,1.888,1.56,1.999
2026-03-10 02:55:00,61.23,2.11,1.624,2.166
2026-03-10 03:00:00,62.74,1.999,1.603,1.999
2026-03-10 03:05:00,63.42,2.11,1.642,2.166
2026-03-10 03:10:00,60.52,1.833,1.203,1.833
2026-03-10 03:15:00,54.34,2.11,1.369,2.166
2026-03-10 03:20:00,56.61,1.999,1.533,1.999
2026-03-10 03:25:00,61.84,2.388,1.698,2.499
2026-03-10 03:30:00,60.87,2.499,1.715,2.499
2026-03-10 03:35:00,57.75,2.055,1.518,2.166
2026-03-10 03:40:00,56.77,2.277,1.524,2.332
2026-03-10 03:45:00,60.22,2.166,1.468,2.166
2026-03-10 03:50:00,57.94,1.888,1.463,1.999
2026-03-10 03:55:00,57.82,2.055,1.478,2.166
2026-03-10 04:00:00,55.72,2.11,1.467,2.166
2026-03-10 04:05:00,54.5,1.888,1.443,1.999
2026-03-10 04:10:00,56.84,2.055,1.424,2.166
2026-03-10 04:15:00,56.66,1.944,1.493,1.999
