timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,52.39,3.165,2.674,3.332
2026-03-10 00:05:00,51.28,2.888,2.329,2.999
2026-03-10 00:10:00,52.37,2.666,2.191,2.666
2026-03-10 00:15:00,50.65,2.943,2.362,2.999
2026-03-10 00:20:00,51.05,2.832,2.294,2.999
2026-03-10 00:25:00,49.98,2.999,2.468,2.999
2026-03-10 00:30:00,49.45,2.943,2.508,2.999
2026-03-10 00:35:00,49.76,3.11,2.399,3.165
2026-03-10 00:40:00,53.4,3.11,2.558,3.165
2026-03-10 00:45:00,54.18,3.499,2.947,3.499
2026-03-10 00:50:00,47.26,3.054,2.386,3.165
2026-03-10 00:55:00,47.51,2.61,2.069,2.666
2026-03-10 01:00:00,44.4,2.888,2.25,2.999
2026-03-10 01:05:00,45.34,2.999,2.272,2.999
2026-03-10 01:10:00,48.5,3.388,2.496,3.499
2026-03-10 01:15:00,47.94,2.943,2.243,3.165
2026-03-10 01:20:00,52,3.332,2.676,3.499
2026-03-10 01:25:00,53.47,3.332,2.582,3.332
2026-03-10 01:30:00,51.13,3.221,2.548,3.332
2026-03-10 01:35:00,49.65,3.221,2.432,3.332
2026-03-10 01:40:00,48.21,2.721,2.343,2.999
2026-03-10 01:45:00,50.02,3.165,2.577,3.332
2026-03-10 01:50:00,48.62,2.999,2.133,3.165
2026-03-10 01:55:00,47.45,3.165,2.186,3.332
2026-03-10 02:00:00,49.95,3.332,2.767,3.499
2026-03-10 02:05:00,48.5,3.388,2.756,3.499
2026-03-10 02:10:00,49.75,3.165,2.587,3.165
2026-03-10 02:15:00,54.47,3.388,2.696,3.499
2026-03-10 02:20:00,57.25,3.998,3.293,4.165
2026-03-10 02:25:00,51.82,3.332,2.59,3.332
2026-03-10 02:30:00,57.07,3.11,2.501,3.165
2026-03-10 02:35:00,52.92,3.721,2.81,3.832
2026-03-10 02:40:00,55.29,3.665,2.92,3.665
2026-03-10 02:45:00,48.34,3.554,2.665,3.665
2026-03-10 02:50:00,53.55,3.499,2.826,3.665
2026-03-10 02:55:00,51.73,3.443,2.866,3.499
2026-03-10 03:00:00,52.04,3.721,2.813,3.832
2026-03-10 03:05:00,56.92,3.388,3.073,3.499
2026-03-10 03:10:00,56.46,3.499,3.041,3.499
2026-03-10 03:15:00,47.02,3.554,2.359,3.665
2026-03-10 03:20:00,43.02,3.11,2.147,3.165
2026-03-10 03:25:00,46.82,3.443,2.483,3.499
2026-03-10 03:30:00,47.35,3.054,2.4,3.165
2026-03-10 03:35:00,52.32,3.332,2.701,3.499
2026-03-10 03:40:00,49.29,3.165,2.517,3.332
2026-03-10 03:45:00,46.42,2.888,2.197,2.999
2026-03-10 03:50:00,48.79,3.332,2.703,3.499
2026-03-10 03:55:00,49.56,3.054,2.602,3.165
2026-03-10 04:00:00,52.66,3.776,3.035,3.998
2026-03-10 04:05:00,48.72,3.332,2.405,3.332
2026-03-10 04:10:00,49.93,3.721,2.686,3.832
2026-03-10 04:15:00,53.24,3.832,3.053,3.998
2026-03-10 04:20:00,52.57,3.721,3.037,3.832
2026-03-10 04:25:00,50.19,3.165,2.692,3.165
2026-03-10 04:30:00,47.02,3.054,2.461,3.165
2026-03-10 04:35:00,52.42,3.832,3.069,3.998
2026-03-10 04:40:00,49.74,3.499,2.777,3.665
2026-03-10 04:45:00,51.24,4.054,3.028,4.332
2026-03-10 04:50:00,48.85,3.665,2.905,3.665
2026-03-10 04:55:00,49.62,3.388,2.865,3.665
2026-03-10 05:00:00,50.21,3.665,3.06,3.832
2026-03-10 05:05:00,48.62,3.11,2.535,3.332
2026-03-10 05:10:00,51.12,3.443,2.796,3.499
2026-03-10 05:15:00,48.76,3.665,2.862,3.832
2026-03-10 05:20:00,51.21,3.721,2.986,3.832
2026-03-10 05:25:00,51.68,4.221,3.196,4.332
2026-03-10 05:30:00,51.34,3.776,3.183,3.998
2026-03-10 05:35:00,50.82,4.054,3.24,4.165
2026-03-10 05:40:00,52.57,4.332,3.57,4.498
2026-03-10 05:45:00,50.39,4.109,3.249,4.332
2026-03-10 05:50:00,48.49,3.887,3.26,3.998
2026-03-10 05:55:00,50.62,3.943,3.262,4.165
2026-03-10 06:00:00,50.33,3.887,3.055,4.165
2026-03-10 06:05:00,51.91,3.554,3.045,3.665
2026-03-10 06:10:00,52.43,3.776,3.215,3.832
2026-03-10 06:15:00,55.55,4.109,3.441,4.165
2026-03-10 06:20:00,45.57,3.499,2.595,3.665
2026-03-10 06:25:00,48.72,3.721,2.789,3.832
2026-03-10 06:30:00,49.6,3.832,3.058,3.998
2026-03-10 06:35:00,46.94,3.388,2.919,3.499
2026-03-10 06:40:00,47.87,3.221,2.772,3.332
2026-03-10 06:45:00,44.38,3.665,2.898,3.832
2026-03-10 06:50:00,46.69,3.276,2.631,3.499
2026-03-10 06:55:00,47.52,3.388,2.722,3.499
2026-03-10 07:00:00,50.13,3.887,2.872,3.998
2026-03-10 07:05:00,49.32,3.165,2.477,3.165
2026-03-10 07:10:00,43.05,2.499,1.853,2.499
2026-03-10 07:15:00,81.2,2.555,1.699,2.666
2026-03-10 07:20:00,46.12,2.777,2.162,2.832
2026-03-10 07:25:00,52.62,3.221,2.334,3.332
2026-03-10 07:30:00,46.31,2.666,1.815,2.832
2026-03-10 07:35:00,47.15,2.943,1.759,2.999
2026-03-10 07:40:00,50.68,1.944,1.358,1.999
2026-03-10 07:45:00,50.57,2.443,1.904,2.499
2026-03-10 07:50:00,47.95,3.054,1.965,3.165
2026-03-10 07:55:00,46.93,2.832,1.783,2.832
2026-03-10 08:00:00,47.63,2.666,1.62,2.832
2026-03-10 08:05:00,44.25,1.999,1.308,1.999
2026-03-10 08:10:00,54.58,0.777,0.258,0.833
2026-03-10 08:15:00,269.7,1.166,0.163,1.166
2026-03-10 08:20:00,332.8,0.833,0.082,0.833
2026-03-10 08:25:00,289.2,1.777,0.537,1.833
2026-03-10 08:30:00,303.1,0.833,0.227,0.833
2026-03-10 08:35:00,295.1,1.277,0.183,1.333
2026-03-10 08:40:00,280.4,1.111,0.329,1.166
2026-03-10 08:45:00,146.1,1.388,0.345,1.499
2026-03-10 08:50:00,241.3,2.055,0.727,2.166
2026-03-10 08:55:00,219.5,2.721,1.467,2.832
2026-03-10 09:00:00,211.4,3.165,1.921,3.165
2026-03-10 09:05:00,229.6,3.499,1.818,3.499
2026-03-10 09:10:00,222.1,3.721,2.389,3.832
2026-03-10 09:15:00,191.6,2.555,1.66,2.666
2026-03-10 09:20:00,199.8,2.666,1.707,2.832
2026-03-10 09:25:00,207.9,3.388,1.534,3.499
2026-03-10 09:30:00,153.6,1.666,0.906,1.833
2026-03-10 09:35:00,110.8,1.61,0.357,1.666
2026-03-10 09:40:00,256,1.722,0.781,1.833
2026-03-10 09:45:00,218.7,3.332,1.542,3.499
2026-03-10 09:50:00,223.2,4.109,2.629,4.165
2026-03-10 09:55:00,231.3,2.721,1.69,2.832
2026-03-10 10:00:00,236.9,4.221,1.66,4.332
2026-03-10 10:05:00,243.5,4.165,1.976,4.332
2026-03-10 10:10:00,221.9,4.276,2.381,4.332
2026-03-10 10:15:00,233.5,3.332,1.767,3.499
2026-03-10 10:20:00,243.2,4.332,2.1,4.498
2026-03-10 10:25:00,224.1,3.776,1.404,3.998
2026-03-10 10:30:00,218.5,3.499,2.018,3.665
2026-03-10 10:35:00,241.2,4.776,2.289,4.998
2026-03-10 10:40:00,232.9,4.776,1.95,4.998
2026-03-10 10:45:00,254.5,4.443,1.494,4.498
2026-03-10 10:50:00,220.8,4.665,2.963,4.831
2026-03-10 10:55:00,212.9,4.221,2.272,4.332
2026-03-10 11:00:00,216.3,4.221,3.05,4.332
2026-03-10 11:05:00,225,5.165,2.718,5.165
2026-03-10 11:10:00,229.3,5.998,3.715,6.164
2026-03-10 11:15:00,232.4,4.887,2.224,4.831
2026-03-10 11:20:00,224.4,4.609,2.756,4.831
2026-03-10 11:25:00,229.9,3.887,2.422,3.998
2026-03-10 11:30:00,246.1,3.443,2.071,3.499
2026-03-10 11:35:00,223.4,3.388,1.614,3.499
2026-03-10 11:40:00,211.6,3.721,1.748,3.832
2026-03-10 11:45:00,206.6,4.498,2.488,4.498
2026-03-10 11:50:00,201.4,5.054,2.176,5.498
2026-03-10 11:55:00,194.4,5.276,2.994,5.664
2026-03-10 12:00:00,206.9,5.942,2.855,6.164
2026-03-10 12:05:00,215.5,6.275,3.704,6.831
2026-03-10 12:10:00,210.9,6.72,3.464,6.831
2026-03-10 12:15:00,221.7,6.886,3.194,7.164
2026-03-10 12:20:00,216.1,7.941,4.545,7.997
2026-03-10 12:25:00,223.8,6.164,2.724,6.331
2026-03-10 12:30:00,209.3,6.664,3.542,6.831
2026-03-10 12:35:00,243.7,6.053,3.627,6.331
2026-03-10 12:40:00,234.4,6.331,2.986,6.664
2026-03-10 12:45:00,253.5,5.887,2.155,5.998
2026-03-10 12:50:00,218.1,5.109,2.71,5.165
2026-03-10 12:55:00,197.7,5.387,3.234,5.831
2026-03-10 13:00:00,202.3,5.942,2.406,6.164
2026-03-10 13:05:00,213.4,2.943,1.24,2.999
2026-03-10 13:10:00,234.8,4.776,1.853,4.998
2026-03-10 13:15:00,219.4,5.887,3.066,5.998
2026-03-10 13:20:00,207.8,6.553,2.497,6.664
2026-03-10 13:25:00,254.5,6.442,3.333,6.831
2026-03-10 13:30:00,219.8,7.33,3.721,7.664
2026-03-10 13:35:00,184.6,4.776,2.216,5.331
2026-03-10 13:40:00,231.5,6.886,3.64,6.997
2026-03-10 13:45:00,243.5,6.608,2.761,6.664
2026-03-10 13:50:00,217.9,6.608,3.509,6.831
2026-03-10 13:55:00,216.8,6.886,4.116,6.997
2026-03-10 14:00:00,227.1,6.22,4.137,6.497
2026-03-10 14:05:00,236,6.886,4.113,6.997
2026-03-10 14:10:00,231.4,7.608,4.326,7.664
2026-03-10 14:15:00,226.7,7.33,3.806,7.664
2026-03-10 14:20:00,229.5,6.664,3.129,6.831
2026-03-10 14:25:00,239.2,4.332,2.271,4.332
2026-03-10 14:30:00,221.9,5.498,3.236,5.664
2026-03-10 14:35:00,243.7,5.109,2.155,5.165
2026-03-10 14:40:00,231.6,6.053,3.543,6.164
2026-03-10 14:45:00,212.6,5.165,2.856,5.331
2026-03-10 14:50:00,209.1,5.831,3.328,6.164
2026-03-10 14:55:00,224.1,7.108,3.574,7.33
2026-03-10 15:00:00,209.6,6.886,3.843,7.164
2026-03-10 15:05:00,221.8,5.831,2.56,5.998
2026-03-10 15:10:00,216.2,4.998,3.01,5.331
2026-03-10 15:15:00,212.6,5.831,3.537,6.164
2026-03-10 15:20:00,215.9,5.442,2.646,5.498
2026-03-10 15:25:00,202.9,8.5,3.227,8.5
2026-03-10 15:30:00,196.3,5.664,3.092,5.998
2026-03-10 15:35:00,196.9,6.886,2.97,7.33
2026-03-10 15:40:00,220.1,6.331,3.773,6.497
2026-03-10 15:45:00,216.1,6.775,3.068,7.33
2026-03-10 15:50:00,206.9,5.942,3.08,6.164
2026-03-10 15:55:00,200.1,6.331,3.035,6.664
2026-03-10 16:00:00,187.8,4.443,1.838,4.665
2026-03-10 16:05:00,197.9,6.664,2.569,6.831
2026-03-10 16:10:00,190.5,5.553,2.249,5.664
