timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,215.2,1.999,1.226,1.999
2026-03-10 00:05:00,213.4,2.221,1.348,2.499
2026-03-10 00:10:00,213.9,2.166,1.373,2.332
2026-03-10 00:15:00,219.7,2.499,1.543,2.499
2026-03-10 00:20:00,214.5,2.388,1.391,2.499
2026-03-10 00:25:00,207.6,1.944,1.103,1.999
2026-03-10 00:30:00,196.4,1.555,1.033,1.666
2026-03-10 00:35:00,193,2.055,1.158,2.166
2026-03-10 00:40:00,212.8,2.11,1.137,2.166
2026-03-10 00:45:00,227.7,2.388,1.115,2.499
2026-03-10 00:50:00,221,2.555,1.449,2.666
2026-03-10 00:55:00,222.1,2.777,1.641,2.999
2026-03-10 01:00:00,228.1,2.666,1.474,2.832
2026-03-10 01:05:00,225.6,2.666,1.475,2.666
2026-03-10 01:10:00,226.3,2.721,1.473,2.832
2026-03-10 01:15:00,227.8,2.443,1.308,2.499
2026-03-10 01:20:00,224.4,2.666,1.566,2.832
2026-03-10 01:25:00,229.9,3.054,1.61,3.165
2026-03-10 01:30:00,228.8,2.221,1.449,2.332
2026-03-10 01:35:00,232.8,2.166,1.345,2.332
2026-03-10 01:40:00,232.6,2.777,1.529,2.999
2026-03-10 01:45:00,240.5,2.721,1.553,2.832
2026-03-10 01:50:00,235,3.165,1.949,3.499
2026-03-10 01:55:00,229.3,3.943,2.1,4.165
2026-03-10 02:00:00,227,3.665,1.953,3.665
2026-03-10 02:05:00,227.5,3.499,1.757,3.665
2026-03-10 02:10:00,228.8,3.61,1.791,3.832
2026-03-10 02:15:00,224.8,3.165,1.532,3.165
2026-03-10 02:20:00,229.5,2.777,1.585,2.832
2026-03-10 02:25:00,239.3,2.221,1.233,2.332
2026-03-10 02:30:00,251.8,2.388,1.215,2.499
2026-03-10 02:35:00,265.3,1.555,0.91,1.666
2026-03-10 02:40:00,297.4,1.055,0.471,1.166
2026-03-10 02:45:00,294.8,0.666,0.101,0.666
2026-03-10 02:50:00,338.4,0.833,0.107,0.833
2026-03-10 02:55:00,203.1,1.61,0.305,1.666
2026-03-10 03:00:00,186.3,1.166,0.281,1.166
2026-03-10 03:05:00,195.1,2.11,0.664,2.166
2026-03-10 03:10:00,191.1,1.777,1.246,1.833
2026-03-10 03:15:00,204.9,2.61,1.602,2.666
2026-03-10 03:20:00,219.1,2.388,1.617,2.499
2026-03-10 03:25:00,249.6,2.499,1.482,2.499
2026-03-10 03:30:00,246.8,2.999,1.549,3.332
2026-03-10 03:35:00,246.9,3.665,1.559,4.165
2026-03-10 03:40:00,247.5,2.555,1.477,2.666
2026-03-10 03:45:00,237.6,2.388,1.321,2.499
2026-03-10 03:50:00,231.3,2.61,1.278,2.832
2026-03-10 03:55:00,237.4,1.722,0.837,1.833
2026-03-10 04:00:00,259.3,1.222,0.76,1.333
2026-03-10 04:05:00,249.3,1.722,0.961,1.833
2026-03-10 04:10:00,235.7,1.888,1.185,1.999
2026-03-10 04:15:00,228.7,2.499,1.521,2.666
2026-03-10 04:20:00,222.4,2.999,1.901,3.165
2026-03-10 04:25:00,220.9,2.888,1.927,3.165
2026-03-10 04:30:00,218.9,3.887,1.913,3.998
2026-03-10 04:35:00,220.6,2.777,1.648,2.832
2026-03-10 04:40:00,225.8,2.666,1.72,2.832
2026-03-10 04:45:00,227.6,2.721,1.533,2.832
2026-03-10 04:50:00,228.3,3.499,1.613,3.499
2026-03-10 04:55:00,231.2,2.832,1.53,2.999
2026-03-10 05:00:00,226.2,2.888,1.836,2.999
2026-03-10 05:05:00,229.4,2.943,1.454,2.999
2026-03-10 05:10:00,227.8,3.332,1.866,3.665
2026-03-10 05:15:00,217.8,3.388,1.891,3.665
2026-03-10 05:20:00,218.1,4.221,2.174,4.332
2026-03-10 05:25:00,211.5,3.832,2.001,4.332
2026-03-10 05:30:00,217.6,3.443,2.038,3.665
2026-03-10 05:35:00,207,3.554,2.255,3.665
2026-03-10 05:40:00,215.2,3.276,2.005,3.499
2026-03-10 05:45:00,216.6,3.61,1.954,3.665
2026-03-10 05:50:00,223.1,3.61,2.01,3.832
2026-03-10 05:55:00,227.7,3.554,2.175,3.665
2026-03-10 06:00:00,229.2,3.721,2.096,3.998
2026-03-10 06:05:00,230.7,3.165,1.727,3.332
2026-03-10 06:10:00,215,3.276,1.956,3.332
2026-03-10 06:15:00,217.1,3.61,1.848,3.665
2026-03-10 06:20:00,201.2,3.221,1.77,3.332
2026-03-10 06:25:00,192.6,3.388,1.754,3.499
2026-03-10 06:30:00,186.1,3.221,1.693,3.332
2026-03-10 06:35:00,195.6,3.11,1.743,3.165
2026-03-10 06:40:00,197.2,2.61,1.801,2.832
2026-03-10 06:45:00,195.8,3.165,1.624,3.332
2026-03-10 06:50:00,180.6,2.443,1.577,2.499
2026-03-10 06:55:00,184.5,1.944,1.338,1.999
2026-03-10 07:00:00,187.9,1.999,1.384,2.166
2026-03-10 07:05:00,175,1.888,1.085,1.999
2026-03-10 07:10:00,186.6,1.833,1.339,1.833
2026-03-10 07:15:00,188.4,1.722,1.249,1.833
2026-03-10 07:20:00,182.6,1.666,1.252,1.666
2026-03-10 07:25:00,183.2,1.555,0.95,1.499
2026-03-10 07:30:00,182.3,1.388,0.854,1.499
2026-03-10 07:35:00,222.6,1.277,0.483,1.333
2026-03-10 07:40:00,200.7,0.666,0.335,0.666
2026-03-10 07:45:00,226.9,1,0.376,1
2026-03-10 07:50:00,197.9,1.166,0.621,1.166
2026-03-10 07:55:00,152.8,0.555,0.179,0.666
2026-03-10 08:00:00,216,0.889,0.062,1
2026-03-10 08:05:00,22.15,2.166,0.931,2.166
2026-03-10 08:10:00,20.64,1.555,0.651,1.666
2026-03-10 08:15:00,10.32,1.944,0.854,1.999
2026-03-10 08:20:00,132.1,1.166,0.405,1.166
2026-03-10 08:25:00,35.19,1.666,0.48,1.666
2026-03-10 08:30:00,46.09,1.388,0.28,1.499
2026-03-10 08:35:00,130.4,0.944,0.219,1
