timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,121.1,1.222,0.551,1.333
2026-03-10 00:05:00,78.63,1.166,0.732,1.166
2026-03-10 00:10:00,67.62,1,0.773,1
2026-03-10 00:15:00,66.69,0.889,0.643,1
2026-03-10 00:20:00,88.5,1.444,0.801,1.666
2026-03-10 00:25:00,104.1,0.833,0.584,0.833
2026-03-10 00:30:00,99.8,0.777,0.506,0.833
2026-03-10 00:35:00,107.6,0.555,0.064,0.666
2026-03-10 00:40:00,84.4,1.166,0.802,1.166
2026-03-10 00:45:00,101.4,0.777,0.497,0.833
2026-03-10 00:50:00,74.68,0.722,0.403,0.833
2026-03-10 00:55:00,78.68,0.944,0.756,1
2026-03-10 01:00:00,96.9,0.833,0.615,0.833
2026-03-10 01:05:00,112,1.222,0.662,1.333
2026-03-10 01:10:00,117.9,1.388,0.581,1.499
2026-03-10 01:15:00,91.1,1.499,0.891,1.499
2026-03-10 01:20:00,79.76,1.388,1.075,1.499
2026-03-10 01:25:00,83.5,1.555,1.177,1.666
2026-03-10 01:30:00,77.77,1.388,0.963,1.499
2026-03-10 01:35:00,86.8,0.944,0.717,1
2026-03-10 01:40:00,86.9,1.388,1.015,1.499
2026-03-10 01:45:00,78.57,1,0.822,1
2026-03-10 01:50:00,74.43,1.277,0.957,1.333
2026-03-10 01:55:00,57.28,1,0.756,1
2026-03-10 02:00:00,64.25,1.055,0.891,1.166
2026-03-10 02:05:00,75.58,1,0.71,1
2026-03-10 02:10:00,85.8,0.833,0.536,0.833
2026-03-10 02:15:00,96.4,0.777,0.561,0.833
2026-03-10 02:20:00,96.4,0.5,0.38,0.5
2026-03-10 02:25:00,121.9,0.611,0.143,0.666
2026-03-10 02:30:00,102.3,1.166,0.629,1.166
2026-03-10 02:35:00,92.8,1.166,0.784,1.166
2026-03-10 02:40:00,93.6,0.889,0.583,1
2026-03-10 02:45:00,84.6,1.222,0.703,1.333
2026-03-10 02:50:00,86.5,1.166,0.814,1.166
2026-03-10 02:55:00,80,1.222,0.907,1.333
2026-03-10 03:00:00,96,1.222,0.877,1.333
2026-03-10 03:05:00,97.1,0.944,0.628,1
2026-03-10 03:10:00,84.5,1.055,0.824,1.166
2026-03-10 03:15:00,84,1.222,0.859,1.333
2026-03-10 03:20:00,92.7,1.333,1.006,1.333
2026-03-10 03:25:00,92.7,1.277,1.06,1.333
2026-03-10 03:30:00,94.3,1.333,0.96,1.333
2026-03-10 03:35:00,93.5,1.166,0.826,1.166
2026-03-10 03:40:00,112.2,1,0.759,1
2026-03-10 03:45:00,71.43,0.833,0.403,0.833
2026-03-10 03:50:00,73.2,1.61,1.133,1.666
2026-03-10 03:55:00,76.66,1.61,1.205,1.666
2026-03-10 04:00:00,87.2,1.444,0.909,1.499
2026-03-10 04:05:00,92,1.111,0.846,1.166
2026-03-10 04:10:00,88.6,1.61,1.061,1.666
2026-03-10 04:15:00,89.9,1.555,1.027,1.666
2026-03-10 04:20:00,86.4,1.666,1.192,1.833
2026-03-10 04:25:00,86.4,1.388,0.987,1.499
2026-03-10 04:30:00,89.3,1.111,0.838,1.166
2026-03-10 04:35:00,89.3,1.222,0.932,1.333
2026-03-10 04:40:00,84.2,1.222,0.945,1.333
2026-03-10 04:45:00,82.4,1,0.75,1
2026-03-10 04:50:00,83.6,0.666,0.334,0.666
2026-03-10 04:55:00,67.33,0.722,0.185,0.833
2026-03-10 05:00:00,78.88,1.277,0.916,1.333
2026-03-10 05:05:00,85.7,1.166,0.759,1.333
2026-03-10 05:10:00,85.9,1,0.663,1
2026-03-10 05:15:00,82.1,1,0.73,1
2026-03-10 05:20:00,69.71,1.222,0.837,1.333
2026-03-10 05:25:00,67.9,1.333,0.925,1.333
2026-03-10 05:30:00,75.91,1.166,0.874,1.166
2026-03-10 05:35:00,76.04,1.388,1,1.499
2026-03-10 05:40:00,82.2,1.666,1.081,1.666
2026-03-10 05:45:00,89.6,1.111,0.796,1.166
2026-03-10 05:50:00,80.2,1.444,1.102,1.499
2026-03-10 05:55:00,77.84,1,0.712,1.166
2026-03-10 06:00:00,85.9,1.444,0.965,1.499
2026-03-10 06:05:00,78.5,1.166,0.834,1.166
2026-03-10 06:10:00,79.17,1,0.842,1
2026-03-10 06:15:00,95.7,0.944,0.694,1
2026-03-10 06:20:00,80.3,1.444,1.068,1.499
2026-03-10 06:25:00,80.1,1.499,1.176,1.499
2026-03-10 06:30:00,81.4,1.388,1.031,1.499
2026-03-10 06:35:00,82.1,1.333,0.964,1.333
2026-03-10 06:40:00,81.7,1.722,1.113,1.833
2026-03-10 06:45:00,85.3,1.333,0.996,1.333
2026-03-10 06:50:00,86.7,1.61,1.203,1.666
2026-03-10 06:55:00,81.6,1.277,0.84,1.333
2026-03-10 07:00:00,81.5,1.666,1.181,1.666
2026-03-10 07:05:00,90.6,1.888,1.314,1.999
2026-03-10 07:10:00,91.1,1.666,1.195,1.666
2026-03-10 07:15:00,102.5,1.499,0.885,1.499
2026-03-10 07:20:00,94.4,1.999,1.083,2.166
2026-03-10 07:25:00,82.9,1.666,1.033,1.666
2026-03-10 07:30:00,91.3,2.332,1.375,2.332
2026-03-10 07:35:00,95.7,1.944,1.21,1.999
2026-03-10 07:40:00,90.1,1.166,0.503,1.166
2026-03-10 07:45:00,115.4,0.777,0.252,0.833
2026-03-10 07:50:00,150.8,1.277,0.709,1.333
2026-03-10 07:55:00,129.2,1.388,0.668,1.499
2026-03-10 08:00:00,104.3,2.999,1.455,3.165
2026-03-10 08:05:00,87.4,3.665,1.643,3.665
2026-03-10 08:10:00,82.8,3.499,1.634,3.832
2026-03-10 08:15:00,67.84,3.499,1.059,3.665
2026-03-10 08:20:00,16.04,2.388,0.929,2.499
2026-03-10 08:25:00,53.42,3.221,1.055,3.332
2026-03-10 08:30:00,31.68,2.555,0.889,2.666
2026-03-10 08:35:00,33.39,1.166,0.299,1.166
