timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,97.2,2.499,1.916,2.499
2026-03-10 00:05:00,91.7,2.499,2.1,2.499
2026-03-10 00:10:00,88.1,2.721,2.174,2.832
2026-03-10 00:15:00,85.6,2.277,1.825,2.332
2026-03-10 00:20:00,74.38,2.499,1.894,2.499
2026-03-10 00:25:00,81,2.499,2.114,2.499
2026-03-10 00:30:00,87.1,2.499,2.184,2.666
2026-03-10 00:35:00,86.3,2.777,2.345,2.832
2026-03-10 00:40:00,77.72,2.61,2.147,2.666
2026-03-10 00:45:00,68.02,2.999,2.298,3.165
2026-03-10 00:50:00,77.73,3.276,2.841,3.332
2026-03-10 00:55:00,71.3,3.276,2.786,3.332
2026-03-10 01:00:00,68.28,3.11,2.668,3.165
2026-03-10 01:05:00,71.86,2.777,2.075,2.832
2026-03-10 01:10:00,68.45,2.388,1.956,2.499
2026-03-10 01:15:00,68.14,2.721,2.191,2.832
2026-03-10 01:20:00,72.44,2.777,2.322,2.832
2026-03-10 01:25:00,89.3,2.499,2.06,2.499
2026-03-10 01:30:00,103.3,3.054,2.556,3.165
2026-03-10 01:35:00,95.9,3.998,3.009,3.998
2026-03-10 01:40:00,86.7,4.443,3.438,4.498
2026-03-10 01:45:00,83.9,4.332,3.481,4.498
2026-03-10 01:50:00,77.38,4.221,3.533,4.332
2026-03-10 01:55:00,69.88,4.498,3.495,4.498
2026-03-10 02:00:00,68.47,4.276,3.111,4.332
2026-03-10 02:05:00,59.06,3.165,2.477,3.332
2026-03-10 02:10:00,71.59,3.054,2.494,3.165
2026-03-10 02:15:00,69.98,3.721,2.797,3.832
2026-03-10 02:20:00,68.96,3.443,2.887,3.499
2026-03-10 02:25:00,69.09,3.61,2.93,3.832
2026-03-10 02:30:00,66.75,3.443,2.872,3.499
2026-03-10 02:35:00,68.22,3.499,2.686,3.665
2026-03-10 02:40:00,72.69,3.221,2.653,3.332
2026-03-10 02:45:00,71.27,3.443,2.771,3.499
2026-03-10 02:50:00,74.18,3.721,3.062,3.832
2026-03-10 02:55:00,75.75,3.443,2.783,3.499
2026-03-10 03:00:00,79.19,3.721,2.644,3.832
2026-03-10 03:05:00,70.86,3.499,2.606,3.665
2026-03-10 03:10:00,88.8,4.165,3.098,4.165
2026-03-10 03:15:00,84.3,4.72,3.444,4.998
2026-03-10 03:20:00,79.98,5.054,4.109,5.165
2026-03-10 03:25:00,74.33,4.942,4.093,5.165
2026-03-10 03:30:00,73.52,4.554,3.816,4.665
2026-03-10 03:35:00,70.61,4.609,3.57,4.665
2026-03-10 03:40:00,66.4,4.665,3.71,4.831
2026-03-10 03:45:00,71.12,4.387,3.605,4.498
2026-03-10 03:50:00,82.4,4.776,3.597,4.831
2026-03-10 03:55:00,85.7,5.276,4.297,5.331
