timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,236.8,1.47,1.163,1.47
2026-03-10 00:05:00,239.2,1.307,0.96,1.372
2026-03-10 00:10:00,239.7,0.98,0.629,0.98
2026-03-10 00:15:00,225.7,1.274,0.73,1.274
2026-03-10 00:20:00,222.8,1.503,1.242,1.568
2026-03-10 00:25:00,226.1,1.535,1.104,1.568
2026-03-10 00:30:00,237.8,1.078,0.806,1.078
2026-03-10 00:35:00,225.9,1.405,0.974,1.47
2026-03-10 00:40:00,236.7,1.274,0.955,1.274
2026-03-10 00:45:00,239,1.241,0.909,1.274
2026-03-10 00:50:00,245.1,1.47,0.76,1.47
2026-03-10 00:55:00,237.3,1.503,1.029,1.568
2026-03-10 01:00:00,231.8,1.633,1.242,1.666
2026-03-10 01:05:00,227.6,1.339,1.071,1.372
2026-03-10 01:10:00,220.5,1.731,0.73,1.764
2026-03-10 01:15:00,242.7,1.339,0.803,1.372
2026-03-10 01:20:00,258.3,1.209,0.752,1.274
2026-03-10 01:25:00,251.5,1.339,1.091,1.372
2026-03-10 01:30:00,244.5,1.862,1.304,1.862
2026-03-10 01:35:00,229.5,1.797,1.225,1.862
2026-03-10 01:40:00,236.4,1.339,1.074,1.372
2026-03-10 01:45:00,236,1.535,1.184,1.568
2026-03-10 01:50:00,228.1,1.666,1.253,1.666
2026-03-10 01:55:00,224.5,1.927,1.48,1.96
2026-03-10 02:00:00,222.2,1.731,1.303,1.764
2026-03-10 02:05:00,217,1.927,1.184,1.96
2026-03-10 02:10:00,233.4,1.731,1.366,1.764
2026-03-10 02:15:00,230,1.797,1.583,1.862
2026-03-10 02:20:00,224.7,2.221,1.656,2.352
2026-03-10 02:25:00,226,2.515,1.817,2.548
2026-03-10 02:30:00,216.5,1.927,1.435,1.96
2026-03-10 02:35:00,218.2,2.091,1.38,2.156
2026-03-10 02:40:00,213.7,2.123,1.38,2.058
2026-03-10 02:45:00,213.7,1.993,1.436,2.058
2026-03-10 02:50:00,213.2,2.744,1.745,2.744
2026-03-10 02:55:00,212.9,2.417,1.691,2.45
2026-03-10 03:00:00,217.8,2.613,2.001,2.646
2026-03-10 03:05:00,219,2.254,1.53,2.352
2026-03-10 03:10:00,214.1,1.927,1.41,1.862
2026-03-10 03:15:00,199.4,2.287,1.685,2.352
2026-03-10 03:20:00,205,2.058,1.631,2.156
2026-03-10 03:25:00,216.5,1.96,1.341,1.96
2026-03-10 03:30:00,216.4,2.385,1.562,2.45
2026-03-10 03:35:00,207.7,2.025,1.301,2.058
2026-03-10 03:40:00,210.8,2.254,1.533,2.254
2026-03-10 03:45:00,214.6,1.927,1.292,1.96
2026-03-10 03:50:00,214.1,2.091,1.347,2.156
2026-03-10 03:55:00,205.1,2.058,1.427,2.156
2026-03-10 04:00:00,205,2.091,1.518,2.156
2026-03-10 04:05:00,215.2,2.548,1.622,2.548
2026-03-10 04:10:00,215,2.613,1.87,2.646
2026-03-10 04:15:00,232.7,2.319,1.491,2.352
2026-03-10 04:20:00,242.4,1.535,1.192,1.568
2026-03-10 04:25:00,238.9,1.535,1.077,1.568
2026-03-10 04:30:00,228.5,1.666,1.223,1.666
2026-03-10 04:35:00,216.3,2.156,1.417,2.156
2026-03-10 04:40:00,222.9,1.339,0.981,1.372
2026-03-10 04:45:00,231.4,1.568,1.175,1.568
2026-03-10 04:50:00,230.1,1.633,1.362,1.666
2026-03-10 04:55:00,224.1,1.862,1.418,1.862
2026-03-10 05:00:00,220.1,2.091,1.187,2.156
2026-03-10 05:05:00,222.1,1.927,1.218,1.862
2026-03-10 05:10:00,207.3,1.829,1.176,1.96
2026-03-10 05:15:00,198.1,2.025,1.567,2.058
2026-03-10 05:20:00,211,1.699,1.226,1.764
2026-03-10 05:25:00,227.6,1.797,1.187,1.862
2026-03-10 05:30:00,222.7,1.731,1.257,1.764
2026-03-10 05:35:00,215.1,2.189,1.62,2.254
2026-03-10 05:40:00,219.8,2.385,1.786,2.45
2026-03-10 05:45:00,226.6,2.287,1.484,2.352
2026-03-10 05:50:00,228.6,2.221,1.399,2.254
