timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,167.7,1.499,1.175,1.499
2026-03-10 00:05:00,162.1,1.499,1,1.499
2026-03-10 00:10:00,165.9,1.61,1.036,1.666
2026-03-10 00:15:00,179.1,1.833,1.368,1.833
2026-03-10 00:20:00,144,1.555,0.876,1.666
2026-03-10 00:25:00,171,1.388,1.078,1.499
2026-03-10 00:30:00,161,0.944,0.55,1
2026-03-10 00:35:00,155.5,1.499,0.935,1.499
2026-03-10 00:40:00,164.1,1.499,0.83,1.499
2026-03-10 00:45:00,178.6,1.333,1.046,1.333
2026-03-10 00:50:00,174.2,1.333,0.945,1.333
2026-03-10 00:55:00,166.6,1.111,0.855,1.166
2026-03-10 01:00:00,169.6,1.277,0.924,1.333
2026-03-10 01:05:00,174,1.444,1.107,1.499
2026-03-10 01:10:00,172.1,1.499,0.965,1.499
2026-03-10 01:15:00,170.5,1.333,1.137,1.333
2026-03-10 01:20:00,176,1.277,1.023,1.333
2026-03-10 01:25:00,190.5,1.277,0.895,1.333
2026-03-10 01:30:00,201.1,1.555,0.75,1.666
2026-03-10 01:35:00,197.9,1.277,0.887,1.333
2026-03-10 01:40:00,198.3,1.388,0.95,1.499
2026-03-10 01:45:00,196.6,1.444,1.046,1.499
2026-03-10 01:50:00,195.9,1.388,1.065,1.499
2026-03-10 01:55:00,187.7,1.444,1.108,1.499
2026-03-10 02:00:00,187.2,1.333,0.692,1.333
2026-03-10 02:05:00,190.1,1,0.463,1
2026-03-10 02:10:00,196.7,0.5,0.086,0.5
2026-03-10 02:15:00,165.4,1.222,0.232,1.333
2026-03-10 02:20:00,218.9,0.611,0.132,0.666
2026-03-10 02:25:00,197,0.833,0.172,0.833
2026-03-10 02:30:00,247.9,0.944,0.058,1
2026-03-10 02:35:00,185.2,0.944,0.205,1
2026-03-10 02:40:00,113.9,1.166,0.213,1.166
2026-03-10 02:45:00,112.4,2.221,0.29,2.332
2026-03-10 02:50:00,134.4,1.722,0.385,1.833
2026-03-10 02:55:00,254.8,0.555,0.081,0.666
2026-03-10 03:00:00,125.2,1.999,0.84,1.999
2026-03-10 03:05:00,175.9,1.61,0.419,1.666
2026-03-10 03:10:00,203.4,1.499,0.512,1.499
2026-03-10 03:15:00,210.3,1.111,0.518,1.166
2026-03-10 03:20:00,224.3,1.166,0.295,1.166
2026-03-10 03:25:00,219,0.5,0.101,0.5
2026-03-10 03:30:00,171.4,1.888,0.178,1.999
2026-03-10 03:35:00,197.8,1.166,0.248,1.166
2026-03-10 03:40:00,195.8,1.555,0.489,1.666
2026-03-10 03:45:00,186.9,1,0.216,1
2026-03-10 03:50:00,181.2,1.222,0.407,1.333
2026-03-10 03:55:00,170.3,1.555,1.139,1.666
2026-03-10 04:00:00,156.3,1.055,0.632,1.166
2026-03-10 04:05:00,180.1,1.722,1.129,1.833
2026-03-10 04:10:00,173.3,1.499,0.91,1.499
2026-03-10 04:15:00,167,1.444,1.02,1.499
2026-03-10 04:20:00,166.7,1.277,0.874,1.333
2026-03-10 04:25:00,172.9,1.388,1.155,1.499
2026-03-10 04:30:00,180.1,1.499,1.043,1.499
2026-03-10 04:35:00,185.1,1.277,0.975,1.333
2026-03-10 04:40:00,194,1.444,0.819,1.499
2026-03-10 04:45:00,189.5,1.333,0.695,1.333
2026-03-10 04:50:00,196,1.111,0.476,1.166
2026-03-10 04:55:00,177,1.499,0.439,1.499
2026-03-10 05:00:00,134.7,1.277,0.728,1.333
2026-03-10 05:05:00,172.2,1.388,0.62,1.499
2026-03-10 05:10:00,143.3,1.777,0.305,1.833
2026-03-10 05:15:00,185.1,1.277,0.44,1.333
2026-03-10 05:20:00,178,1.555,0.425,1.666
