timestamp,WDuv_1_Avg_value,WS_1_Avg_value
2026-03-10 00:00:00,187.2,2.363
2026-03-10 00:05:00,192.9,2.337
2026-03-10 00:10:00,204,1.687
2026-03-10 00:15:00,205.5,1.759
2026-03-10 00:20:00,195.1,1.14
2026-03-10 00:25:00,196,1.294
2026-03-10 00:30:00,215.2,1.275
2026-03-10 00:35:00,213.2,1.745
2026-03-10 00:40:00,220.3,1.882
2026-03-10 00:45:00,230.1,2.097
2026-03-10 00:50:00,239.7,2.464
2026-03-10 00:55:00,240.3,2.376
2026-03-10 01:00:00,228.5,2.184
2026-03-10 01:05:00,223.6,2.61
2026-03-10 01:10:00,231.6,3.185
2026-03-10 01:15:00,226.1,2.631
2026-03-10 01:20:00,219.2,2.342
2026-03-10 01:25:00,216.2,2.833
2026-03-10 01:30:00,217.6,2.795
2026-03-10 01:35:00,218.4,2.902
2026-03-10 01:40:00,216.5,2.713
2026-03-10 01:45:00,211,2.747
2026-03-10 01:50:00,211.8,2.672
2026-03-10 01:55:00,213.5,3.157
2026-03-10 02:00:00,211.6,2.917
2026-03-10 02:05:00,212.2,2.897
2026-03-10 02:10:00,206.2,2.615
2026-03-10 02:15:00,209.5,2.875
2026-03-10 02:20:00,210.7,2.745
2026-03-10 02:25:00,211.3,2.774
2026-03-10 02:30:00,208.3,2.688
2026-03-10 02:35:00,208.7,2.624
2026-03-10 02:40:00,212.2,2.582
2026-03-10 02:45:00,211.3,2.72
2026-03-10 02:50:00,211.8,2.654
2026-03-10 02:55:00,209.1,2.646
2026-03-10 03:00:00,210.5,2.631
2026-03-10 03:05:00,209.5,2.518
2026-03-10 03:10:00,210.7,2.583
2026-03-10 03:15:00,203.4,2.293
2026-03-10 03:20:00,206,2.264
2026-03-10 03:25:00,200.7,2.43
2026-03-10 03:30:00,202.3,2.507
2026-03-10 03:35:00,202.2,2.345
2026-03-10 03:40:00,204.1,2.474
2026-03-10 03:45:00,206.7,2.609
2026-03-10 03:50:00,205.2,2.548
2026-03-10 03:55:00,211.3,2.63
2026-03-10 04:00:00,212.8,2.492
2026-03-10 04:05:00,210.4,2.609
2026-03-10 04:10:00,205.8,2.291
2026-03-10 04:15:00,204.9,2.204
2026-03-10 04:20:00,201.3,2.023
2026-03-10 04:25:00,201.5,2.037
2026-03-10 04:30:00,203.5,2.114
2026-03-10 04:35:00,197,1.97
2026-03-10 04:40:00,201.5,2.072
2026-03-10 04:45:00,204.4,2.145
2026-03-10 04:50:00,197.5,2.043
2026-03-10 04:55:00,199.6,1.83
2026-03-10 05:00:00,195.6,1.925
2026-03-10 05:05:00,199,1.867
2026-03-10 05:10:00,199.4,1.833
2026-03-10 05:15:00,201.9,1.956
2026-03-10 05:20:00,205.8,2.287
2026-03-10 05:25:00,199.3,2.369
2026-03-10 05:30:00,197.3,1.908
2026-03-10 05:35:00,205.2,2.185
2026-03-10 05:40:00,202.4,2.333
2026-03-10 05:45:00,195.1,2.038
2026-03-10 05:50:00,196.5,2.102
2026-03-10 05:55:00,190,2.084
2026-03-10 06:00:00,186.7,1.704
2026-03-10 06:05:00,190,1.848
2026-03-10 06:10:00,185.8,1.813
2026-03-10 06:15:00,171.1,1.533
2026-03-10 06:20:00,176.6,1.645
2026-03-10 06:25:00,177.5,1.71
2026-03-10 06:30:00,170.4,1.448
2026-03-10 06:35:00,173.5,1.729
2026-03-10 06:40:00,174.6,1.999
2026-03-10 06:45:00,181.9,2.496
2026-03-10 06:50:00,183.4,2.196
2026-03-10 06:55:00,179.5,2.632
2026-03-10 07:00:00,177.1,2.44
2026-03-10 07:05:00,172.1,2.241
2026-03-10 07:10:00,179.8,2.545
2026-03-10 07:15:00,174.9,2.307
2026-03-10 07:20:00,179.9,2.593
2026-03-10 07:25:00,171,2.287
2026-03-10 07:30:00,169.1,2.141
2026-03-10 07:35:00,174.9,2.132
2026-03-10 07:40:00,176.5,1.973
2026-03-10 07:45:00,155.8,1.547
2026-03-10 07:50:00,144.5,1.017
2026-03-10 07:55:00,135.7,1.389
2026-03-10 08:00:00,132.6,1.757
2026-03-10 08:05:00,142.3,3.723
2026-03-10 08:10:00,153.1,2.872
2026-03-10 08:15:00,154.7,2.691
2026-03-10 08:20:00,146.1,1.846
2026-03-10 08:25:00,148.2,2.255
2026-03-10 08:30:00,147.8,2.727
2026-03-10 08:35:00,154.8,2.513
2026-03-10 08:40:00,155.9,1.594
2026-03-10 08:45:00,144.5,0.888
2026-03-10 08:50:00,171.4,0.849
2026-03-10 08:55:00,262.5,0.314
2026-03-10 09:00:00,305.4,1.843
2026-03-10 09:05:00,328.6,1.899
2026-03-10 09:10:00,344.2,0.449
2026-03-10 09:15:00,2.259,1.334
2026-03-10 09:20:00,53.23,1.359
2026-03-10 09:25:00,111,1.018
2026-03-10 09:30:00,136.8,1.07
2026-03-10 09:35:00,316.7,1.22
2026-03-10 09:40:00,316.3,3.399
2026-03-10 09:45:00,339.7,3.404
2026-03-10 09:50:00,343.3,3.073
2026-03-10 09:55:00,330.3,2.638
2026-03-10 10:00:00,332.1,1.928
2026-03-10 10:05:00,332.3,2.991
2026-03-10 10:10:00,336.1,2.473
2026-03-10 10:15:00,326.1,2.388
2026-03-10 10:20:00,340.9,2.311
2026-03-10 10:25:00,346.4,2.301
2026-03-10 10:30:00,322.3,1.926
2026-03-10 10:35:00,341.5,1.865
2026-03-10 10:40:00,356.6,2.578
2026-03-10 10:45:00,11.61,2.577
2026-03-10 10:50:00,351.5,2.105
2026-03-10 10:55:00,355.2,2.789
2026-03-10 11:00:00,346.7,2.204
2026-03-10 11:05:00,13.62,2.252
2026-03-10 11:10:00,25.68,1.188
2026-03-10 11:15:00,2.77,2.214
2026-03-10 11:20:00,22.49,3.093
2026-03-10 11:25:00,30.94,1.438
2026-03-10 11:30:00,13.28,1.804
2026-03-10 11:35:00,7.725,1.571
2026-03-10 11:40:00,11.78,0.978
2026-03-10 11:45:00,5.824,2.555
2026-03-10 11:50:00,8.45,1.982
2026-03-10 11:55:00,8.02,4.181
2026-03-10 12:00:00,12.42,1.849
2026-03-10 12:05:00,20.25,4.644
2026-03-10 12:10:00,24.86,2.457
2026-03-10 12:15:00,26.34,2.989
2026-03-10 12:20:00,351.7,0.884
2026-03-10 12:25:00,337.5,1.073
2026-03-10 12:30:00,276.3,2.921
2026-03-10 12:35:00,288.9,3.664
2026-03-10 12:40:00,305.5,3.187
2026-03-10 12:45:00,323.8,2.723
2026-03-10 12:50:00,325.8,3.695
2026-03-10 12:55:00,334.6,1.971
2026-03-10 13:00:00,355.1,2.264
2026-03-10 13:05:00,341.9,2.133
2026-03-10 13:10:00,318.4,2.405
2026-03-10 13:15:00,346,1.768
2026-03-10 13:20:00,6.625,1.803
2026-03-10 13:25:00,320.7,2.133
2026-03-10 13:30:00,13.08,1.614
2026-03-10 13:35:00,40.27,0.742
2026-03-10 13:40:00,79.03,1.925
2026-03-10 13:45:00,36.33,1.972
2026-03-10 13:50:00,132.2,2.253
2026-03-10 13:55:00,243.4,1.004
2026-03-10 14:00:00,136.7,1.969
2026-03-10 14:05:00,144.7,4.397
2026-03-10 14:10:00,121.4,1.602
2026-03-10 14:15:00,121.1,2.965
2026-03-10 14:20:00,127.2,3.638
2026-03-10 14:25:00,130.7,3.432
2026-03-10 14:30:00,113.3,2.446
2026-03-10 14:35:00,114.2,3.559
2026-03-10 14:40:00,122.1,4.299
2026-03-10 14:45:00,125.6,3.76
2026-03-10 14:50:00,115.2,3.143
2026-03-10 14:55:00,130.4,2.255
2026-03-10 15:00:00,130,0.801
2026-03-10 15:05:00,342.2,1.012
2026-03-10 15:10:00,276.4,0.834
2026-03-10 15:15:00,341.1,2.958
2026-03-10 15:20:00,345,2.395
2026-03-10 15:25:00,31.42,1.515
2026-03-10 15:30:00,284,1.824
2026-03-10 15:35:00,232.1,1.613
2026-03-10 15:40:00,285.8,2.24
2026-03-10 15:45:00,260.5,2.623
2026-03-10 15:50:00,268.5,1.649
2026-03-10 15:55:00,304.6,1.813
2026-03-10 16:00:00,324.1,1.009
2026-03-10 16:05:00,317,1.143
2026-03-10 16:10:00,316.9,2.646
2026-03-10 16:15:00,313.8,1.181
2026-03-10 16:20:00,316.1,1.116
2026-03-10 16:25:00,79.99,2.191
2026-03-10 16:30:00,84.6,1.752
2026-03-10 16:35:00,93.9,2.047
2026-03-10 16:40:00,110.9,1.585
2026-03-10 16:45:00,112,2.519
2026-03-10 16:50:00,99.5,0.998
2026-03-10 16:55:00,132.9,2.286
2026-03-10 17:00:00,123.3,1.915
2026-03-10 17:05:00,115.7,1.197
2026-03-10 17:10:00,115.6,0.535
2026-03-10 17:15:00,150,0.282
2026-03-10 17:20:00,77.41,0.556
2026-03-10 17:25:00,61.72,0.29
2026-03-10 17:30:00,332.8,0.873
2026-03-10 17:35:00,334.2,1.494
2026-03-10 17:40:00,329.8,1.351
2026-03-10 17:45:00,332.5,1.187
2026-03-10 17:50:00,339.5,0.863
