timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,150.6,2.156,1.094,2.254
2026-03-10 00:05:00,146.5,1.927,1.08,1.96
2026-03-10 00:10:00,141.3,1.797,1.023,1.96
2026-03-10 00:15:00,142.5,1.764,0.844,1.764
2026-03-10 00:20:00,142.5,2.189,0.956,2.254
2026-03-10 00:25:00,142.2,1.699,0.942,1.764
2026-03-10 00:30:00,150.4,1.764,0.93,1.862
2026-03-10 00:35:00,144.1,1.731,0.798,1.764
2026-03-10 00:40:00,140,1.764,0.904,1.862
2026-03-10 00:45:00,139.8,1.797,0.862,1.862
2026-03-10 00:50:00,148.1,2.221,1.036,2.254
2026-03-10 00:55:00,142.5,2.091,1.045,2.156
2026-03-10 01:00:00,144.3,1.829,0.847,1.862
2026-03-10 01:05:00,145,1.895,0.91,2.058
2026-03-10 01:10:00,150.2,1.96,1.032,2.058
2026-03-10 01:15:00,147.6,2.025,1.177,2.058
2026-03-10 01:20:00,142,2.025,1.102,2.058
2026-03-10 01:25:00,149.6,1.797,0.991,1.862
2026-03-10 01:30:00,158.7,1.535,0.778,1.568
2026-03-10 01:35:00,169,1.241,0.693,1.274
2026-03-10 01:40:00,151.6,2.058,0.942,2.058
2026-03-10 01:45:00,141,1.829,0.952,1.862
2026-03-10 01:50:00,134.7,2.45,0.978,2.548
2026-03-10 01:55:00,123.8,1.927,0.984,2.058
2026-03-10 02:00:00,143.3,2.091,1.011,2.156
2026-03-10 02:05:00,129.5,1.993,1.04,2.058
2026-03-10 02:10:00,135.7,2.156,0.878,2.254
2026-03-10 02:15:00,126.2,1.993,0.841,2.058
2026-03-10 02:20:00,138.3,1.731,0.889,1.764
2026-03-10 02:25:00,147.3,1.405,0.772,1.47
2026-03-10 02:30:00,140.4,1.47,0.849,1.47
2026-03-10 02:35:00,133.9,1.568,0.683,1.568
2026-03-10 02:40:00,134.3,1.47,0.73,1.568
2026-03-10 02:45:00,126.2,1.568,0.762,1.666
2026-03-10 02:50:00,131.9,1.797,0.854,1.862
2026-03-10 02:55:00,131.4,1.699,0.718,1.764
2026-03-10 03:00:00,138.6,1.666,0.656,1.764
2026-03-10 03:05:00,136.2,1.339,0.508,1.372
2026-03-10 03:10:00,116.7,1.241,0.611,1.274
2026-03-10 03:15:00,107.8,1.47,0.693,1.47
2026-03-10 03:20:00,110.4,1.111,0.53,1.176
2026-03-10 03:25:00,103.8,1.078,0.56,1.078
2026-03-10 03:30:00,93.2,0.98,0.517,1.078
2026-03-10 03:35:00,89.6,1.339,0.713,1.372
2026-03-10 03:40:00,95,1.797,0.904,1.862
2026-03-10 03:45:00,104,1.666,0.733,1.666
2026-03-10 03:50:00,99.1,1.078,0.549,1.078
2026-03-10 03:55:00,99,1.013,0.389,1.078
2026-03-10 04:00:00,95.2,1.307,0.558,1.372
2026-03-10 04:05:00,101.1,0.98,0.622,1.078
2026-03-10 04:10:00,105.2,1.045,0.484,1.078
2026-03-10 04:15:00,95.9,1.013,0.739,1.078
2026-03-10 04:20:00,90.6,1.209,0.749,1.274
2026-03-10 04:25:00,85.7,0.98,0.571,0.98
2026-03-10 04:30:00,91,0.98,0.647,0.98
2026-03-10 04:35:00,91.6,1.241,0.759,1.274
2026-03-10 04:40:00,91.8,1.209,0.805,1.274
2026-03-10 04:45:00,98,1.274,0.776,1.274
2026-03-10 04:50:00,103.4,1.47,0.912,1.568
2026-03-10 04:55:00,107.4,1.535,0.804,1.666
2026-03-10 05:00:00,106.2,1.111,0.664,1.176
2026-03-10 05:05:00,105.4,1.731,0.812,1.764
2026-03-10 05:10:00,107.6,1.535,0.808,1.568
2026-03-10 05:15:00,102.9,1.862,0.88,1.96
2026-03-10 05:20:00,103.8,1.731,0.926,1.764
2026-03-10 05:25:00,111.5,1.503,0.815,1.568
2026-03-10 05:30:00,107.6,1.862,0.811,1.862
2026-03-10 05:35:00,107.9,1.829,0.809,1.862
2026-03-10 05:40:00,107.5,1.895,0.875,1.96
