timestamp,WDuv_1_Avg_value,WS_1_Avg_value
2026-03-10 00:00:00,98.3,0.4
2026-03-10 00:05:00,98.4,0.389
2026-03-10 00:10:00,98.6,0.348
2026-03-10 00:15:00,98.7,0.306
2026-03-10 00:20:00,98.9,0.356
2026-03-10 00:25:00,99,0.305
2026-03-10 00:30:00,99.1,0.352
2026-03-10 00:35:00,99.3,0.25
2026-03-10 00:40:00,99.4,0.241
2026-03-10 00:45:00,99.5,0.232
2026-03-10 00:50:00,99.4,0.494
2026-03-10 00:55:00,99.4,0.378
2026-03-10 01:00:00,99.4,0.517
2026-03-10 01:05:00,99.5,0.484
2026-03-10 01:10:00,99.5,0.719
2026-03-10 01:15:00,99.6,0.682
2026-03-10 01:20:00,99.6,0.41
2026-03-10 01:25:00,99.6,0.374
2026-03-10 01:30:00,99.6,0.376
2026-03-10 01:35:00,99.5,0.573
2026-03-10 01:40:00,99.1,0.652
2026-03-10 01:45:00,99,0.432
2026-03-10 01:50:00,99,0.408
2026-03-10 01:55:00,98.7,0.236
2026-03-10 02:00:00,98.5,0.038
2026-03-10 02:05:00,99.2,0.08
2026-03-10 02:10:00,100.5,0.093
2026-03-10 02:15:00,108.9,0.465
2026-03-10 02:20:00,117.2,0.408
2026-03-10 02:25:00,117.6,0.431
2026-03-10 02:30:00,117.1,0.56
2026-03-10 02:35:00,117.5,0.469
2026-03-10 02:40:00,117.9,0.444
2026-03-10 02:45:00,118.1,0.485
2026-03-10 02:50:00,117.9,0.533
2026-03-10 02:55:00,117.1,0.613
2026-03-10 03:00:00,117.1,0.575
2026-03-10 03:05:00,117.3,0.491
2026-03-10 03:10:00,117.2,0.48
2026-03-10 03:15:00,117.1,0.438
2026-03-10 03:20:00,117.1,0.499
2026-03-10 03:25:00,117.2,0.567
2026-03-10 03:30:00,117.3,0.58
2026-03-10 03:35:00,117.2,0.587
2026-03-10 03:40:00,117.1,0.522
2026-03-10 03:45:00,118,0.538
2026-03-10 03:50:00,118.4,0.56
2026-03-10 03:55:00,119.7,0.577
2026-03-10 04:00:00,120,0.565
2026-03-10 04:05:00,120.4,0.622
2026-03-10 04:10:00,121,0.57
2026-03-10 04:15:00,119.4,0.582
2026-03-10 04:20:00,116.4,0.522
2026-03-10 04:25:00,116.2,0.485
2026-03-10 04:30:00,117,0.53
2026-03-10 04:35:00,120.9,0.512
2026-03-10 04:40:00,118.8,0.608
2026-03-10 04:45:00,120.8,0.581
2026-03-10 04:50:00,117.6,0.614
2026-03-10 04:55:00,117.9,0.615
2026-03-10 05:00:00,119.5,0.657
2026-03-10 05:05:00,119.5,0.676
2026-03-10 05:10:00,119.6,0.608
2026-03-10 05:15:00,119,0.536
2026-03-10 05:20:00,118.9,0.638
2026-03-10 05:25:00,118.4,0.547
2026-03-10 05:30:00,121.5,0.556
2026-03-10 05:35:00,122.3,0.597
2026-03-10 05:40:00,122.6,0.605
2026-03-10 05:45:00,122.7,0.693
2026-03-10 05:50:00,125.2,0.668
2026-03-10 05:55:00,125.9,0.59
2026-03-10 06:00:00,125.9,0.597
2026-03-10 06:05:00,125.9,0.578
2026-03-10 06:10:00,125.9,0.494
2026-03-10 06:15:00,125.9,0.578
2026-03-10 06:20:00,121.6,0.438
2026-03-10 06:25:00,119.4,0.532
2026-03-10 06:30:00,119.3,0.68
2026-03-10 06:35:00,117.4,0.618
2026-03-10 06:40:00,111.5,0.429
2026-03-10 06:45:00,125.2,0.562
2026-03-10 06:50:00,129.4,0.632
2026-03-10 06:55:00,106.9,0.095
