timestamp,WDuv_1_Avg_value,WS_1_Avg_value
2026-03-10 00:00:00,174.2,1.52
2026-03-10 00:05:00,171.9,1.391
2026-03-10 00:10:00,184.7,0.863
2026-03-10 00:15:00,199.1,0.299
2026-03-10 00:20:00,206.6,0.271
2026-03-10 00:25:00,190.2,0.568
2026-03-10 00:30:00,169,0.477
2026-03-10 00:35:00,172.5,0.002
2026-03-10 00:40:00,179.4,0.25
2026-03-10 00:45:00,56.68,0.022
2026-03-10 00:50:00,31.64,0.076
2026-03-10 00:55:00,152.3,0.193
2026-03-10 01:00:00,98.2,0.323
2026-03-10 01:05:00,126,0.511
2026-03-10 01:10:00,128.3,0.485
2026-03-10 01:15:00,155.8,0.515
2026-03-10 01:20:00,91.7,0.127
2026-03-10 01:25:00,83.1,0.063
2026-03-10 01:30:00,90.1,0.049
2026-03-10 01:35:00,175.7,0.602
2026-03-10 01:40:00,182.6,1.23
2026-03-10 01:45:00,185.5,1.568
2026-03-10 01:50:00,182.5,0.73
2026-03-10 01:55:00,175.6,0.157
2026-03-10 02:00:00,349,0.12
2026-03-10 02:05:00,177.1,0.495
2026-03-10 02:10:00,164.6,0.261
2026-03-10 02:15:00,148.9,0.226
2026-03-10 02:20:00,176.2,0.156
2026-03-10 02:25:00,188.2,0.489
2026-03-10 02:30:00,206.3,0.457
2026-03-10 02:35:00,214.7,0.464
2026-03-10 02:40:00,218.7,0.647
2026-03-10 02:45:00,213.5,0.563
2026-03-10 02:50:00,199.7,0.976
2026-03-10 02:55:00,179.4,1.721
2026-03-10 03:00:00,161.8,1.585
2026-03-10 03:05:00,102.5,0.367
2026-03-10 03:10:00,131.8,0.715
2026-03-10 03:15:00,151.9,0.337
2026-03-10 03:20:00,179.1,0.063
2026-03-10 03:25:00,164.5,0.58
2026-03-10 03:30:00,147.7,0.085
2026-03-10 03:35:00,146.3,0.031
2026-03-10 03:40:00,148.1,0.088
2026-03-10 03:45:00,112,0.44
2026-03-10 03:50:00,99.3,1.171
2026-03-10 03:55:00,121.9,1.359
2026-03-10 04:00:00,117.4,1.122
2026-03-10 04:05:00,118.7,1.028
2026-03-10 04:10:00,121.6,0.51
2026-03-10 04:15:00,140.1,0.47
2026-03-10 04:20:00,135.2,0.172
2026-03-10 04:25:00,183.3,0.03
2026-03-10 04:30:00,189.1,0.284
2026-03-10 04:35:00,215.9,0.302
2026-03-10 04:40:00,187,0.453
2026-03-10 04:45:00,170.7,0.578
2026-03-10 04:50:00,179,1.658
2026-03-10 04:55:00,178.8,1.576
2026-03-10 05:00:00,168.6,1.096
2026-03-10 05:05:00,156.1,0.91
2026-03-10 05:10:00,141.8,0.687
2026-03-10 05:15:00,135.4,0.744
2026-03-10 05:20:00,136.8,1.222
2026-03-10 05:25:00,147.9,0.883
2026-03-10 05:30:00,128.8,0.248
2026-03-10 05:35:00,127,0.27
2026-03-10 05:40:00,110.8,0.738
2026-03-10 05:45:00,127.4,1.308
2026-03-10 05:50:00,131.1,1.766
2026-03-10 05:55:00,136.1,1.741
2026-03-10 06:00:00,134.5,1.742
2026-03-10 06:05:00,123.6,1.625
2026-03-10 06:10:00,129.9,1.601
2026-03-10 06:15:00,171.7,1.2
2026-03-10 06:20:00,204.1,0.965
2026-03-10 06:25:00,100,0.842
2026-03-10 06:30:00,122.7,1.186
2026-03-10 06:35:00,115.1,1.541
2026-03-10 06:40:00,106.5,1.574
2026-03-10 06:45:00,124.4,1.708
2026-03-10 06:50:00,132.2,1.96
2026-03-10 06:55:00,129.2,2.129
2026-03-10 07:00:00,124.2,2.038
2026-03-10 07:05:00,119.8,2.19
2026-03-10 07:10:00,115.1,1.961
2026-03-10 07:15:00,111,1.325
2026-03-10 07:20:00,342,0.801
2026-03-10 07:25:00,188.7,0.488
2026-03-10 07:30:00,128,1.143
2026-03-10 07:35:00,121.7,1.417
2026-03-10 07:40:00,108.1,1.382
2026-03-10 07:45:00,115.6,1.576
2026-03-10 07:50:00,123.5,1.445
2026-03-10 07:55:00,97.5,0.561
2026-03-10 08:00:00,61.04,0.936
2026-03-10 08:05:00,344.7,0.335
2026-03-10 08:10:00,233.2,1.018
2026-03-10 08:15:00,297,0.732
2026-03-10 08:20:00,293.7,0.569
2026-03-10 08:25:00,332.4,0.762
2026-03-10 08:30:00,334.8,0.523
2026-03-10 08:35:00,315.3,0.224
2026-03-10 08:40:00,307.8,0.52
2026-03-10 08:45:00,332.7,0.684
2026-03-10 08:50:00,324.4,1.525
2026-03-10 08:55:00,336.8,0.965
2026-03-10 09:00:00,338.1,1.095
2026-03-10 09:05:00,321.4,1.383
2026-03-10 09:10:00,321.5,1.245
2026-03-10 09:15:00,327.8,0.984
2026-03-10 09:20:00,325.1,1.28
2026-03-10 09:25:00,341.6,1.11
2026-03-10 09:30:00,340.2,0.89
2026-03-10 09:35:00,14.63,1.166
2026-03-10 09:40:00,346.2,1.674
2026-03-10 09:45:00,332,1.486
2026-03-10 09:50:00,357.3,1.416
2026-03-10 09:55:00,1.313,1.197
2026-03-10 10:00:00,334.6,0.974
2026-03-10 10:05:00,343.2,1.313
2026-03-10 10:10:00,346.2,1.568
2026-03-10 10:15:00,346.9,1.824
2026-03-10 10:20:00,321.1,1.972
2026-03-10 10:25:00,309.5,1.872
2026-03-10 10:30:00,290.3,1.545
2026-03-10 10:35:00,310.8,1.196
2026-03-10 10:40:00,315.2,1.42
2026-03-10 10:45:00,339.1,1.929
2026-03-10 10:50:00,344.4,1.126
2026-03-10 10:55:00,11.13,1.517
2026-03-10 11:00:00,342.2,1.847
2026-03-10 11:05:00,320.8,1.887
2026-03-10 11:10:00,312.1,0.991
2026-03-10 11:15:00,322.1,1.483
