timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,108,4.72,2.766,4.831
2026-03-10 00:05:00,100.2,4.332,2.627,4.498
2026-03-10 00:10:00,93.6,4.221,2.657,4.332
2026-03-10 00:15:00,93.6,4.054,2.43,4.165
2026-03-10 00:20:00,97.8,5.054,2.663,5.165
2026-03-10 00:25:00,107.4,6.331,2.841,6.664
2026-03-10 00:30:00,103.6,5.775,2.518,5.831
2026-03-10 00:35:00,113.8,5.22,2.9,5.498
2026-03-10 00:40:00,117.2,4.72,2.529,4.998
2026-03-10 00:45:00,108.9,5.276,2.387,5.831
2026-03-10 00:50:00,123.6,4.221,2.628,4.498
2026-03-10 00:55:00,115.3,5.609,3.15,5.998
2026-03-10 01:00:00,117,4.443,2.721,4.665
2026-03-10 01:05:00,120,4.776,2.775,4.998
2026-03-10 01:10:00,127.7,6.053,3.334,6.831
2026-03-10 01:15:00,129,5.054,3.28,5.331
2026-03-10 01:20:00,133.3,5.831,3.214,6.164
2026-03-10 01:25:00,118.3,6.775,3.569,7.497
2026-03-10 01:30:00,111.9,5.553,2.431,5.831
2026-03-10 01:35:00,122.1,5.387,2.746,5.664
2026-03-10 01:40:00,111,5.442,3.187,5.664
2026-03-10 01:45:00,112.9,6.72,3.178,6.831
2026-03-10 01:50:00,107.2,5.831,2.681,5.998
2026-03-10 01:55:00,114.6,5.498,3.081,5.998
2026-03-10 02:00:00,118.4,5.664,2.993,5.831
2026-03-10 02:05:00,121.3,5.331,3.14,5.664
2026-03-10 02:10:00,115.2,5.609,2.849,5.998
2026-03-10 02:15:00,131,7.108,3.971,7.33
2026-03-10 02:20:00,129.3,7.664,3.934,7.997
2026-03-10 02:25:00,129.3,5.942,3.87,6.164
2026-03-10 02:30:00,134.5,6.109,3.159,6.331
2026-03-10 02:35:00,133.7,5.942,2.704,5.998
2026-03-10 02:40:00,131.5,6.275,3.879,6.497
2026-03-10 02:45:00,120.8,5.054,2.556,5.165
2026-03-10 02:50:00,131.4,5.22,2.787,5.331
2026-03-10 02:55:00,117.1,4.609,2.365,5.165
2026-03-10 03:00:00,109.9,5.109,2.592,5.331
2026-03-10 03:05:00,116.2,3.998,2.009,4.332
2026-03-10 03:10:00,102.9,3.665,2.248,3.998
2026-03-10 03:15:00,102.8,3.61,1.598,3.665
2026-03-10 03:20:00,92.2,5.553,2.332,5.831
2026-03-10 03:25:00,91.2,5.276,3.147,5.331
2026-03-10 03:30:00,94.6,5.609,3.391,5.831
2026-03-10 03:35:00,93.6,3.554,1.949,3.665
2026-03-10 03:40:00,103,4.276,1.97,4.332
2026-03-10 03:45:00,130.7,3.998,1.762,4.332
2026-03-10 03:50:00,121.8,4.387,2.176,4.665
2026-03-10 03:55:00,114.3,4.443,2,4.665
2026-03-10 04:00:00,117.4,4.498,2.296,4.665
2026-03-10 04:05:00,117.4,5.664,2.296,5.664
2026-03-10 04:10:00,109,3.665,2.164,3.832
2026-03-10 04:15:00,90.2,4.221,2.382,4.498
2026-03-10 04:20:00,86.3,4.443,2.958,4.831
2026-03-10 04:25:00,102.6,2.943,1.572,3.165
2026-03-10 04:30:00,88.6,3.054,1.605,3.165
2026-03-10 04:35:00,108.6,3.11,1.713,3.165
2026-03-10 04:40:00,120.5,3.665,2.091,3.832
2026-03-10 04:45:00,98.7,4.054,1.986,4.165
2026-03-10 04:50:00,116.8,3.499,1.587,3.499
2026-03-10 04:55:00,122.3,3.832,2.072,4.332
2026-03-10 05:00:00,122.8,3.943,1.708,3.998
2026-03-10 05:05:00,135.6,4.609,2.582,4.665
2026-03-10 05:10:00,125.2,5.054,2.857,5.165
2026-03-10 05:15:00,119.6,4.221,2.382,4.498
2026-03-10 05:20:00,137.2,3.276,2.054,3.499
2026-03-10 05:25:00,146.7,3.832,2.14,3.998
2026-03-10 05:30:00,140.2,4.665,2.296,5.165
2026-03-10 05:35:00,144,4.221,2.24,4.498
2026-03-10 05:40:00,132.3,3.665,2.241,3.832
2026-03-10 05:45:00,126.7,3.443,1.705,3.499
2026-03-10 05:50:00,131.4,3.054,1.89,3.165
2026-03-10 05:55:00,125.7,4.554,2.491,4.665
2026-03-10 06:00:00,119.1,4.054,2.373,4.332
2026-03-10 06:05:00,127.1,5.276,2.758,5.664
2026-03-10 06:10:00,107.4,3.165,1.707,3.665
2026-03-10 06:15:00,92.5,3.665,1.302,3.665
2026-03-10 06:20:00,106.9,5.553,2.405,6.331
2026-03-10 06:25:00,78.89,5.109,2.647,5.498
2026-03-10 06:30:00,66.63,4.942,2.556,5.165
2026-03-10 06:35:00,54.21,3.554,1.759,3.665
2026-03-10 06:40:00,53.07,3.665,1.611,3.665
2026-03-10 06:45:00,73.91,5.22,2.702,5.498
2026-03-10 06:50:00,92.4,3.11,1.615,3.165
2026-03-10 06:55:00,96,2.61,1.043,2.832
2026-03-10 07:00:00,119.6,2.388,1.055,2.499
2026-03-10 07:05:00,112.7,3.221,1.674,3.332
2026-03-10 07:10:00,109.1,3.332,1.477,3.332
2026-03-10 07:15:00,135.1,3.721,1.494,3.832
2026-03-10 07:20:00,121,4.998,3.043,5.331
2026-03-10 07:25:00,136.7,3.887,2.22,3.998
2026-03-10 07:30:00,133.7,4.665,2.681,4.998
2026-03-10 07:35:00,138.1,4.443,2.266,4.498
