timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,17.07,1.61,1.226,1.666
2026-03-10 00:05:00,21.9,1.61,1.297,1.666
2026-03-10 00:10:00,40.11,1.666,1.088,1.666
2026-03-10 00:15:00,39.73,1.833,1.312,1.833
2026-03-10 00:20:00,14.92,1.333,1.076,1.333
2026-03-10 00:25:00,16.99,1.277,1.07,1.333
2026-03-10 00:30:00,16.17,1.333,1.033,1.333
2026-03-10 00:35:00,14.71,1.166,1.03,1.166
2026-03-10 00:40:00,15.97,1.555,1.259,1.666
2026-03-10 00:45:00,24.31,1.888,1.519,1.999
2026-03-10 00:50:00,10.31,1.61,1.406,1.666
2026-03-10 00:55:00,354.7,1.388,1.168,1.499
2026-03-10 01:00:00,17.76,1.388,1.192,1.499
2026-03-10 01:05:00,10.32,1.666,1.276,1.666
2026-03-10 01:10:00,25.9,1.444,1.071,1.499
2026-03-10 01:15:00,26.34,1.055,0.855,1.166
2026-03-10 01:20:00,332.5,0.889,0.458,1
2026-03-10 01:25:00,319.7,2.166,1.237,2.166
2026-03-10 01:30:00,338.7,1.666,1.208,1.666
2026-03-10 01:35:00,343,1.722,1.208,1.833
2026-03-10 01:40:00,354.3,2.11,1.664,2.166
2026-03-10 01:45:00,357.4,1.833,1.39,1.833
2026-03-10 01:50:00,11.91,1.388,0.881,1.499
2026-03-10 01:55:00,14.78,0.833,0.509,0.833
2026-03-10 02:00:00,348.2,1.111,0.888,1.166
2026-03-10 02:05:00,344.5,1.222,0.841,1.333
2026-03-10 02:10:00,341.5,1.944,1.58,1.999
2026-03-10 02:15:00,345,1.999,1.742,1.999
2026-03-10 02:20:00,355.7,2.166,1.642,2.166
2026-03-10 02:25:00,21.28,1.999,1.756,1.999
2026-03-10 02:30:00,47.05,1.777,1.452,1.833
2026-03-10 02:35:00,57.87,2.166,1.867,2.166
2026-03-10 02:40:00,56.92,2.166,1.901,2.166
2026-03-10 02:45:00,35.29,2.11,1.578,2.166
