timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,348.6,2.499,1.727,2.499
2026-03-10 00:05:00,348.4,2.61,1.986,2.666
2026-03-10 00:10:00,348.3,2.443,1.919,2.499
2026-03-10 00:15:00,348.3,2.61,1.971,2.666
2026-03-10 00:20:00,348.4,2.999,2.237,2.999
2026-03-10 00:25:00,348.3,2.777,2.064,2.832
2026-03-10 00:30:00,348.4,2.666,1.98,2.666
2026-03-10 00:35:00,348.4,2.277,1.604,2.332
2026-03-10 00:40:00,348.8,2.499,1.8,2.666
2026-03-10 00:45:00,348.3,2.277,1.754,2.332
2026-03-10 00:50:00,348.3,1.777,1.396,1.833
2026-03-10 00:55:00,348.3,2.721,1.921,2.832
2026-03-10 01:00:00,348.2,2.499,1.813,2.666
2026-03-10 01:05:00,348.3,2.721,1.983,2.832
2026-03-10 01:10:00,348.2,2.721,2.074,2.832
2026-03-10 01:15:00,348.2,3.054,1.998,3.165
2026-03-10 01:20:00,348.3,2.61,2.015,2.666
2026-03-10 01:25:00,348.2,2.277,1.738,2.332
2026-03-10 01:30:00,348.6,2.055,1.385,2.166
2026-03-10 01:35:00,348.8,1.999,1.475,2.166
2026-03-10 01:40:00,348.9,1.888,1.283,1.999
2026-03-10 01:45:00,348.8,1.777,1.327,1.833
2026-03-10 01:50:00,349.2,1.666,1.017,1.666
2026-03-10 01:55:00,349.6,1.333,0.64,1.333
2026-03-10 02:00:00,349.8,0.722,0.214,0.833
2026-03-10 02:05:00,353.6,1.61,0.838,1.666
2026-03-10 02:10:00,354.1,1.666,1.431,1.666
2026-03-10 02:15:00,353.4,1.722,1.462,1.833
2026-03-10 02:20:00,353.6,2.332,1.261,2.499
2026-03-10 02:25:00,354.4,2.499,1.743,2.499
2026-03-10 02:30:00,354.2,2.721,2.123,2.832
2026-03-10 02:35:00,354.1,2.888,2.082,2.999
2026-03-10 02:40:00,354,1.722,1.499,1.833
2026-03-10 02:45:00,354,2.443,1.81,2.499
2026-03-10 02:50:00,353.8,2.499,1.906,2.499
2026-03-10 02:55:00,349.3,2.388,1.782,2.499
2026-03-10 03:00:00,350,2.221,1.614,2.332
2026-03-10 03:05:00,353.1,1.777,1.404,1.833
2026-03-10 03:10:00,347.6,1.999,1.834,1.999
2026-03-10 03:15:00,350.3,1.666,1.047,1.666
2026-03-10 03:20:00,354.1,0.666,0.253,0.666
2026-03-10 03:25:00,352.2,0.167,0.167,0.167
2026-03-10 03:30:00,348.7,0.167,0.167,0.167
2026-03-10 03:35:00,348.2,0.167,0.167,0.167
2026-03-10 03:40:00,350,0.167,0.167,0.167
2026-03-10 03:45:00,350.4,0.167,0.167,0.167
2026-03-10 03:50:00,350.4,0.167,0.167,0.167
2026-03-10 03:55:00,351.1,0.167,0.167,0.167
2026-03-10 04:00:00,352.2,0.167,0.167,0.167
2026-03-10 04:05:00,353.8,0.722,0.398,0.833
2026-03-10 04:10:00,347.9,0.889,0.495,1
2026-03-10 04:15:00,349.1,0.944,0.45,1.166
2026-03-10 04:20:00,351.8,0.722,0.352,0.833
2026-03-10 04:25:00,350.7,1.555,0.559,1.666
2026-03-10 04:30:00,351.4,0.5,0.183,0.5
2026-03-10 04:35:00,349.5,1.999,0.777,1.999
2026-03-10 04:40:00,348.7,2.166,1.527,2.166
2026-03-10 04:45:00,348.9,2.388,1.575,2.499
2026-03-10 04:50:00,348.7,2.666,1.741,2.666
2026-03-10 04:55:00,348.7,1.999,1.326,1.999
2026-03-10 05:00:00,348.7,2.61,1.555,2.666
2026-03-10 05:05:00,348.2,2.443,1.744,2.499
2026-03-10 05:10:00,348.2,2.055,1.542,2.166
2026-03-10 05:15:00,348.8,2.11,1.518,2.332
2026-03-10 05:20:00,348.5,2.332,1.393,2.332
2026-03-10 05:25:00,348,2.888,1.765,2.999
2026-03-10 05:30:00,347.9,2.666,2.099,2.666
2026-03-10 05:35:00,347.9,2.943,2.172,2.999
2026-03-10 05:40:00,347.8,2.666,2.117,2.832
2026-03-10 05:45:00,348,2.832,2.262,2.999
2026-03-10 05:50:00,348,2.832,2.044,2.832
2026-03-10 05:55:00,347.9,3.11,2.359,3.165
2026-03-10 06:00:00,347.8,2.888,1.669,2.999
2026-03-10 06:05:00,348.4,1.944,1.363,1.999
2026-03-10 06:10:00,348.1,2.221,1.521,2.332
2026-03-10 06:15:00,348.3,2.277,1.385,2.332
2026-03-10 06:20:00,349.8,1.388,0.96,1.499
2026-03-10 06:25:00,349.4,1.277,0.881,1.333
2026-03-10 06:30:00,349.4,1.444,1.132,1.499
2026-03-10 06:35:00,351.2,1.555,0.786,1.666
2026-03-10 06:40:00,351.3,1.888,1.188,1.999
2026-03-10 06:45:00,351.6,1.555,1.113,1.666
2026-03-10 06:50:00,351.7,1.333,0.99,1.333
2026-03-10 06:55:00,351.7,1.333,0.885,1.333
2026-03-10 07:00:00,351.7,1,0.746,1.166
2026-03-10 07:05:00,351.2,1.222,0.839,1.333
2026-03-10 07:10:00,351.1,1.222,0.781,1.333
2026-03-10 07:15:00,350.7,1.222,0.729,1.333
2026-03-10 07:20:00,349.8,1.999,1.118,1.999
2026-03-10 07:25:00,350.2,1.777,1.183,1.833
2026-03-10 07:30:00,350.6,1.222,0.782,1.166
2026-03-10 07:35:00,350.3,0.833,0.447,0.833
2026-03-10 07:40:00,350.8,1.111,0.7,1.166
2026-03-10 07:45:00,351.5,1.499,0.964,1.666
2026-03-10 07:50:00,351.7,1.722,1.193,1.833
2026-03-10 07:55:00,351.8,1.888,1.284,1.999
2026-03-10 08:00:00,351.9,1.666,1.138,1.666
2026-03-10 08:05:00,351.9,1.499,1.071,1.666
2026-03-10 08:10:00,352,1.055,0.475,1.166
2026-03-10 08:15:00,352.3,1.333,0.75,1.333
2026-03-10 08:20:00,351.9,1.888,1.304,1.999
2026-03-10 08:25:00,351.7,1.777,1.19,1.833
2026-03-10 08:30:00,351.1,1.722,1.126,1.833
2026-03-10 08:35:00,350.7,1.666,1.041,1.833
2026-03-10 08:40:00,350.7,2.055,1.041,2.166
2026-03-10 08:45:00,351,1.833,1.25,1.833
2026-03-10 08:50:00,350.4,1.722,1.042,1.833
2026-03-10 08:55:00,350.3,1.722,1.256,1.666
2026-03-10 09:00:00,350.1,1.888,1.014,1.999
2026-03-10 09:05:00,350.8,1.777,0.908,1.833
2026-03-10 09:10:00,350.1,2.499,1.061,2.666
2026-03-10 09:15:00,350.2,2.055,1,2.166
2026-03-10 09:20:00,350.1,2.277,1.271,2.332
2026-03-10 09:25:00,350.6,1.777,0.767,1.833
2026-03-10 09:30:00,351.1,2.721,1.527,2.832
2026-03-10 09:35:00,350.5,1.444,0.509,1.499
2026-03-10 09:40:00,350.3,1.777,0.693,1.833
2026-03-10 09:45:00,350.8,2.11,0.847,2.166
2026-03-10 09:50:00,350.5,2.666,1.347,2.832
2026-03-10 09:55:00,352.1,4.665,1.423,4.831
2026-03-10 10:00:00,353,1.666,0.68,1.666
2026-03-10 10:05:00,350.7,3.499,1.397,3.832
2026-03-10 10:10:00,351.2,3.276,1.91,3.499
2026-03-10 10:15:00,351.7,3.332,2.114,3.499
2026-03-10 10:20:00,351.5,3.776,2.36,3.998
2026-03-10 10:25:00,351.8,3.832,2.647,3.832
2026-03-10 10:30:00,351.9,3.499,2.205,3.499
2026-03-10 10:35:00,351.8,3.665,2.473,3.832
2026-03-10 10:40:00,352.2,4.387,2.422,4.665
2026-03-10 10:45:00,352.3,3.221,2.098,3.332
2026-03-10 10:50:00,352.1,3.499,1.894,3.499
2026-03-10 10:55:00,352.1,3.554,1.79,3.665
2026-03-10 11:00:00,352.1,3.443,2.126,3.499
2026-03-10 11:05:00,352.3,3.721,2.565,3.832
2026-03-10 11:10:00,352.5,3.943,2.483,3.998
2026-03-10 11:15:00,352.6,4.332,2.767,4.332
2026-03-10 11:20:00,352.6,3.776,2.678,3.832
2026-03-10 11:25:00,352.6,4.72,3.059,4.831
2026-03-10 11:30:00,352.6,4.054,3.081,4.165
2026-03-10 11:35:00,352.6,4.221,3.132,4.498
2026-03-10 11:40:00,352.5,3.665,2.078,3.832
2026-03-10 11:45:00,352.7,3.832,1.859,3.998
2026-03-10 11:50:00,352.6,3.665,1.968,3.832
2026-03-10 11:55:00,353,2.832,1.493,2.999
2026-03-10 12:00:00,353.4,3.554,1.96,3.832
2026-03-10 12:05:00,353.6,4.332,2.872,4.498
2026-03-10 12:10:00,353.7,4.609,3.136,4.831
2026-03-10 12:15:00,354,5.054,3.517,5.165
2026-03-10 12:20:00,353.8,4.443,2.898,4.498
2026-03-10 12:25:00,353.8,4.221,3.212,4.332
2026-03-10 12:30:00,353.9,4.554,3.283,4.665
2026-03-10 12:35:00,354,4.221,3.469,4.332
2026-03-10 12:40:00,354,4.443,3.514,4.498
2026-03-10 12:45:00,354,4.387,3.282,4.498
2026-03-10 12:50:00,354,4.332,3.476,4.332
2026-03-10 12:55:00,354,4.776,3.562,4.998
2026-03-10 13:00:00,354,4.498,3.214,4.665
2026-03-10 13:05:00,353.9,4.831,3.541,4.998
2026-03-10 13:10:00,354,4.554,3.522,4.665
2026-03-10 13:15:00,353.9,4.443,3.632,4.498
2026-03-10 13:20:00,353.9,4.443,3.345,4.498
2026-03-10 13:25:00,354,4.387,3.529,4.498
2026-03-10 13:30:00,354,4.942,3.869,4.998
2026-03-10 13:35:00,353.9,5.442,4.034,5.498
2026-03-10 13:40:00,353.9,3.776,2.713,4.165
2026-03-10 13:45:00,353.9,4.109,2.773,4.332
2026-03-10 13:50:00,353.9,3.776,2.635,3.832
2026-03-10 13:55:00,354,3.832,2.788,3.832
2026-03-10 14:00:00,354,4.054,3.023,4.165
2026-03-10 14:05:00,354,3.61,2.99,3.832
2026-03-10 14:10:00,354,3.554,2.788,3.665
2026-03-10 14:15:00,354,3.388,2.512,3.499
2026-03-10 14:20:00,353.9,2.443,1.659,2.499
2026-03-10 14:25:00,351.5,2.277,1.168,2.332
2026-03-10 14:30:00,352.2,1.888,1.247,1.999
2026-03-10 14:35:00,353.4,2.666,1.631,2.666
2026-03-10 14:40:00,353.5,2.61,1.845,2.666
2026-03-10 14:45:00,352.8,2.443,1.217,2.499
2026-03-10 14:50:00,351.7,2.999,0.634,3.165
2026-03-10 14:55:00,351.8,4.387,2.102,4.498
2026-03-10 15:00:00,351.3,5.054,3.211,5.331
2026-03-10 15:05:00,351.6,5.054,3.021,5.331
2026-03-10 15:10:00,351.4,5.72,3.301,5.998
2026-03-10 15:15:00,351.4,4.776,2.978,4.998
2026-03-10 15:20:00,350.7,4.609,2.922,4.665
2026-03-10 15:25:00,350.8,4.665,3.052,5.165
