timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,13.26,0.389,0.043,0.5
2026-03-10 00:05:00,315.5,0.5,0.102,0.5
2026-03-10 00:10:00,0,0,0,0
2026-03-10 00:15:00,321.2,0.777,0.143,0.833
2026-03-10 00:20:00,48.98,0.666,0.046,0.833
2026-03-10 00:25:00,19.79,1.055,0.288,1.166
2026-03-10 00:30:00,328.1,0.889,0.101,1
2026-03-10 00:35:00,32.8,0.444,0.07,0.5
2026-03-10 00:40:00,337,0.444,0.129,0.5
2026-03-10 00:45:00,338.5,0.611,0.074,0.666
2026-03-10 00:50:00,351.5,0.111,0.001,0.167
2026-03-10 00:55:00,72.85,0.944,0.24,1
2026-03-10 01:00:00,0,0,0,0
2026-03-10 01:05:00,0,0,0,0
2026-03-10 01:10:00,0,0,0,0
2026-03-10 01:15:00,0,0,0,0
2026-03-10 01:20:00,18.21,0.5,0.088,0.5
2026-03-10 01:25:00,330,0.5,0.034,0.5
2026-03-10 01:30:00,0,0,0,0
2026-03-10 01:35:00,16.55,0.833,0.232,0.833
2026-03-10 01:40:00,24.48,1,0.174,1
2026-03-10 01:45:00,341.5,0.333,0.013,0.333
2026-03-10 01:50:00,356.2,1.055,0.118,1.166
2026-03-10 01:55:00,25.71,0.167,0.004,0.167
2026-03-10 02:00:00,0,0,0,0
2026-03-10 02:05:00,0,0,0,0
2026-03-10 02:10:00,0,0,0,0
2026-03-10 02:15:00,9.73,0.722,0.172,0.833
2026-03-10 02:20:00,339.9,0.777,0.173,0.833
2026-03-10 02:25:00,0,0,0,0
2026-03-10 02:30:00,0,0,0,0
2026-03-10 02:35:00,341,0.5,0.099,0.5
2026-03-10 02:40:00,0,0,0,0
2026-03-10 02:45:00,0,0,0,0
2026-03-10 02:50:00,0,0,0,0
2026-03-10 02:55:00,0,0,0,0
2026-03-10 03:00:00,339.4,0.278,0.01,0.333
2026-03-10 03:05:00,0,0,0,0
2026-03-10 03:10:00,0,0,0,0
2026-03-10 03:15:00,0,0,0,0
2026-03-10 03:20:00,0,0,0,0
2026-03-10 03:25:00,339.4,0.167,0.003,0.167
2026-03-10 03:30:00,339.4,0.333,0.018,0.333
2026-03-10 03:35:00,339.7,0.5,0.013,0.666
2026-03-10 03:40:00,339.3,0.944,0.444,1
2026-03-10 03:45:00,0,0,0,0
2026-03-10 03:50:00,0,0,0,0
2026-03-10 03:55:00,0,0,0,0
2026-03-10 04:00:00,38.91,0.722,0.085,0.833
2026-03-10 04:05:00,68.68,0.389,0.042,0.333
2026-03-10 04:10:00,351.4,0.333,0.037,0.333
2026-03-10 04:15:00,347.3,0.777,0.189,0.833
2026-03-10 04:20:00,0,0,0,0
2026-03-10 04:25:00,29.06,0.222,0.012,0.333
2026-03-10 04:30:00,0,0,0,0
2026-03-10 04:35:00,0,0,0,0
2026-03-10 04:40:00,0,0,0,0
2026-03-10 04:45:00,0,0,0,0
2026-03-10 04:50:00,27.35,0.222,0.002,0.333
2026-03-10 04:55:00,0,0,0,0
2026-03-10 05:00:00,26.36,0.666,0.063,0.666
2026-03-10 05:05:00,0,0,0,0
2026-03-10 05:10:00,0,0,0,0
2026-03-10 05:15:00,347.1,0.5,0.051,0.5
2026-03-10 05:20:00,347,0.278,0.006,0.333
2026-03-10 05:25:00,61.02,0.722,0.173,0.833
2026-03-10 05:30:00,324.7,0.444,0.036,0.5
2026-03-10 05:35:00,351.2,0.389,0.023,0.5
2026-03-10 05:40:00,0,0,0,0
2026-03-10 05:45:00,0,0,0,0
2026-03-10 05:50:00,0,0,0,0
2026-03-10 05:55:00,0,0,0,0
2026-03-10 06:00:00,347.3,0.333,0.017,0.333
2026-03-10 06:05:00,26.86,0.389,0.004,0.5
2026-03-10 06:10:00,25.18,0.5,0.078,0.5
2026-03-10 06:15:00,352.7,0.444,0.083,0.5
2026-03-10 06:20:00,16.3,0.333,0.017,0.333
2026-03-10 06:25:00,346.4,0.944,0.453,1
2026-03-10 06:30:00,4.679,0.777,0.167,0.833
2026-03-10 06:35:00,340.9,1.055,0.358,1.166
2026-03-10 06:40:00,56.68,0.833,0.228,0.833
2026-03-10 06:45:00,0,0,0,0
2026-03-10 06:50:00,335,0.444,0.041,0.5
2026-03-10 06:55:00,357.8,0.389,0.049,0.5
2026-03-10 07:00:00,0,0,0,0
2026-03-10 07:05:00,49.86,0.944,0.177,1
2026-03-10 07:10:00,0,0,0,0
2026-03-10 07:15:00,30.83,0.611,0.137,0.666
2026-03-10 07:20:00,311.4,0.777,0.078,0.833
2026-03-10 07:25:00,336.8,0.611,0.037,0.666
2026-03-10 07:30:00,8.15,0.833,0.175,0.833
2026-03-10 07:35:00,57.54,0.611,0.117,0.666
2026-03-10 07:40:00,111,0.056,0.001,0.167
2026-03-10 07:45:00,300.5,0.389,0.037,0.5
2026-03-10 07:50:00,0,0,0,0
2026-03-10 07:55:00,0,0,0,0
2026-03-10 08:00:00,0,0,0,0
2026-03-10 08:05:00,65.82,0.333,0.022,0.333
2026-03-10 08:10:00,325,0.5,0.089,0.5
2026-03-10 08:15:00,46.37,0.5,0.079,0.5
2026-03-10 08:20:00,343.1,0.333,0.036,0.333
2026-03-10 08:25:00,46.59,0.555,0.036,0.666
2026-03-10 08:30:00,346.6,0.666,0.177,0.833
2026-03-10 08:35:00,26.03,0.389,0.048,0.5
2026-03-10 08:40:00,78.13,1,0.144,1.166
2026-03-10 08:45:00,259,1.277,0.148,1.333
2026-03-10 08:50:00,195.5,1.388,0.195,1.499
2026-03-10 08:55:00,166.4,1.166,0.339,1.333
2026-03-10 09:00:00,0,0,0,0
2026-03-10 09:05:00,0,0,0,0
2026-03-10 09:10:00,0,0,0,0
2026-03-10 09:15:00,332.1,0.944,0.111,1
2026-03-10 09:20:00,78.64,0.944,0.215,1
2026-03-10 09:25:00,169,1.999,0.205,2.166
2026-03-10 09:30:00,226.1,1.999,0.291,1.999
2026-03-10 09:35:00,200.4,1.111,0.196,1.166
2026-03-10 09:40:00,139.1,1.222,0.215,1.333
2026-03-10 09:45:00,212.9,1.944,0.438,1.999
2026-03-10 09:50:00,204.9,1.388,0.37,1.333
2026-03-10 09:55:00,231.8,1.444,0.302,1.499
2026-03-10 10:00:00,191.6,1.333,0.112,1.499
2026-03-10 10:05:00,161.7,0.666,0.038,0.666
2026-03-10 10:10:00,223.7,0.833,0.134,0.833
2026-03-10 10:15:00,90.7,1.444,0.448,1.499
2026-03-10 10:20:00,109.9,1.999,0.411,1.999
2026-03-10 10:25:00,118.5,1.944,0.616,1.999
2026-03-10 10:30:00,145.7,1.111,0.174,1.166
2026-03-10 10:35:00,190.2,1,0.318,1
2026-03-10 10:40:00,138,1.499,0.295,1.666
2026-03-10 10:45:00,180.4,1.166,0.165,1.166
2026-03-10 10:50:00,68.86,2.443,0.374,2.499
2026-03-10 10:55:00,138.1,1.222,0.128,1.333
2026-03-10 11:00:00,106.9,1.777,0.655,1.999
2026-03-10 11:05:00,180.3,1.777,0.723,1.999
2026-03-10 11:10:00,167.6,0.722,0.202,0.833
2026-03-10 11:15:00,183.6,2.11,0.635,2.166
2026-03-10 11:20:00,89.7,2.61,1.053,2.666
2026-03-10 11:25:00,190.7,1.61,0.489,1.666
2026-03-10 11:30:00,171.8,2.11,0.685,2.166
2026-03-10 11:35:00,189.9,1.944,0.549,2.166
2026-03-10 11:40:00,150.1,1.777,0.367,1.999
2026-03-10 11:45:00,179.1,2.055,0.49,2.166
2026-03-10 11:50:00,94.6,2.11,0.721,2.166
2026-03-10 11:55:00,83.1,1.777,0.628,1.999
2026-03-10 12:00:00,214.2,2.666,0.745,2.832
2026-03-10 12:05:00,166.3,3.054,0.961,3.165
2026-03-10 12:10:00,106.4,3.332,0.593,3.499
2026-03-10 12:15:00,123.1,1.833,0.733,1.833
2026-03-10 12:20:00,145.3,2.666,0.914,2.832
2026-03-10 12:25:00,127.4,2.166,0.736,2.166
2026-03-10 12:30:00,228.2,3.499,1.121,3.665
