timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,2.23,1.444,0.784,1.499
2026-03-10 00:05:00,339.5,1.111,0.489,1.166
2026-03-10 00:10:00,344.5,0.666,0.212,0.666
2026-03-10 00:15:00,347.3,0.889,0.393,1
2026-03-10 00:20:00,32.11,0.722,0.15,0.833
2026-03-10 00:25:00,21.49,0.777,0.206,0.833
2026-03-10 00:30:00,4.474,1.277,0.584,1.333
2026-03-10 00:35:00,31.06,1.333,0.533,1.333
2026-03-10 00:40:00,6.127,1.555,0.839,1.666
2026-03-10 00:45:00,33.79,1.944,0.886,1.999
2026-03-10 00:50:00,356.8,1.833,0.907,1.833
2026-03-10 00:55:00,347.8,1.833,0.81,1.833
2026-03-10 01:00:00,85.5,1.444,0.651,1.499
2026-03-10 01:05:00,22.46,1.277,0.502,1.333
2026-03-10 01:10:00,0.486,1.222,0.466,1.333
2026-03-10 01:15:00,337.4,1.111,0.448,1.166
2026-03-10 01:20:00,349.6,0.333,0.03,0.333
2026-03-10 01:25:00,331.4,0.944,0.274,1
2026-03-10 01:30:00,343.1,0.833,0.298,0.833
2026-03-10 01:35:00,36.15,0.777,0.248,0.833
2026-03-10 01:40:00,58.86,1.61,0.778,1.666
2026-03-10 01:45:00,5.642,1.666,0.513,1.666
2026-03-10 01:50:00,28.37,1.444,0.42,1.499
2026-03-10 01:55:00,0.76,1.222,0.587,1.333
2026-03-10 02:00:00,342,1,0.599,1
2026-03-10 02:05:00,333.7,1,0.48,1
2026-03-10 02:10:00,39.33,0.944,0.325,1
2026-03-10 02:15:00,6.18,1.777,0.717,1.833
2026-03-10 02:20:00,11.28,1.444,0.897,1.499
2026-03-10 02:25:00,52.57,1.444,0.559,1.499
2026-03-10 02:30:00,10.65,1.444,0.709,1.499
2026-03-10 02:35:00,357.4,1.444,0.55,1.499
2026-03-10 02:40:00,336,0.777,0.189,0.833
2026-03-10 02:45:00,12.34,0.722,0.336,0.833
2026-03-10 02:50:00,344,1.166,0.254,1.166
2026-03-10 02:55:00,92.4,1.111,0.139,1.166
2026-03-10 03:00:00,336.3,0.611,0.156,0.666
2026-03-10 03:05:00,11.29,0.666,0.063,0.666
2026-03-10 03:10:00,346.5,1,0.663,1
2026-03-10 03:15:00,334.9,0.777,0.261,0.833
2026-03-10 03:20:00,49.66,1.333,0.763,1.333
2026-03-10 03:25:00,346.1,1.277,0.781,1.333
2026-03-10 03:30:00,355.8,0.722,0.247,0.833
2026-03-10 03:35:00,64.22,0.666,0.054,0.666
2026-03-10 03:40:00,48.77,1.277,0.305,1.333
2026-03-10 03:45:00,358.5,1.222,0.589,1.333
