timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,108,1.555,0.232,1.666
2026-03-10 00:05:00,195.1,0.444,0.014,0.5
2026-03-10 00:10:00,131.1,0.611,0.023,0.666
2026-03-10 00:15:00,0,0,0,0
2026-03-10 00:20:00,0,0,0,0
2026-03-10 00:25:00,117.1,1.388,0.579,1.499
2026-03-10 00:30:00,110.8,0.889,0.17,1
2026-03-10 00:35:00,135.7,1.055,0.053,1.166
2026-03-10 00:40:00,335.6,0.889,0.117,1
2026-03-10 00:45:00,114.5,0.833,0.074,0.833
2026-03-10 00:50:00,65.35,0.389,0.031,0.5
2026-03-10 00:55:00,87.5,0.944,0.173,1
2026-03-10 01:00:00,133.9,1.722,0.388,1.833
2026-03-10 01:05:00,174.9,1.944,0.499,1.999
2026-03-10 01:10:00,156.8,2.221,0.618,2.332
2026-03-10 01:15:00,177.4,1.722,0.644,1.833
2026-03-10 01:20:00,189.7,1.499,0.339,1.666
2026-03-10 01:25:00,185.1,1.833,0.577,1.999
2026-03-10 01:30:00,169.2,2.555,1.081,2.666
2026-03-10 01:35:00,176.6,2.943,0.97,2.999
2026-03-10 01:40:00,202.6,2.555,1.075,2.832
2026-03-10 01:45:00,209.7,2.555,0.686,2.666
2026-03-10 01:50:00,189.1,2.11,0.663,2.166
2026-03-10 01:55:00,200.5,2.499,0.766,2.666
2026-03-10 02:00:00,191,3.054,0.825,3.165
2026-03-10 02:05:00,191.2,2.999,1.22,3.165
2026-03-10 02:10:00,218.2,1.999,0.915,1.999
2026-03-10 02:15:00,207.2,1.777,0.705,1.833
2026-03-10 02:20:00,207.2,2.166,0.5,2.166
2026-03-10 02:25:00,190.4,1.999,0.996,2.166
2026-03-10 02:30:00,204,1.111,0.194,1.166
2026-03-10 02:35:00,212,1.444,0.401,1.499
2026-03-10 02:40:00,192.1,1.777,0.679,1.833
2026-03-10 02:45:00,219.4,1.222,0.2,1.333
2026-03-10 02:50:00,250.3,0.889,0.15,1
