timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,30.53,1.166,0.178,1.166
2026-03-10 00:05:00,69.66,2.166,0.702,2.166
2026-03-10 00:10:00,100.1,2.943,1.293,2.999
2026-03-10 00:15:00,123.7,2.499,0.755,2.666
2026-03-10 00:20:00,97.9,2.666,0.715,3.165
2026-03-10 00:25:00,106.3,3.11,0.684,3.165
2026-03-10 00:30:00,98.7,1.333,0.549,1.333
2026-03-10 00:35:00,190.2,1.055,0.25,1.166
2026-03-10 00:40:00,74.71,1.499,0.251,1.666
2026-03-10 00:45:00,286.5,1.277,0.387,1.499
2026-03-10 00:50:00,309.3,1.777,0.303,1.833
2026-03-10 00:55:00,229,1.666,0.258,1.666
2026-03-10 01:00:00,223.6,1.388,0.3,1.499
2026-03-10 01:05:00,266.5,1,0.385,1.166
2026-03-10 01:10:00,220.1,1.61,0.237,1.666
2026-03-10 01:15:00,251.5,2.055,0.559,2.166
2026-03-10 01:20:00,289.8,1.555,0.447,1.666
2026-03-10 01:25:00,58.97,0.555,0.11,0.666
2026-03-10 01:30:00,98.5,1.555,0.524,1.666
2026-03-10 01:35:00,121.4,2.166,0.761,2.166
2026-03-10 01:40:00,101.9,1.61,0.474,1.666
2026-03-10 01:45:00,97.8,2.443,1.029,2.499
2026-03-10 01:50:00,89.3,2.777,1.422,2.832
2026-03-10 01:55:00,120.7,2.555,0.421,2.666
2026-03-10 02:00:00,91.5,2.443,0.953,2.666
2026-03-10 02:05:00,120.1,2.721,0.59,2.832
2026-03-10 02:10:00,70.87,0.944,0.105,1
2026-03-10 02:15:00,81.7,1.333,0.199,1.333
2026-03-10 02:20:00,49.22,0.555,0.15,0.666
2026-03-10 02:25:00,213.6,1.166,0.349,1.166
2026-03-10 02:30:00,230.3,0.889,0.188,1
2026-03-10 02:35:00,199.8,2.61,0.485,2.666
2026-03-10 02:40:00,152.5,1.666,0.508,1.833
2026-03-10 02:45:00,217.7,1.555,0.376,1.666
2026-03-10 02:50:00,171.6,3.11,0.732,3.332
2026-03-10 02:55:00,189.1,2.555,0.785,2.666
2026-03-10 03:00:00,163.2,3.054,0.747,3.332
2026-03-10 03:05:00,140.5,2.888,0.403,2.999
2026-03-10 03:10:00,184,2.443,0.638,2.499
2026-03-10 03:15:00,199,0.777,0.127,0.833
2026-03-10 03:20:00,211.3,0.722,0.126,0.833
2026-03-10 03:25:00,153.2,1.61,0.442,1.666
2026-03-10 03:30:00,268.2,0.944,0.312,1
2026-03-10 03:35:00,291,1.055,0.18,1.166
2026-03-10 03:40:00,242.1,1.111,0.292,1.166
2026-03-10 03:45:00,197.3,1.833,0.303,1.999
