island,division_type,name,date,value
Ni'ihau,moku,Kona,2021-04,
Kauaʻi,moku,Koʻolau,2021-04,1.4027213728920753
Kauaʻi,moku,Halele'a,2021-04,6.99881662737857
Kauaʻi,moku,Nāpali,2021-04,4.271412753093363
Kauaʻi,moku,Kona,2021-04,2.651998757583581
Kauaʻi,moku,Puna,2021-04,4.141880282232447
Moloka'i,moku,Kona,2021-04,1.7590721791691215
Moloka'i,moku,Koʻolau,2021-04,4.1389699265141555
Oʻahu,moku,Koʻolauloa,2021-04,3.656086556698661
Oʻahu,moku,Waialua,2021-04,2.699055239385171
Oʻahu,moku,Waiʻanae,2021-04,1.4454845928394446
Oʻahu,moku,Ko'olaupoko,2021-04,3.595564498266831
Oʻahu,moku,ʻEwa,2021-04,2.4049223002920153
Oʻahu,moku,Kona,2021-04,4.389908785285547
Lana'i,moku,Lāhainā,2021-04,0.8383434558096347
Hawaiʻi,moku,Hilo,2021-04,10.510957437089932
Hawaiʻi,moku,Puna,2021-04,9.571380820609427
Hawaiʻi,moku,Hāmākua,2021-04,3.5937332789503156
Hawaiʻi,moku,Kohala,2021-04,3.0764509203830754
Hawaiʻi,moku,Kona,2021-04,2.1775565530987055
Hawaiʻi,moku,Kaʻū,2021-04,3.1158855780740615
Kahoʻolawe,moku,Honuaʻula,2021-04,1.060994959396254
Maui,moku,Kāʻanapali,2021-04,5.808185143292628
Maui,moku,Pūʻali Komohana,2021-04,5.072489363728727
Maui,moku,Hāmākualoa,2021-04,7.498342051371603
Maui,moku,Hāmākuapoko,2021-04,2.968670193106905
Maui,moku,Lāhainā,2021-04,3.300357530095834
Maui,moku,Koʻolau,2021-04,15.520316398691113
Maui,moku,Kula,2021-04,1.4053406666520039
Maui,moku,Hāna,2021-04,9.556292142116183
Maui,moku,Kipahulu,2021-04,11.866234354634242
Maui,moku,Kahikinui,2021-04,1.3750545634405364
Maui,moku,Kaupō,2021-04,3.5076539765196992
Ni'ihau,moku,Kona,2021-05,
Kauaʻi,moku,Koʻolau,2021-05,1.219375243244911
Kauaʻi,moku,Halele'a,2021-05,7.093530778093512
Kauaʻi,moku,Nāpali,2021-05,2.1308145563835774
Kauaʻi,moku,Kona,2021-05,2.7497115819026723
Kauaʻi,moku,Puna,2021-05,5.92050741517946
Moloka'i,moku,Kona,2021-05,0.6843892089061839
Moloka'i,moku,Koʻolau,2021-05,1.7111331684063038
Oʻahu,moku,Koʻolauloa,2021-05,5.432553595034197
Oʻahu,moku,Waialua,2021-05,2.6803781775957845
Oʻahu,moku,Waiʻanae,2021-05,0.9943745513839772
Oʻahu,moku,Ko'olaupoko,2021-05,2.0632887166794025
