island,division_type,name,date,value
Kaua‘i,island,Kaua‘i,2021-04,3.641455624703168
O‘ahu,island,O‘ahu,2021-04,2.7723049164462914
Moloka‘i,island,Moloka‘i,2021-04,2.1484006424211164
Lāna‘i,island,Lāna‘i,2021-04,0.8240777744763037
Kaho‘olawe,island,Kaho‘olawe,2021-04,0.5744750199480911
Maui,island,Maui,2021-04,5.0481836599503564
Hawai‘i,island,Hawai‘i,2021-04,5.013048425295448
Kaua‘i,island,Kaua‘i,2021-05,4.065365243359806
O‘ahu,island,O‘ahu,2021-05,2.262878214624327
Moloka‘i,island,Moloka‘i,2021-05,0.8506011007279028
Lāna‘i,island,Lāna‘i,2021-05,0.26939120301589664
Kaho‘olawe,island,Kaho‘olawe,2021-05,0.14398841462545817
Maui,island,Maui,2021-05,1.5483341271055093
Hawai‘i,island,Hawai‘i,2021-05,3.890667811276909
Kaua‘i,island,Kaua‘i,2021-06,4.069845578301346
O‘ahu,island,O‘ahu,2021-06,1.775932411563975
Moloka‘i,island,Moloka‘i,2021-06,0.392916279570651
Lāna‘i,island,Lāna‘i,2021-06,0.12180965402614768
Kaho‘olawe,island,Kaho‘olawe,2021-06,0.22497756182264175
Maui,island,Maui,2021-06,1.3542204505248208
Hawai‘i,island,Hawai‘i,2021-06,2.5022851670212902
Kaua‘i,island,Kaua‘i,2021-07,5.677930008407353
O‘ahu,island,O‘ahu,2021-07,2.230663206336037
Moloka‘i,island,Moloka‘i,2021-07,0.6484737391296577
Lāna‘i,island,Lāna‘i,2021-07,0.16240721568117666
Kaho‘olawe,island,Kaho‘olawe,2021-07,0.1260293783593901
Maui,island,Maui,2021-07,1.33664925670168
Hawai‘i,island,Hawai‘i,2021-07,5.7316226405834
Kaua‘i,island,Kaua‘i,2021-08,5.043715926783796
O‘ahu,island,O‘ahu,2021-08,3.476761142318891
Moloka‘i,island,Moloka‘i,2021-08,1.5810038013480439
Lāna‘i,island,Lāna‘i,2021-08,0.4086347682365176
Kaho‘olawe,island,Kaho‘olawe,2021-08,0.16790819329481088
Maui,island,Maui,2021-08,4.06557363334701
Hawai‘i,island,Hawai‘i,2021-08,5.330928424830944
Kaua‘i,island,Kaua‘i,2021-09,4.318397730783359
O‘ahu,island,O‘ahu,2021-09,3.217445797727555
Moloka‘i,island,Moloka‘i,2021-09,0.9207059115127636
Lāna‘i,island,Lāna‘i,2021-09,0.4441663107264894
Kaho‘olawe,island,Kaho‘olawe,2021-09,0.29489957725391513
Maui,island,Maui,2021-09,2.851080995161721
Hawai‘i,island,Hawai‘i,2021-09,5.1465103300855235
Kaua‘i,island,Kaua‘i,2021-10,4.222293009294198
O‘ahu,island,O‘ahu,2021-10,2.6045128307106262
Moloka‘i,island,Moloka‘i,2021-10,1.1108650835856075
Lāna‘i,island,Lāna‘i,2021-10,0.4297119670182737
Kaho‘olawe,island,Kaho‘olawe,2021-10,0.1610044548910089
Maui,island,Maui,2021-10,3.6106390765440675
Hawai‘i,island,Hawai‘i,2021-10,6.241917230919639
Kaua‘i,island,Kaua‘i,2021-11,2.5729264810081447
O‘ahu,island,O‘ahu,2021-11,1.6877049618592717
Moloka‘i,island,Moloka‘i,2021-11,0.9306078821234179
Lāna‘i,island,Lāna‘i,2021-11,0.507653766156589
Kaho‘olawe,island,Kaho‘olawe,2021-11,0.33143739697139757
Maui,island,Maui,2021-11,1.8138067341887536
Hawai‘i,island,Hawai‘i,2021-11,2.5100732931799503
Kaua‘i,island,Kaua‘i,2021-12,12.930305047024307
O‘ahu,island,O‘ahu,2021-12,18.259584019346267
Moloka‘i,island,Moloka‘i,2021-12,9.417507012815225
