division,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03
Hawaiʻi::Hawaiʻi Mauka,47.79109947537019,51.276494214362764,53.62528335730396,55.60420847906384,54.135317311149606,53.48098380348446,52.72959316673749,52.29126311574544,48.275055772562354,48.707496608701334,48.7485776975125,50.13877071552316,50.72370967214722,52.008415323766876,51.81848952374726,53.56559139345602,53.326553255646715,53.321362730036284,53.221016245546366,50.39892949367503,50.2040577092799,50.417135864413424,47.41607434707286,49.95195040532148,49.09067433726669,49.92910326708724,51.86761289347236,55.95513066714608,54.09541480077142,54.614272464289215,55.07252986794364,52.863633020625635,51.45830418723237,51.76148199751577,48.472865729088355,48.94993442127284,51.253194766776716,52.56884683587749,54.77892777759618,55.60846680613212,56.212921256496585,54.9157899682934,53.33343534468669,52.020087111430726,52.24962491419606,49.40444464419966,50.66242910960024,49.49864817932207,49.987703069329584,51.154223596901254,54.68794740626941,55.27275397966855,55.909987987448105,54.500911973327234,52.7097632628379,51.832610401072145,51.46723086163502,49.196860392900334,47.90583895825843,49.83546971529435
Hawaiʻi::Hilo,63.17946309335923,65.94588594148355,67.00481136943063,68.73734141677795,68.11919919266722,67.7897095423091,67.21412756464733,66.4604649751123,64.13874514386306,63.61829549593298,63.62141177006192,65.04213912832341,65.47271533932258,66.18866623163774,66.5001160920238,68.32525342964672,68.45310944518636,68.59093571688722,68.72880979118611,66.39418553478208,65.01123816316621,64.19027406822872,63.433727388612354,64.94732608959572,64.66542278742261,65.33048212334589,66.3974520456477,69.1308797195581,68.73249059123468,68.81061369430618,67.91053857593784,66.62890767269637,64.42210756343329,64.51075861964307,61.658052082068714,63.33231759135607,65.02612525798227,66.0174919570232,67.33613345271337,68.19540108656065,69.05804904698313,68.48419023916475,67.89140843146777,66.00541611023431,65.57381783416292,64.31277846910282,63.89985962729149,64.24001608595363,65.33975810367852,65.66827121524827,67.27820808546801,68.45167764355955,68.99538894621828,68.4552719436688,67.60262383149205,66.28413257253854,64.97016890251305,63.905646017967705,63.000699587228354,64.93851447735827
Hawaiʻi::Kaʻu,62.825028391565255,65.63770189557512,66.66515794122596,68.45941653580843,67.80783326790421,67.47000834221299,66.88553957994503,66.18533733385676,63.86936795468566,63.33535415848802,63.26019222141215,64.70464464976726,65.17151870338176,65.86012772699232,66.13985089170546,67.98341301665639,68.11186276709103,68.24715803936964,68.41261777241883,66.06402963939207,64.68669802590993,63.90215705793281,63.128102041388594,64.65323067971511,64.3594505355841,65.01998976501599,66.04526596937917,68.85170279288879,68.39555759632101,68.47526218383715,67.56641663395212,66.29106752285347,64.08918491671808,64.21367246649095,61.257015871235495,63.010415848802644,64.7412161404296,65.70747574448993,67.00049387303011,67.8270953676182,68.72063786383265,68.13219743704784,67.54643528125175,65.66959824182604,65.22829552464808,63.97726852111491,63.53088371375694,63.864554007066346,64.98475583253884,65.29523021703774,66.89804764174752,68.10736112668948,68.65096811732377,68.05527837754474,67.24231429813247,65.93267133082833,64.5861855756828,63.57824399921485,62.677023161909034,64.64640724019966
Hawaiʻi::Kona,60.81609863672814,63.84754410585405,64.88427977145147,66.88021251002405,66.07111066559744,65.62611267040899,65.12678177626304,64.5635926222935,62.16222935044106,61.588412189254214,61.361086607858866,62.839750400962316,63.40348336006416,64.10533279871692,64.29852145148357,66.2344977947073,66.30505713712911,66.38707898957497,66.62531575781877,64.1745514234162,62.91074829591019,62.28057087008821,61.3051072574178,62.89675721732157,62.56513632718524,63.14309091820369,64.1691259021652,67.29253207698477,66.58898105453088,66.65464615076183,65.8673391138733,64.52549619085806,62.41705844025661,62.6269747393745,59.23787089013633,61.22373195669607,63.04204089815558,64.0174193063352,65.38210455092221,66.12018344025662,67.11145248596631,66.34656174819567,65.72609011627907,63.94129661186848,63.54439153969527,62.11945669607057,61.72139384522855,61.899909783480354,63.03244787489976,63.346175821972736,65.0812199278268,66.37820018043304,66.95005513231757,66.17226844426625,65.35883620689656,64.08022754611066,62.715727746591824,61.78805132317562,60.77993935445068,62.84346932638332
Hawaiʻi::Leeward Kohala,66.89672629385203,69.34494244033147,70.25022329181759,71.74506432044856,71.38325063266015,71.22192229444748,70.53133094328388,69.61685046891282,67.56124274301592,67.00330347839031,67.13367240609338,68.53399679948396,68.8551155535156,69.47535881754578,69.9161229097405,71.63703015680048,71.87789224929291,72.10054210291273,72.18385228005756,70.0188985510842,68.3841065846276,67.29880786979606,66.99321627053044,68.34146342976231,68.14718838386345,68.90955130749765,69.85887647000447,72.11220351808663,72.12118543144942,72.18441330074927,70.99177262690418,69.88648929439785,67.48794999503795,67.47668771398799,65.15825993648588,66.6891598025108,68.24864660348335,69.17334267850941,70.28945566416911,71.24021268545627,72.01963789510248,71.73875911774923,71.2845863519079,69.23133714583437,68.67186274996278,67.7976724929291,67.14198444400338,67.81806182702329,68.97287128467227,69.2080087331911,70.46590644072842,71.60281905919715,72.09846269786135,71.82730827916438,71.09553633454075,69.70533543393043,68.30463981789312,67.2872525182355,66.56894507021286,68.40859611472237
Hawaiʻi::Windward Kohala,62.46325928143713,65.2898359281437,66.35221856287424,68.14771856287425,67.4772616766467,67.1325886227545,66.54239880239521,65.84684970059881,63.487405389221564,62.97955209580839,62.910386826347306,64.35238083832336,64.8210005988024,65.52475748502994,65.79423473053893,67.6330640718563,67.75325179640718,67.8860880239521,68.04276616766467,65.68335149700599,64.33499520958084,63.5742634730539,62.74501856287425,64.29580479041917,63.98736077844312,64.65418802395209,65.70397065868264,68.53810838323353,68.04942455089821,68.14123532934133,67.26634910179641,65.96727185628743,63.78531077844311,63.91264730538922,60.95553293413174,62.67001946107784,64.41456706586825,65.39024520958084,66.70573532934132,67.53433353293414,68.41877215568863,67.81444640718563,67.2034488023952,65.33934670658684,64.91512874251498,63.62469850299401,63.22276766467066,63.51904550898203,64.62277155688622,64.9559359281437,66.60760299401198,67.79906287425149,68.34437125748504,67.73044461077845,66.89205149700598,65.59244071856287,64.27303532934133,63.22989221556887,62.32026437125748,64.28693952095809
Kauaʻi::Leeward Kauaʻi,68.18078910858915,70.89301382361764,71.95045589191082,73.47793783121688,73.4536908809119,73.0974249450055,72.1276397360264,70.93868425657435,68.71395485451455,67.99954442055795,67.63107626737326,68.76843878112189,70.12546370362963,70.78255549445055,71.92155753174683,73.89033565393461,73.46278278422159,74.01203442155784,72.73803463403661,71.1641398360164,68.6566305869413,66.92918301919808,68.3399803769623,68.46736826317368,68.62767598240177,69.68016573342666,71.50861695080492,73.6746553469653,74.34481270622939,74.10983776622338,72.11411296370363,70.99868856864313,67.88124843765624,66.82810343965605,66.19513486151385,67.17013673632637,68.57266617088291,69.75754674532547,72.32433756624337,73.18865050994901,74.27484189081092,73.81078079692031,73.30006218128187,71.05567255774423,70.10272691480853,67.92771472852715,67.9365900909909,69.45363588641136,70.02885555194482,71.15623187681231,72.6038355539446,73.60272722727727,74.37975452454755,73.8628152809719,73.106949930007,70.88546864063593,69.37042233276674,67.47398572642736,66.74371156634336,68.28963603639636
Kauaʻi::Windward Kauaʻi,69.04867315849717,71.73142926878535,72.81970694182601,74.31963371936439,74.29799269458658,73.91729396714247,72.8904246902774,71.74082573054133,69.49002280837598,68.77214600727174,68.40907369377862,69.59178940546727,70.98742341098841,71.63884325343389,72.77843598505251,74.70191556692701,74.32273178696471,74.88620135335309,73.53773145030972,71.9597091300835,69.42202439065446,67.70859227713439,69.09109926272556,69.21859345542688,69.36775897185564,70.47222007137086,72.31471056086723,74.51547855507675,75.21281645569621,74.93814132776731,72.87903607258282,71.7423747643415,68.6320626009965,67.58830544707783,66.99106012658228,67.9384211722327,69.34456133854027,70.5377415499596,73.10455115472664,73.98899264408834,75.07236567465662,74.63056154053326,74.13575696875841,71.8070175733908,70.76095391193105,68.67685581066523,68.66512254241853,70.23379006194452,70.7950250807972,71.94955140721788,73.42614799353623,74.41038664826286,75.21585013802854,74.68480423511986,73.89183527471047,71.6501712732292,70.13215223538917,68.19659852208457,67.4887582480474,69.05648650013467
Maui::Leeward Maui Nui,68.47117592098238,71.44029631607049,72.7448545114789,74.29903897490658,73.8897156967432,73.61672784303256,72.9174819807795,71.83978910838228,69.33090296316071,68.63801388147357,68.89880539241858,70.49662306460223,71.161025093433,71.97323144687667,72.92073545114789,74.20311665776828,74.82227709556861,74.79855178857449,74.31873331553658,72.19331954084356,70.19368993593167,68.50373064602243,68.794811131874,69.57605445808863,70.0625,70.71411839295249,72.60476508275494,74.28132674853177,74.91593032568073,74.71879337960492,73.405072076882,72.18692271756541,69.54502469300587,69.09422717565403,66.66808929524827,68.33068606513615,69.74234516817938,71.30693739989323,73.04090363053925,74.03647891083823,74.88293179391351,74.5492859049653,73.96125867592099,71.6536205285638,71.05441137213028,69.3092698878804,69.03243459690336,70.00789508809396,71.04218499733048,71.85384410037373,73.49020288307528,74.39456753870795,75.09572877736252,75.03518419647625,73.99779765082755,71.90455152162306,70.81744193806728,69.13024225840897,67.55906967431928,69.16824612920448
Maui::Windward Maui Nui,65.38897861930695,68.48071548267401,69.86496573702794,71.52710964151056,70.95224803997846,70.43441408821593,70.15537247890359,69.09227474714226,66.52756224190557,65.77437645879466,66.17483915853731,67.60889266263689,68.1496521335807,69.15664462265845,69.96623189598421,71.57033484948232,71.87460126279251,71.7705577832306,71.51556272068945,69.17585358190198,67.55165629301574,66.19003194386258,65.91629249207014,66.92309645999163,67.21242593811718,67.62460051469267,69.51632279011312,71.73083704889581,71.93129900053863,71.71293763839847,70.84346796636544,69.4469638368544,67.10434945239092,66.75588156083549,63.80390283679454,65.63360838470285,67.00948291339996,68.60134882398708,70.555155155904,71.52662487282302,72.44160220539828,71.68061972589624,71.03518388293735,69.01118708480459,68.61875336644923,66.57719043629181,66.51887007002215,67.02352773954156,68.00635585612544,68.73224310251959,70.6109069214196,71.62974257884972,72.36263540606859,72.16852257765277,70.94169085522773,69.07776871745766,68.03467106050631,66.44096706864565,64.76428346998624,66.49766480639177
